Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Evelyn Butler,Carlton Darby,Anna Di Carlo,Tom Ellard,Mary Kidnew,Fahad Rao,Charles Sousa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 1","Mississauga",9,0,0,138,2,2,95,1,247,481
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 2","Mississauga",6,1,0,116,1,1,100,1,226,448
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 3","Mississauga",3,1,0,104,1,1,94,1,205,384
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 4","Mississauga",5,1,2,100,5,2,117,0,232,418
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 5","Mississauga",0,0,0,98,0,0,114,1,213,355
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 6","Mississauga",8,0,0,100,2,0,95,0,205,352
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 7","Mississauga",4,0,1,122,1,0,114,0,242,459
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 8","Mississauga",4,2,0,102,2,0,103,0,213,368
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 9","Mississauga",2,0,0,81,2,1,71,1,158,361
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 10","Mississauga",3,0,0,100,2,0,78,0,183,414
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 11","Mississauga",6,0,1,108,2,0,102,2,221,582
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 12","Mississauga",3,0,0,81,2,2,53,1,142,370
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 13","Mississauga",0,0,0,93,1,0,74,0,168,416
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 14","Mississauga",6,0,0,68,2,0,67,0,143,434
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 15","Mississauga",0,0,1,61,2,0,44,0,108,354
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 16","Mississauga",2,0,1,63,0,1,49,0,116,387
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 17","Mississauga",4,0,1,67,0,1,59,0,132,436
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 18","Mississauga",2,1,1,50,2,1,76,0,133,458
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 19","Mississauga",9,2,0,86,1,1,87,1,187,325
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 20","Mississauga",9,1,0,88,4,1,93,0,196,339
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 21","Mississauga",5,0,0,84,0,1,58,1,149,389
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 22","Mississauga",3,1,0,83,0,0,65,0,152,390
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 23","Mississauga",3,0,1,120,0,1,80,2,207,483
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 24","Mississauga",10,1,0,166,4,2,134,2,319,596
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 25","Mississauga",10,0,0,63,0,0,82,2,157,431
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 26","Mississauga",5,1,1,167,3,2,120,2,301,589
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 27","Mississauga",6,0,0,69,7,2,67,0,151,379
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 28","Mississauga",2,0,0,66,1,0,93,1,163,386
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 29","Mississauga",1,2,0,72,3,2,108,0,188,520
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 30","Mississauga",10,0,0,79,2,2,88,0,181,400
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 31","Mississauga",10,1,0,71,1,1,82,1,167,511
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 32","Mississauga",4,0,0,80,0,1,90,0,175,517
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 33","Mississauga",2,0,0,93,2,0,86,0,183,379
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 34","Mississauga",4,2,0,75,1,2,98,4,186,428
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 35","Mississauga",3,0,2,123,3,1,115,0,247,415
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 36","Mississauga",3,1,0,81,4,1,85,0,175,433
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 37","Mississauga",0,0,0,107,3,1,99,3,213,376
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 38","Mississauga",7,1,0,56,0,0,37,1,102,414
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 39","Mississauga",3,0,0,72,4,1,62,0,142,378
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 40","Mississauga",3,0,0,78,3,0,45,0,129,431
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 41","Mississauga",0,0,0,121,3,1,103,0,228,462
35064,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 42","Mississauga",1,0,1,81,2,2,59,0,146,412
