Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dorothy Anderson,Brigitte Cecelia,Michael Cooper,Lucia Stachurski,Jeff Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 41","Rivière Qui Barre",5,5,158,36,3,1,208,366
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 42","Morinville",5,10,119,33,1,0,168,441
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 43","Morinville",8,1,74,17,0,0,100,353
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 44","Morinville",5,0,157,30,0,0,192,513
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 45","Morinville",13,9,139,39,1,1,202,549
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 46","Morinville",5,3,103,37,4,2,154,404
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 47","Morinville",14,0,75,27,0,0,116,379
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 48","Morinville",13,5,133,29,1,0,181,494
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 49","Sunset Point",0,1,35,7,0,0,43,180
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 50","Lac Ste. Anne",12,2,118,24,0,0,156,480
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 51","Sunset Point",5,4,99,16,0,2,126,307
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 52","Alberta Beach",3,1,77,11,0,0,92,268
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 53","Alberta Beach",7,3,108,18,2,0,138,344
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 54","Alberta Beach",6,3,61,17,0,0,87,260
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 55","Lac Ste. Anne County",3,7,67,7,0,0,84,191
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 56","Alberta Beach",9,1,109,14,1,0,134,309
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 57","Lac Ste. Anne County",4,2,161,23,4,1,195,494
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 58","Lac Ste. Anne County",1,4,95,18,0,1,119,267
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 59","Morinville",20,1,138,41,1,2,203,420
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 60","Morinville",12,3,154,21,2,2,194,520
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 61","Morinville--Rivière Qui Barre",2,8,139,24,4,1,178,441
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 62","Morinville",12,1,136,26,3,1,179,487
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 63","Redwater",7,5,119,8,1,1,141,382
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 64","Redwater",6,3,122,17,0,1,149,455
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 65","Redwater",6,2,110,16,2,0,136,441
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 66","Amelia",3,2,104,19,3,0,131,311
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 67","Morinville",11,1,119,30,0,5,166,464
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 68","Morinville",12,3,113,31,3,0,162,409
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 69","Morinville",13,1,136,36,0,1,187,586
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 70","Morinville",17,2,183,34,0,4,240,639
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 71","Calahoo",9,3,116,11,1,1,141,344
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 72","Calahoo",11,3,188,34,1,0,237,573
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 73","Calahoo",8,3,115,32,1,0,159,346
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 74","Gibbons",13,1,131,21,2,1,169,504
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 75","Gibbons",13,4,125,31,1,1,175,416
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 76","Gibbons",13,1,115,14,1,0,144,343
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 77","Bon Accord",14,1,126,33,2,1,177,440
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 78","Bon Accord",10,2,81,34,2,0,129,327
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 79","Bon Accord",17,2,163,30,1,0,213,449
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 80","Sturgeon County",13,3,164,30,1,0,211,446
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 81","Cardiff",3,0,129,32,0,0,164,314
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 82","Sturgeon County",3,6,130,20,1,1,161,345
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 83","Carbondale",2,3,114,10,4,2,135,281
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 84","Excelsior",6,0,132,37,1,1,177,406
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 85","Duagh",5,6,110,22,0,1,144,285
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 86","Gibbons",9,4,108,23,1,0,145,385
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 87","Gibbons",7,2,117,19,3,0,148,472
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 88","Gibbons",10,1,138,34,0,0,183,437
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 89","New Lunnon",17,4,193,24,1,1,240,478
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 90","Gibbons",2,3,115,17,2,1,140,302
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 91","Lamoureux",13,4,168,25,2,0,212,474
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 92","Villeneuve",10,4,227,48,4,0,293,471
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 93","Sturgeon County",8,2,220,66,2,3,301,848
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 94","Sturgeon County",1,0,94,31,0,1,127,283
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 95","Sturgeon County",4,0,62,14,0,0,80,273
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 96","Volmer",10,3,191,33,2,1,240,468
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 97","Villeneuve",5,2,167,51,0,0,225,472
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 98","St. Albert",7,0,229,105,0,1,342,772
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 99","St. Albert",11,0,93,45,0,1,150,465
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 100","St. Albert",13,5,217,116,5,0,356,673
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 101","St. Albert",7,2,83,49,0,0,141,349
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 102","St. Albert",10,1,87,55,0,0,153,349
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 103","St. Albert",12,1,82,66,0,0,161,436
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 104","St. Albert",5,1,226,90,1,0,323,589
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 105","Sturgeon County",10,0,176,76,1,0,263,738
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 106","Sturgeon County",3,1,151,52,0,0,207,600
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 107","Sturgeon County",11,3,204,68,0,0,286,614
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 108A","Sturgeon County",8,2,87,31,0,0,128,354
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 108B","Sturgeon County",6,1,118,37,0,1,163,346
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 109","Lancaster Park",7,5,124,40,0,3,179,700
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 110","Lancaster Park",17,2,132,47,2,2,202,612
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 111","St. Albert",5,0,108,52,0,1,166,366
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 112","St. Albert",6,2,132,74,0,0,214,483
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 113","St. Albert",9,1,89,63,0,1,163,345
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 114","St. Albert",6,2,113,61,0,1,183,396
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 115","St. Albert",10,4,157,72,0,0,243,480
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 116","St. Albert",12,1,98,85,0,0,196,435
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 117","St. Albert",10,1,117,72,0,1,201,424
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 118","St. Albert",13,0,134,80,1,2,230,486
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 119","St. Albert",10,3,170,71,0,0,254,543
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 120","St. Albert",3,1,94,45,0,0,143,394
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 121","St. Albert",10,2,99,50,0,1,162,383
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 122","St. Albert",19,4,219,106,0,0,348,608
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 123","St. Albert",21,1,175,100,1,0,298,633
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 124","St. Albert",5,0,97,67,0,1,170,410
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 125","St. Albert",11,5,140,65,2,0,223,459
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 126","St. Albert",2,2,78,35,0,0,117,296
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 127","St. Albert",6,0,85,75,1,1,168,426
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 128","St. Albert",12,3,122,65,0,0,202,501
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 129","St. Albert",14,1,115,73,0,1,204,390
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 130","St. Albert",5,1,104,63,1,1,175,373
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 131","St. Albert",11,2,117,59,0,0,189,451
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 132","St. Albert",9,0,100,49,0,0,158,477
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 133","St. Albert",3,0,106,70,0,1,180,487
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 134","St. Albert",1,1,130,77,1,0,210,505
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 135","St. Albert",6,0,68,63,0,0,137,356
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 136","St. Albert",4,2,59,58,0,0,123,384
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 137","St. Albert",7,1,93,45,0,0,146,329
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 138","St. Albert",12,2,71,54,0,0,139,380
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 139","St. Albert",7,1,106,58,0,0,172,423
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 140","St. Albert",9,3,94,68,1,0,175,390
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 141","St. Albert",13,2,112,63,0,0,190,369
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 142","St. Albert",5,1,96,54,1,0,157,345
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 143","St. Albert",6,1,71,64,3,0,145,405
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 144","St. Albert",12,2,77,80,2,0,173,374
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 145","St. Albert",10,2,95,44,0,0,151,443
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 146","St. Albert",10,2,98,52,1,0,163,483
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 147","St. Albert",5,0,77,36,0,0,118,354
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 148","St. Albert",4,0,74,53,0,2,133,350
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 149","St. Albert",6,2,108,62,0,2,180,451
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 150","St. Albert",7,1,41,27,0,0,76,195
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 151","St. Albert",12,1,167,77,0,0,257,631
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 152","St. Albert",6,4,93,63,1,0,167,372
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 153","St. Albert",17,0,135,74,0,1,227,436
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 154","St. Albert",2,0,79,57,0,0,138,328
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 155","St. Albert",14,1,104,72,0,0,191,451
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 156","St. Albert",7,1,91,44,0,0,143,423
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 157","St. Albert",3,0,136,76,0,0,215,525
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 158","St. Albert",9,0,75,39,0,2,125,249
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 159","St. Albert",4,0,31,17,1,0,53,245
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 160","St. Albert",7,1,89,49,0,0,146,350
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 161","St. Albert",14,5,79,93,2,2,195,388
