Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Briand,Bart Cortenbach,Caroline Desbiens,Gabriel Hardy,Alex Ouellet-Bélanger,Élie Prud'Homme-Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 508","Mobile poll/Bureau itinérant",0,1,5,0,7,0,0,13,32
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 509","Mobile poll/Bureau itinérant",1,1,34,6,48,0,4,94,149
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 510","Mobile poll/Bureau itinérant",0,1,46,12,66,0,15,140,150
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,69
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,30
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 513","Mobile poll/Bureau itinérant",1,0,7,6,16,0,0,30,32
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 514","Sainte-Anne-de-Beaupré",Combined with No./Résultats combinés à ceux du n°74,,,,,,,,16
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 515","Sainte-Famille",Combined with No./Résultats combinés à ceux du n°120,,,,,,,,17
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,24
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,28
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 518","Château-Richer",Combined with No./Résultats combinés à ceux du n°111,,,,,,,,5
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 519","Mobile poll/Bureau itinérant",1,1,40,16,24,1,3,86,51
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,35
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 521","Québec",Combined with No./Résultats combinés à ceux du n°175,,,,,,,,13
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 522","Mobile poll/Bureau itinérant",1,1,14,7,23,0,0,46,29
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 523","Boischatel",Combined with No./Résultats combinés à ceux du n°167,,,,,,,,22
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,41
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 525","Boischatel",Combined with No./Résultats combinés à ceux du n°169,,,,,,,,9
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,22
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 600","Saint-Siméon",3,3,164,58,100,6,4,338,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 601","La Malbaie",5,4,251,62,189,2,7,520,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 602","Clermont",8,8,356,198,204,4,7,785,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 603","La Malbaie",8,1,331,121,239,4,6,710,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 604","Saint-Urbain",7,1,137,58,126,1,2,332,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 605","Les Éboulements",10,1,242,63,178,6,1,501,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 606","Baie-Saint-Paul",14,7,606,154,454,5,9,1249,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 607","L'Isle-aux-Coudres",1,0,185,62,108,3,1,360,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 608","Baie-Saint-Paul",8,6,314,118,249,8,6,709,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 609","Sainte-Anne-de-Beaupré",11,2,211,178,149,10,15,576,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 610","Saint-Tite-des-Caps--Saint-Ferréol-les-Neiges",13,4,249,212,242,4,6,730,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 611","Beaupré",8,2,295,215,409,10,1,940,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 612","Beaupré",11,1,199,148,149,2,7,517,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 613","Saint-Jean-de-l'Île-d'Orléans--Saint-Laurent-de-l'Île-d'Orléans",13,5,210,174,270,11,6,689,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 614","Sainte-Pétronille--Saint-Pierre-de-l'Île-d'Orléans",8,3,234,255,261,4,11,776,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 615","Château-Richer",13,8,363,375,243,9,13,1024,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 616","Sainte-Brigitte-de-Laval",12,4,195,360,187,4,13,775,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 617","L'Ange-Gardien",14,3,275,398,272,6,11,979,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 618","Sainte-Brigitte-de-Laval",11,3,181,433,233,6,14,881,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 619","Lac-Beauport",8,9,227,370,461,8,5,1088,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 620","Lac-Beauport",11,2,235,342,573,10,15,1188,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 621","Québec",24,2,393,646,583,11,11,1670,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 622","Boischatel",15,7,299,454,379,7,9,1170,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 623","Boischatel",13,8,333,308,431,9,10,1112,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 624","Québec",21,7,263,542,342,11,10,1196,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 625","Québec",27,8,448,673,555,7,17,1735,
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix",,Group 1/Groupe 1, 22,0,114,122,179,7,50,494,91
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix",,Group 2/Groupe 2, 10,6,476,300,531,10,34,1367,
