Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Briand,Bart Cortenbach,Caroline Desbiens,Gabriel Hardy,Alex Ouellet-Bélanger,Élie Prud'Homme-Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 60","Baie-Saint-Paul",1,0,52,7,18,0,0,78,282
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 61","Baie-Saint-Paul",3,2,84,29,31,0,0,149,423
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 62","Baie-Saint-Paul",0,0,72,31,32,2,2,139,436
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 63","Baie-Saint-Paul",0,0,102,18,50,4,0,174,395
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 64","Baie-Saint-Paul",1,1,79,32,30,1,2,146,391
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 65","Baie-Saint-Paul",2,3,87,36,36,3,1,168,379
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 66","Baie-Saint-Paul",2,2,86,40,45,1,0,176,458
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 67","Baie-Saint-Paul",2,0,53,23,17,4,0,99,312
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 68","Baie-Saint-Paul",3,6,73,28,43,5,0,158,434
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 69","Baie-Saint-Paul",1,0,93,50,39,1,3,187,490
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 70","Sainte-Anne-de-Beaupré",4,0,34,39,19,1,4,101,297
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 71","Sainte-Anne-de-Beaupré",8,0,50,64,38,2,0,162,471
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 72","Sainte-Anne-de-Beaupré",2,2,60,45,23,2,4,138,437
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 73","Sainte-Anne-de-Beaupré",4,2,56,39,36,3,1,141,367
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 74","Sainte-Anne-de-Beaupré",3,1,67,57,22,2,1,153,416
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 75","Sainte-Anne-de-Beaupré",8,1,71,98,28,5,3,214,523
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 76","Petite-Rivière-Saint-François",2,0,86,53,83,0,1,225,419
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 77","Petite-Rivière-Saint-François",2,4,73,49,59,1,2,190,402
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 78","Saint-Tite-des-Caps",0,0,66,72,26,1,3,168,393
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 79","Saint-Tite-des-Caps",2,1,81,61,30,1,1,177,287
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 80","Saint-Tite-des-Caps",2,4,50,76,28,1,4,165,282
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 81","Saint-Tite-des-Caps",3,0,56,102,35,1,2,199,329
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 82","Saint-Ferréol-les-Neiges",1,1,36,43,15,0,0,96,402
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 83","Saint-Ferréol-les-Neiges",1,0,24,25,16,0,1,67,368
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 84","Saint-Ferréol-les-Neiges",4,0,54,52,23,4,1,138,472
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 85","Saint-Ferréol-les-Neiges",4,0,29,29,34,1,3,100,384
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 86","Saint-Ferréol-les-Neiges",3,1,58,47,74,3,1,187,453
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 87","Saint-Joachim",1,2,53,68,20,2,0,146,336
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 88","Saint-Joachim",4,2,62,50,33,0,5,156,280
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 89","Saint-Ferréol-les-Neiges",3,0,33,35,68,6,2,147,369
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 90","Saint-Ferréol-les-Neiges",2,1,45,50,93,3,1,195,484
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 91","Saint-Ferréol-les-Neiges",2,1,36,24,42,0,0,105,295
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 92","Beaupré",1,1,63,59,68,2,0,194,477
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 93","Beaupré",5,1,60,66,38,5,2,177,447
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 94","Saint-Joachim",4,1,77,71,22,0,3,178,293
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 95","Saint-Joachim",3,1,55,53,24,4,4,144,280
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 96","Beaupré",3,4,72,74,23,0,5,181,403
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 97","Beaupré",1,1,42,35,47,0,0,126,288
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 98","Beaupré",3,1,45,41,27,2,3,122,360
