Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grant Abraham,Blaine Calkins,Larry Gratton,Logan Hooley,Zarnab Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 53","Lacombe",4,150,6,35,8,3,206,570
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 54","Lacombe",5,146,7,33,11,1,203,607
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 55","Lacombe",18,147,7,37,4,0,213,617
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 56","Lacombe",5,121,3,28,4,0,161,525
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 57","Lacombe",10,149,3,31,6,1,200,594
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 58","Lacombe",8,145,4,24,4,0,185,604
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 59","Lacombe",7,148,5,34,5,2,201,593
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 60","Lacombe",6,141,5,35,7,4,198,531
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 61","Lacombe",6,239,2,25,6,0,278,751
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 62","Lacombe County",5,173,2,17,4,1,202,411
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 63","Lacombe County",10,180,2,19,5,5,221,580
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 64","Lacombe County",29,184,2,20,4,2,241,499
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 65","Prentiss",8,141,3,10,1,1,164,470
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 66","Blackfalds",6,152,1,24,2,2,187,522
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 67","Blackfalds",5,159,2,17,10,2,195,497
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 68","Blackfalds",2,183,4,18,2,1,210,592
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 69","Blackfalds",4,153,2,25,5,1,190,535
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 70","Blackfalds",7,168,7,26,3,2,213,591
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 71","Blackfalds",2,177,4,26,5,0,214,516
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 72","Blackfalds",4,157,7,18,4,1,191,592
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 73","Blackfalds",1,203,5,9,2,0,220,570
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 74","Blackfalds",4,145,5,13,7,1,175,540
