Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Wayne Baker,Kevin Kruchkywich,David Mackey,John Nater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Perth--Wellington/Perth--Wellington"," 183","St. Marys",4,10,77,86,1,178,584
35085,"Perth--Wellington/Perth--Wellington"," 184","St. Marys",2,21,53,90,0,166,549
35085,"Perth--Wellington/Perth--Wellington"," 185","Perth South",2,9,68,96,0,175,461
35085,"Perth--Wellington/Perth--Wellington"," 400","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,95
35085,"Perth--Wellington/Perth--Wellington"," 401","Mobile poll/Bureau itinérant",6,4,64,56,3,133,152
35085,"Perth--Wellington/Perth--Wellington"," 402","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,83
35085,"Perth--Wellington/Perth--Wellington"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,77
35085,"Perth--Wellington/Perth--Wellington"," 501","Mobile poll/Bureau itinérant",5,13,32,45,0,95,99
35085,"Perth--Wellington/Perth--Wellington"," 502","Mobile poll/Bureau itinérant",4,9,41,45,7,106,96
35085,"Perth--Wellington/Perth--Wellington"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,12
35085,"Perth--Wellington/Perth--Wellington"," 504","Mobile poll/Bureau itinérant",3,6,38,37,4,88,120
35085,"Perth--Wellington/Perth--Wellington"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,33
35085,"Perth--Wellington/Perth--Wellington"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,61
35085,"Perth--Wellington/Perth--Wellington"," 507","Mobile poll/Bureau itinérant",2,4,20,22,0,48,91
35085,"Perth--Wellington/Perth--Wellington"," 508","Mapleton",Combined with No./Résultats combinés à ceux du n°54,,,,,,3
35085,"Perth--Wellington/Perth--Wellington"," 509","Mobile poll/Bureau itinérant",3,1,10,16,1,31,88
35085,"Perth--Wellington/Perth--Wellington"," 510A","Mobile poll/Bureau itinérant",0,0,22,31,3,56,149
35085,"Perth--Wellington/Perth--Wellington"," 510B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510A,,,,,,30
35085,"Perth--Wellington/Perth--Wellington"," 511","West Perth",Combined with No./Résultats combinés à ceux du n°94,,,,,,9
35085,"Perth--Wellington/Perth--Wellington"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°401,,,,,,65
35085,"Perth--Wellington/Perth--Wellington"," 513","Mobile poll/Bureau itinérant",3,4,78,57,0,142,136
35085,"Perth--Wellington/Perth--Wellington"," 514","Mobile poll/Bureau itinérant",1,3,62,34,2,102,84
35085,"Perth--Wellington/Perth--Wellington"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,125
35085,"Perth--Wellington/Perth--Wellington"," 516","Mobile poll/Bureau itinérant",5,11,96,55,0,167,145
35085,"Perth--Wellington/Perth--Wellington"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,103
35085,"Perth--Wellington/Perth--Wellington"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,88
35085,"Perth--Wellington/Perth--Wellington"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,65
35085,"Perth--Wellington/Perth--Wellington"," 520","Mobile poll/Bureau itinérant",4,5,41,52,2,104,129
35085,"Perth--Wellington/Perth--Wellington"," 600","Minto",14,36,415,750,5,1220,
35085,"Perth--Wellington/Perth--Wellington"," 601","Wellington North",33,53,591,795,15,1487,
35085,"Perth--Wellington/Perth--Wellington"," 602","Wellington North",12,14,324,521,4,875,
35085,"Perth--Wellington/Perth--Wellington"," 603","Wellington North",36,48,413,792,5,1294,
35085,"Perth--Wellington/Perth--Wellington"," 604","Mapleton",7,10,124,271,2,414,
35085,"Perth--Wellington/Perth--Wellington"," 605","Mapleton",12,34,358,725,9,1138,
35085,"Perth--Wellington/Perth--Wellington"," 606","Minto",21,47,358,678,0,1104,
35085,"Perth--Wellington/Perth--Wellington"," 607","North Perth",19,41,368,613,2,1043,
35085,"Perth--Wellington/Perth--Wellington"," 608","North Perth",17,27,367,532,10,953,
35085,"Perth--Wellington/Perth--Wellington"," 609","North Perth",13,23,369,505,3,913,
35085,"Perth--Wellington/Perth--Wellington"," 610","North Perth",4,11,130,247,3,395,
35085,"Perth--Wellington/Perth--Wellington"," 611","North Perth",12,31,265,480,2,790,
35085,"Perth--Wellington/Perth--Wellington"," 612","Perth East",3,15,192,256,4,470,
35085,"Perth--Wellington/Perth--Wellington"," 613","Perth East",8,38,555,499,1,1101,
35085,"Perth--Wellington/Perth--Wellington"," 614","West Perth",9,30,357,794,5,1195,
35085,"Perth--Wellington/Perth--Wellington"," 615","West Perth",19,39,376,795,4,1233,
35085,"Perth--Wellington/Perth--Wellington"," 616","Perth South",9,40,613,315,14,991,
35085,"Perth--Wellington/Perth--Wellington"," 617","Stratford",8,75,1123,434,4,1644,
35085,"Perth--Wellington/Perth--Wellington"," 618","Stratford",11,49,1010,449,7,1526,
35085,"Perth--Wellington/Perth--Wellington"," 619","Stratford",15,90,885,395,9,1394,
35085,"Perth--Wellington/Perth--Wellington"," 620","Stratford",8,59,584,284,5,940,
35085,"Perth--Wellington/Perth--Wellington"," 621","Perth South",13,17,291,236,2,559,
35085,"Perth--Wellington/Perth--Wellington"," 622","Perth South",19,58,802,775,2,1656,
35085,"Perth--Wellington/Perth--Wellington"," 623","St. Marys",18,82,853,625,10,1588,
35085,"Perth--Wellington/Perth--Wellington",,Group 1/Groupe 1, 3,34,258,122,25,442,253
35085,"Perth--Wellington/Perth--Wellington",,Group 2/Groupe 2, 38,176,2569,1493,38,4314,
