Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bentley Barnes,David Bexte,Louisa Gwin,Tom Lipp,Aaron Patton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 1","Beiseker",26,250,5,3,4,3,291,423
48003,"Bow River/Bow River"," 2","Beiseker",6,18,1,0,0,0,25,248
48003,"Bow River/Bow River"," 3","Beiseker",4,16,2,3,3,0,28,285
48003,"Bow River/Bow River"," 4","Irricana",39,200,4,1,1,2,247,480
48003,"Bow River/Bow River"," 5","Irricana",43,241,16,2,1,2,305,586
48003,"Bow River/Bow River"," 6","Irricana",11,151,3,4,1,0,170,478
48003,"Bow River/Bow River"," 7","Rocky View County",9,46,2,0,0,0,57,130
48003,"Bow River/Bow River"," 8","Keoma",38,255,12,3,1,0,309,486
48003,"Bow River/Bow River"," 9","Delacour",57,104,12,0,3,0,176,588
48003,"Bow River/Bow River"," 10","Carbon",17,70,12,3,4,0,106,173
48003,"Bow River/Bow River"," 11","Rockyford",15,170,4,2,1,0,192,447
48003,"Bow River/Bow River"," 12","Rockyford",21,161,5,6,0,0,193,382
48003,"Bow River/Bow River"," 13","Conrich",14,56,4,4,0,0,78,228
48003,"Bow River/Bow River"," 14A","Conrich",53,61,2,0,1,0,117,345
48003,"Bow River/Bow River"," 14B","Conrich",51,76,1,0,1,0,129,370
48003,"Bow River/Bow River"," 15","Conrich",68,101,1,0,0,1,171,517
48003,"Bow River/Bow River"," 16","Rocky View County",27,170,6,8,3,5,219,418
48003,"Bow River/Bow River"," 17","Dalroy",14,153,4,4,0,0,175,288
48003,"Bow River/Bow River"," 18A","Chestermere",26,71,3,0,0,0,100,340
48003,"Bow River/Bow River"," 18B","Chestermere",22,76,1,0,0,0,99,393
48003,"Bow River/Bow River"," 19","Chestermere",14,77,5,0,0,2,98,315
48003,"Bow River/Bow River"," 20","Chestermere",32,80,1,1,0,2,116,349
48003,"Bow River/Bow River"," 21","Chestermere",51,112,4,1,2,1,171,638
48003,"Bow River/Bow River"," 22","Chestermere",32,82,2,0,0,0,116,434
48003,"Bow River/Bow River"," 23","Chestermere",40,70,3,0,0,0,113,431
48003,"Bow River/Bow River"," 24","Chestermere",27,69,0,0,2,0,98,405
48003,"Bow River/Bow River"," 25","Chestermere",59,76,4,0,0,3,142,519
48003,"Bow River/Bow River"," 26","Chestermere",31,57,4,0,0,3,95,460
48003,"Bow River/Bow River"," 27","Chestermere",8,26,0,0,0,0,34,160
48003,"Bow River/Bow River"," 28A","Chestermere",23,76,4,0,1,0,104,426
48003,"Bow River/Bow River"," 28B","Chestermere",29,63,4,2,0,1,99,382
48003,"Bow River/Bow River"," 29","Chestermere",57,79,5,0,1,0,142,522
48003,"Bow River/Bow River"," 30","Chestermere",52,100,5,2,0,0,159,610
48003,"Bow River/Bow River"," 31","Chestermere",24,61,2,0,0,1,88,364
48003,"Bow River/Bow River"," 32","Chestermere",29,74,8,0,0,0,111,482
48003,"Bow River/Bow River"," 33","Chestermere",8,56,2,0,1,0,67,251
48003,"Bow River/Bow River"," 34","Chestermere",13,62,7,2,0,0,84,425
48003,"Bow River/Bow River"," 35","Chestermere",67,136,12,0,0,2,217,673
48003,"Bow River/Bow River"," 36","Chestermere",23,68,2,0,0,0,93,404
48003,"Bow River/Bow River"," 37","Chestermere",21,59,3,3,0,0,86,423
48003,"Bow River/Bow River"," 38A","Chestermere",46,107,2,0,2,1,158,584
48003,"Bow River/Bow River"," 38B","Chestermere",50,103,9,1,1,1,165,557
48003,"Bow River/Bow River"," 39","Chestermere",24,68,3,0,1,0,96,460
48003,"Bow River/Bow River"," 40","Chestermere",23,89,6,2,0,0,120,516
48003,"Bow River/Bow River"," 41","Chestermere",18,88,3,1,0,0,110,441
48003,"Bow River/Bow River"," 42","Chestermere",10,81,0,3,0,2,96,422
48003,"Bow River/Bow River"," 43","Chestermere",22,57,2,2,0,2,85,338
48003,"Bow River/Bow River"," 44","Chestermere",78,144,6,1,0,0,229,749
48003,"Bow River/Bow River"," 45","Chestermere",24,87,6,1,0,1,119,441
48003,"Bow River/Bow River"," 46","Chestermere",47,85,8,0,0,0,140,529
48003,"Bow River/Bow River"," 47","Chestermere",41,75,5,0,1,1,123,466
48003,"Bow River/Bow River"," 48","Chestermere",10,24,1,1,0,0,36,161
48003,"Bow River/Bow River"," 49A","Chestermere",58,115,3,1,1,0,178,549
48003,"Bow River/Bow River"," 49B","Chestermere",36,112,5,0,0,1,154,531
48003,"Bow River/Bow River"," 50","Chestermere",39,113,0,0,0,0,152,546
48003,"Bow River/Bow River"," 51","Chestermere",42,88,5,0,0,0,135,493
48003,"Bow River/Bow River"," 52A","Chestermere",84,118,6,0,1,2,211,581
48003,"Bow River/Bow River"," 52B","Chestermere",77,117,4,2,0,0,200,608
48003,"Bow River/Bow River"," 53","Chestermere",51,179,5,5,0,1,241,796
48003,"Bow River/Bow River"," 54","Chestermere",18,74,4,0,1,4,101,361
48003,"Bow River/Bow River"," 55","Chestermere",29,43,1,1,0,0,74,182
48003,"Bow River/Bow River"," 56","Chestermere--Langdon",14,89,6,2,0,1,112,409
48003,"Bow River/Bow River"," 57","Lyalta",8,56,1,0,2,0,67,123
48003,"Bow River/Bow River"," 58A","Lyalta",11,108,9,2,0,0,130,387
48003,"Bow River/Bow River"," 58B","Lyalta",123,26,4,0,1,0,154,384
48003,"Bow River/Bow River"," 59","Strathmore",26,113,4,1,0,0,144,424
48003,"Bow River/Bow River"," 60","Strathmore",15,98,4,0,2,1,120,399
48003,"Bow River/Bow River"," 61","Strathmore",22,118,2,6,1,0,149,502
48003,"Bow River/Bow River"," 62","Strathmore",37,124,7,4,0,0,172,489
48003,"Bow River/Bow River"," 63","Strathmore",28,120,4,0,1,0,153,513
48003,"Bow River/Bow River"," 64","Strathmore",39,163,1,0,0,3,206,674
48003,"Bow River/Bow River"," 65","Strathmore",29,115,9,0,2,0,155,516
48003,"Bow River/Bow River"," 66A","Nightingale",21,137,1,0,3,1,163,518
48003,"Bow River/Bow River"," 66B","Nightingale",8,125,5,2,0,0,140,440
48003,"Bow River/Bow River"," 67","Wheatland County",35,126,8,1,0,1,171,488
48003,"Bow River/Bow River"," 68","Strathmore",18,95,8,1,1,0,123,325
48003,"Bow River/Bow River"," 69","Strathmore",23,131,11,0,0,1,166,511
48003,"Bow River/Bow River"," 70","Strathmore",38,138,8,1,0,1,186,509
48003,"Bow River/Bow River"," 71","Strathmore",26,109,6,0,2,0,143,414
48003,"Bow River/Bow River"," 72","Strathmore",27,167,6,0,0,1,201,580
48003,"Bow River/Bow River"," 73","Strathmore",51,171,12,0,1,0,235,723
48003,"Bow River/Bow River"," 74","Strathmore",21,116,8,4,1,0,150,467
48003,"Bow River/Bow River"," 75","Strathmore",32,105,4,0,1,1,143,497
48003,"Bow River/Bow River"," 76","Strathmore",19,77,9,0,1,0,106,371
48003,"Bow River/Bow River"," 77","Strathmore",16,83,2,0,0,1,102,365
48003,"Bow River/Bow River"," 78","Strathmore",31,100,8,3,1,0,143,411
48003,"Bow River/Bow River"," 79","Strathmore",37,100,10,0,0,1,148,431
48003,"Bow River/Bow River"," 80","Strathmore",10,230,2,0,1,1,244,694
48003,"Bow River/Bow River"," 81","Langdon",11,103,3,4,1,0,122,411
48003,"Bow River/Bow River"," 82","Rocky View County",60,299,16,0,3,0,378,711
48003,"Bow River/Bow River"," 83","Bennett",18,171,1,11,0,0,201,555
48003,"Bow River/Bow River"," 84","Rocky View County",38,188,10,0,1,1,238,437
48003,"Bow River/Bow River"," 85","Rocky View County",53,228,13,0,1,1,296,562
48003,"Bow River/Bow River"," 86","Rocky View County",34,146,1,0,0,0,181,342
48003,"Bow River/Bow River"," 87","Rocky View County",18,151,3,0,0,1,173,267
48003,"Bow River/Bow River"," 88","Standard",21,164,7,4,1,0,197,317
48003,"Bow River/Bow River"," 89","Chancellor",18,152,0,0,1,0,171,311
48003,"Bow River/Bow River"," 90","Dalum",17,126,4,0,0,0,147,247
48003,"Bow River/Bow River"," 91","Hussar",8,130,1,1,1,0,141,345
48003,"Bow River/Bow River"," 92","Hussar",14,147,3,0,0,0,164,314
48003,"Bow River/Bow River"," 93","Rocky View County",20,138,7,3,3,0,171,304
48003,"Bow River/Bow River"," 94A","Rocky View County",25,207,7,0,0,0,239,442
48003,"Bow River/Bow River"," 94B","Rocky View County",38,162,4,1,1,0,206,373
48003,"Bow River/Bow River"," 95","Langdon",75,305,9,0,0,1,390,657
48003,"Bow River/Bow River"," 96","Langdon",38,222,7,0,1,0,268,553
48003,"Bow River/Bow River"," 97","Dalemead",25,156,5,1,2,0,189,413
48003,"Bow River/Bow River"," 98","Indus",18,164,7,1,2,2,194,392
48003,"Bow River/Bow River"," 99","Strathmore",22,106,9,0,1,1,139,365
48003,"Bow River/Bow River"," 100","Strathmore",17,97,8,0,3,0,125,448
48003,"Bow River/Bow River"," 101","Strathmore",23,111,1,0,2,0,137,409
48003,"Bow River/Bow River"," 102","Strathmore",23,126,5,3,2,0,159,485
48003,"Bow River/Bow River"," 103A","Namaka",22,158,3,0,2,1,186,387
48003,"Bow River/Bow River"," 103B","Namaka",30,159,3,1,1,3,197,387
48003,"Bow River/Bow River"," 104","Carseland",49,293,13,6,3,0,364,538
48003,"Bow River/Bow River"," 105","Carseland",50,300,7,4,2,0,363,515
48003,"Bow River/Bow River"," 106","Gleichen",26,108,14,2,0,0,150,488
48003,"Bow River/Bow River"," 107","Cluny",12,73,5,2,1,3,96,373
48003,"Bow River/Bow River"," 108A","Siksika 146",32,11,12,1,1,1,58,543
48003,"Bow River/Bow River"," 108B","Siksika 146",33,20,4,0,2,0,59,527
48003,"Bow River/Bow River"," 108C","Siksika 146",30,20,13,1,1,1,66,497
48003,"Bow River/Bow River"," 109","Siksika 146",Void/Supprimé,,,,,,,
48003,"Bow River/Bow River"," 110","Gem",2,154,1,0,0,0,157,300
48003,"Bow River/Bow River"," 111","Arrowwood",10,305,6,0,1,0,322,546
48003,"Bow River/Bow River"," 112","Siksika 146",171,42,66,5,6,0,290,495
48003,"Bow River/Bow River"," 113","Bassano",7,90,1,0,0,0,98,427
48003,"Bow River/Bow River"," 114","Bassano",19,95,7,1,2,2,126,392
48003,"Bow River/Bow River"," 115A","Bassano",22,75,5,1,1,2,106,293
48003,"Bow River/Bow River"," 115B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,32
48003,"Bow River/Bow River"," 116","Bassano",9,98,5,0,1,1,114,326
48003,"Bow River/Bow River"," 117","Rosemary",9,177,4,6,0,0,196,332
48003,"Bow River/Bow River"," 118","Rosemary",2,141,4,1,0,0,148,244
48003,"Bow River/Bow River"," 119","Milo",20,226,5,4,1,1,257,410
48003,"Bow River/Bow River"," 120","Duchess",25,209,3,3,2,0,242,448
48003,"Bow River/Bow River"," 121","Duchess",18,181,3,1,1,1,205,433
48003,"Bow River/Bow River"," 122","Duchess",8,216,1,1,0,0,226,422
48003,"Bow River/Bow River"," 123","Patricia",6,143,1,1,1,1,153,345
48003,"Bow River/Bow River"," 124","Cassils",4,133,3,1,0,0,141,329
48003,"Bow River/Bow River"," 125","Brooks",16,92,7,0,0,0,115,386
48003,"Bow River/Bow River"," 126","Brooks",36,86,1,3,2,7,135,428
48003,"Bow River/Bow River"," 127","Brooks",25,101,4,2,0,2,134,471
48003,"Bow River/Bow River"," 128","Brooks",23,136,8,0,0,1,168,439
48003,"Bow River/Bow River"," 129","Brooks",19,71,2,5,3,3,103,381
48003,"Bow River/Bow River"," 130","Brooks",27,136,6,0,0,2,171,479
48003,"Bow River/Bow River"," 131","Brooks",34,117,5,1,3,4,164,438
48003,"Bow River/Bow River"," 132","Brooks",23,117,1,1,0,5,147,437
48003,"Bow River/Bow River"," 133","Brooks",24,88,0,0,1,1,114,350
48003,"Bow River/Bow River"," 134","Brooks",14,91,3,1,1,0,110,372
48003,"Bow River/Bow River"," 135","Brooks",42,84,8,1,1,4,140,412
48003,"Bow River/Bow River"," 136","Brooks",25,115,10,2,0,1,153,498
