Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lux Burgess,Connie Cody,Manuel Couto,José de Lima,Bryan May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Cambridge/Cambridge"," 35","Cambridge",4,100,0,4,76,0,184,438
35019,"Cambridge/Cambridge"," 36","Cambridge",1,111,0,5,63,1,181,450
35019,"Cambridge/Cambridge"," 37A","Cambridge",2,94,0,14,63,0,173,430
35019,"Cambridge/Cambridge"," 37B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,33
35019,"Cambridge/Cambridge"," 38","Cambridge",0,41,0,7,87,0,135,451
35019,"Cambridge/Cambridge"," 39","Cambridge",5,66,0,10,108,5,194,515
35019,"Cambridge/Cambridge"," 40","Cambridge",4,139,0,16,88,0,247,594
35019,"Cambridge/Cambridge"," 41","Cambridge",4,94,0,12,61,2,173,480
35019,"Cambridge/Cambridge"," 42A","Cambridge",Combined with No./Résultats combinés à ceux du n°61A,,,,,,,171
35019,"Cambridge/Cambridge"," 42B","Cambridge",Combined with No./Résultats combinés à ceux du n°61B,,,,,,,191
35019,"Cambridge/Cambridge"," 42C","Cambridge",Combined with No./Résultats combinés à ceux du n°61C,,,,,,,158
35019,"Cambridge/Cambridge"," 43","Cambridge",0,35,0,4,63,3,105,410
35019,"Cambridge/Cambridge"," 44","Cambridge",1,82,0,10,73,0,166,447
35019,"Cambridge/Cambridge"," 45","Cambridge",1,102,0,3,87,1,194,421
35019,"Cambridge/Cambridge"," 46","Cambridge",6,84,0,14,54,2,160,454
35019,"Cambridge/Cambridge"," 47","Cambridge",7,95,0,10,73,1,186,449
35019,"Cambridge/Cambridge"," 48","Cambridge",7,101,0,7,110,3,228,541
35019,"Cambridge/Cambridge"," 49","Cambridge",3,95,1,11,87,2,199,494
35019,"Cambridge/Cambridge"," 50","Cambridge",3,117,0,2,145,0,267,498
35019,"Cambridge/Cambridge"," 51","Cambridge",2,101,0,11,113,1,228,543
35019,"Cambridge/Cambridge"," 52","Cambridge",5,105,0,13,104,0,227,491
35019,"Cambridge/Cambridge"," 53","Cambridge",12,78,0,17,79,0,186,466
35019,"Cambridge/Cambridge"," 54","Cambridge",6,103,1,13,73,0,196,446
35019,"Cambridge/Cambridge"," 55","Cambridge",4,106,0,8,114,0,232,460
35019,"Cambridge/Cambridge"," 56","Cambridge",5,61,0,11,59,5,141,469
35019,"Cambridge/Cambridge"," 57","Cambridge",4,95,1,15,64,0,179,452
35019,"Cambridge/Cambridge"," 58","Cambridge",2,107,0,6,91,1,207,433
35019,"Cambridge/Cambridge"," 59","Cambridge",2,77,2,6,65,2,154,449
35019,"Cambridge/Cambridge"," 60","Cambridge",4,96,0,11,72,2,185,423
35019,"Cambridge/Cambridge"," 61A","Cambridge",3,84,2,16,93,0,198,272
35019,"Cambridge/Cambridge"," 61B","Cambridge",2,111,0,15,94,1,223,252
35019,"Cambridge/Cambridge"," 61C","Cambridge",5,114,1,10,96,0,226,251
35019,"Cambridge/Cambridge"," 62","Cambridge",3,107,1,14,87,5,217,503
35019,"Cambridge/Cambridge"," 63","Cambridge",2,102,0,5,97,0,206,464
35019,"Cambridge/Cambridge"," 64","Cambridge",6,80,0,16,62,0,164,417
35019,"Cambridge/Cambridge"," 65","Cambridge",1,103,0,13,93,0,210,403
35019,"Cambridge/Cambridge"," 66","Cambridge",4,113,0,7,62,1,187,486
35019,"Cambridge/Cambridge"," 67","Cambridge",2,99,1,12,95,0,209,549
35019,"Cambridge/Cambridge"," 68","Cambridge",2,117,0,5,83,1,208,544
35019,"Cambridge/Cambridge"," 69","Cambridge",8,97,0,4,97,0,206,502
