Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Arner,Brendan Hyatt,Marcus Powlowski,Sabrina Ree,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1","Upsala",0,64,13,0,2,0,79,161
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2","Morson",1,37,27,0,8,1,74,143
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2-1","Saug-A-Gaw-Sing 1",Combined with No./Résultats combinés à ceux du n°2,,,,,,,0
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 3","Big Island Mainland 93",Combined with No./Résultats combinés à ceux du n°2,,,,,,,8
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 4","Big Grassy River 35G",0,2,19,0,17,0,38,146
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5","Bergland",0,54,21,0,9,0,84,127
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5-1","Assabaska",Combined with No./Résultats combinés à ceux du n°5,,,,,,,0
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6","Couchiching 16A",0,28,74,2,27,0,131,419
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7","Fort Frances",0,19,23,0,4,0,46,246
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7-1","Agency 1",Combined with No./Résultats combinés à ceux du n°7,,,,,,,1
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 8","Finland",0,105,44,1,4,1,155,260
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 9","Rocky Inlet",1,118,82,0,5,3,209,382
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 10","Northwest Bay--Rainy Lake 17A",0,5,22,1,22,0,50,100
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 11","Thunder Bay, Unorganized",0,2,10,0,0,0,12,15
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 12","Dawson",2,83,37,4,3,0,129,351
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 13","Rainy River",0,29,30,0,3,0,62,233
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 14","Rainy River",0,72,43,2,10,0,127,445
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15","Atikokan",3,49,32,1,18,0,103,304
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 16","Atikokan",1,45,41,1,4,0,92,246
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 17","Atikokan",1,34,24,3,10,0,72,276
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 18","Atikokan",1,36,31,1,12,0,81,286
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 19","Pinewood",0,209,52,4,6,0,271,447
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 20","Bear Pass",1,33,29,0,2,0,65,176
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 20-1","Rainy Lake 26A",1,1,31,0,4,0,37,80
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21","Mine Centre",0,22,19,1,3,0,45,184
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22","Dance",1,122,41,2,5,0,171,323
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 23","Devlin",3,227,101,6,13,1,351,574
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 24","Rainy Lake 18C",0,2,19,1,9,0,31,79
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 25","Emo",0,276,39,7,12,1,335,523
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 26","Emo",4,130,48,3,7,1,193,286
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 27","Emo",5,117,48,1,9,2,182,286
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 28","Barwick",0,111,26,5,14,0,156,261
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 29","Shabaqua",0,85,49,5,3,1,143,353
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 30","Mokomon",1,103,60,0,11,0,175,324
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 31","Thunder Bay, Unorganized",2,78,58,2,8,1,149,311
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 32","Atikokan",1,44,38,1,3,0,87,314
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 33","Atikokan",0,33,30,3,7,0,73,276
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 34","Atikokan",1,54,32,2,9,0,98,338
