Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ebrahim Astaraki,Vincent Ho,Majid Jowhari,Alison Lam,Joshua Sideris,Yan Wang,Juni Yeung,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"Richmond Hill South/Richmond Hill-Sud"," 1","Richmond Hill",4,112,71,2,2,2,0,2,195,439
35089,"Richmond Hill South/Richmond Hill-Sud"," 2","Richmond Hill",1,125,87,2,2,0,0,0,217,517
35089,"Richmond Hill South/Richmond Hill-Sud"," 3","Richmond Hill",1,99,58,1,0,1,0,1,161,439
35089,"Richmond Hill South/Richmond Hill-Sud"," 4","Richmond Hill",6,80,52,1,0,0,0,1,140,378
35089,"Richmond Hill South/Richmond Hill-Sud"," 5","Richmond Hill",6,98,80,0,0,1,0,1,186,504
35089,"Richmond Hill South/Richmond Hill-Sud"," 6","Richmond Hill",1,82,75,1,0,0,0,1,160,414
35089,"Richmond Hill South/Richmond Hill-Sud"," 7","Richmond Hill",3,92,78,1,0,1,0,0,175,554
35089,"Richmond Hill South/Richmond Hill-Sud"," 8","Richmond Hill",0,77,83,0,3,2,0,0,165,393
35089,"Richmond Hill South/Richmond Hill-Sud"," 9","Richmond Hill",1,111,60,2,0,0,0,2,176,561
35089,"Richmond Hill South/Richmond Hill-Sud"," 10","Richmond Hill",3,95,47,2,0,0,1,1,149,551
35089,"Richmond Hill South/Richmond Hill-Sud"," 11","Richmond Hill",0,56,60,0,0,1,2,4,123,442
35089,"Richmond Hill South/Richmond Hill-Sud"," 12","Richmond Hill",1,74,60,4,0,0,0,0,139,398
35089,"Richmond Hill South/Richmond Hill-Sud"," 13","Richmond Hill",0,100,65,4,1,1,0,1,172,534
35089,"Richmond Hill South/Richmond Hill-Sud"," 14","Richmond Hill",2,76,77,2,3,0,0,1,161,529
35089,"Richmond Hill South/Richmond Hill-Sud"," 15","Richmond Hill",2,66,45,1,0,1,0,0,115,495
35089,"Richmond Hill South/Richmond Hill-Sud"," 16","Richmond Hill",4,92,73,1,0,0,0,1,171,546
35089,"Richmond Hill South/Richmond Hill-Sud"," 17","Richmond Hill",0,81,42,4,0,0,0,0,127,439
35089,"Richmond Hill South/Richmond Hill-Sud"," 18","Richmond Hill",0,81,52,1,1,0,0,0,135,486
35089,"Richmond Hill South/Richmond Hill-Sud"," 19","Richmond Hill",3,60,44,0,0,0,0,2,109,382
35089,"Richmond Hill South/Richmond Hill-Sud"," 20","Richmond Hill",6,72,69,1,5,0,0,2,155,397
35089,"Richmond Hill South/Richmond Hill-Sud"," 21","Richmond Hill",14,50,61,1,0,0,0,2,128,404
35089,"Richmond Hill South/Richmond Hill-Sud"," 22","Richmond Hill",1,113,75,6,0,0,0,4,199,538
35089,"Richmond Hill South/Richmond Hill-Sud"," 23","Richmond Hill",4,84,76,3,2,0,0,0,169,416
35089,"Richmond Hill South/Richmond Hill-Sud"," 24","Richmond Hill",5,72,49,0,0,1,0,1,128,406
35089,"Richmond Hill South/Richmond Hill-Sud"," 25","Richmond Hill",3,80,47,3,1,1,0,2,137,437
35089,"Richmond Hill South/Richmond Hill-Sud"," 26","Richmond Hill",2,59,42,5,1,0,0,1,110,421
35089,"Richmond Hill South/Richmond Hill-Sud"," 27","Richmond Hill",2,75,57,2,1,0,0,1,138,400
35089,"Richmond Hill South/Richmond Hill-Sud"," 28","Richmond Hill",3,48,46,2,0,0,0,1,100,364
35089,"Richmond Hill South/Richmond Hill-Sud"," 29","Richmond Hill",4,64,61,3,0,0,1,2,135,445
35089,"Richmond Hill South/Richmond Hill-Sud"," 30","Richmond Hill",1,65,43,1,0,0,0,1,111,372
35089,"Richmond Hill South/Richmond Hill-Sud"," 31","Richmond Hill",0,72,52,3,4,0,0,0,131,489
35089,"Richmond Hill South/Richmond Hill-Sud"," 32","Richmond Hill",3,62,63,3,0,0,0,2,133,414
35089,"Richmond Hill South/Richmond Hill-Sud"," 33","Richmond Hill",3,59,27,2,2,1,0,0,94,259
35089,"Richmond Hill South/Richmond Hill-Sud"," 34","Richmond Hill",1,58,30,0,0,0,0,0,89,418
35089,"Richmond Hill South/Richmond Hill-Sud"," 35","Richmond Hill",2,59,31,0,1,0,0,1,94,354
35089,"Richmond Hill South/Richmond Hill-Sud"," 36","Richmond Hill",0,67,66,1,0,0,0,1,135,441
35089,"Richmond Hill South/Richmond Hill-Sud"," 37","Richmond Hill",1,70,52,0,1,0,0,0,124,401
35089,"Richmond Hill South/Richmond Hill-Sud"," 38","Richmond Hill",3,106,61,1,3,0,0,2,176,444
35089,"Richmond Hill South/Richmond Hill-Sud"," 39","Richmond Hill",3,89,63,3,0,0,0,1,159,402
35089,"Richmond Hill South/Richmond Hill-Sud"," 40","Richmond Hill",4,72,90,3,2,0,1,2,174,403
35089,"Richmond Hill South/Richmond Hill-Sud"," 41","Richmond Hill",6,101,74,1,2,0,0,0,184,455
35089,"Richmond Hill South/Richmond Hill-Sud"," 42","Richmond Hill",1,83,59,2,1,1,0,0,147,370
35089,"Richmond Hill South/Richmond Hill-Sud"," 43","Richmond Hill",1,83,44,1,1,0,0,0,130,526
35089,"Richmond Hill South/Richmond Hill-Sud"," 44","Richmond Hill",1,73,35,0,0,0,0,1,110,424
35089,"Richmond Hill South/Richmond Hill-Sud"," 45","Richmond Hill",0,55,29,3,0,0,0,0,87,314
