Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ted Falk,Noël Gautron,Trevor Kirczenow,Blair Mahaffy,Brandy Schmidt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Provencher/Provencher"," 148","St. Jean Baptiste",81,2,27,2,7,0,119,194
46006,"Provencher/Provencher"," 149","Pansy",197,0,20,0,1,0,218,307
46006,"Provencher/Provencher"," 150","Zhoda",106,3,13,0,5,1,128,333
46006,"Provencher/Provencher"," 151","Rosa",222,12,26,5,17,2,284,430
46006,"Provencher/Provencher"," 152","Dominion City",144,2,46,0,14,0,206,413
46006,"Provencher/Provencher"," 153","Roseau River 2 -- Roseau Rapids 2A",8,0,50,2,27,0,87,376
46006,"Provencher/Provencher"," 154","Letellier",74,3,31,2,7,2,119,264
46006,"Provencher/Provencher"," 155","Ridgeville",144,4,21,2,6,1,178,321
46006,"Provencher/Provencher"," 156","Vassar",135,8,43,4,9,3,202,440
46006,"Provencher/Provencher"," 157","Vita",93,2,11,1,4,0,111,319
46006,"Provencher/Provencher"," 158","Stuartburn",101,8,26,1,9,3,148,361
46006,"Provencher/Provencher"," 159","Sprague",100,6,18,1,11,0,136,357
46006,"Provencher/Provencher"," 160","Tolstoi",176,5,29,1,14,0,225,468
46006,"Provencher/Provencher"," 161","Emerson",80,1,48,3,13,2,147,276
46006,"Provencher/Provencher"," 162","Emerson",105,0,48,4,10,0,167,274
46006,"Provencher/Provencher"," 163","Sundown",75,7,12,0,12,0,106,246
46006,"Provencher/Provencher"," 164","Buffalo Point 36",48,3,37,1,3,0,92,191
46006,"Provencher/Provencher"," 500","Mobile poll/Bureau itinérant",11,1,4,0,3,0,19,27
46006,"Provencher/Provencher"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,13
46006,"Provencher/Provencher"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,21
46006,"Provencher/Provencher"," 503","Mobile poll/Bureau itinérant",33,2,50,1,6,3,95,98
46006,"Provencher/Provencher"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,25
46006,"Provencher/Provencher"," 505","Mobile poll/Bureau itinérant",20,1,12,0,3,1,37,80
46006,"Provencher/Provencher"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46006,"Provencher/Provencher"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,22
46006,"Provencher/Provencher"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,23
46006,"Provencher/Provencher"," 509","Mobile poll/Bureau itinérant",107,2,25,7,8,0,149,67
46006,"Provencher/Provencher"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,59
46006,"Provencher/Provencher"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,31
46006,"Provencher/Provencher"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,145
46006,"Provencher/Provencher"," 513","Mobile poll/Bureau itinérant",118,4,11,1,3,0,137,94
46006,"Provencher/Provencher"," 514","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46006,"Provencher/Provencher"," 515","Mobile poll/Bureau itinérant",109,2,27,1,7,5,151,151
46006,"Provencher/Provencher"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,25
46006,"Provencher/Provencher"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,23
46006,"Provencher/Provencher"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,10
46006,"Provencher/Provencher"," 519","Mobile poll/Bureau itinérant",48,1,34,0,7,3,93,76
46006,"Provencher/Provencher"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,40
46006,"Provencher/Provencher"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,35
46006,"Provencher/Provencher"," 522","Mobile poll/Bureau itinérant",44,3,33,4,10,0,94,32
46006,"Provencher/Provencher"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,9
46006,"Provencher/Provencher"," 600","Whitemouth--Reynolds",181,9,81,3,28,0,302,
46006,"Provencher/Provencher"," 601","Springfield--Reynolds",373,12,221,10,40,4,660,
46006,"Provencher/Provencher"," 602","Springfield",563,10,303,10,35,2,923,
46006,"Provencher/Provencher"," 603","Taché",399,13,240,6,41,0,699,
46006,"Provencher/Provencher"," 604","Taché",403,7,319,10,53,4,796,
46006,"Provencher/Provencher"," 605","Ile des Chênes",561,19,455,9,36,5,1085,
46006,"Provencher/Provencher"," 606","St. Adolphe--Ste. Agathe",294,3,260,6,38,3,604,
46006,"Provencher/Provencher"," 607","Niverville--Hanover",601,9,265,11,27,7,920,
46006,"Provencher/Provencher"," 608","Niverville--Hanover",668,8,267,13,32,6,994,
46006,"Provencher/Provencher"," 609","Ste. Anne",453,14,275,10,34,7,793,
46006,"Provencher/Provencher"," 610","Ste. Anne",508,25,413,12,54,9,1021,
46006,"Provencher/Provencher"," 611","Ste. Anne",380,8,220,4,41,5,658,
46006,"Provencher/Provencher"," 612","Falcon Lake",93,1,49,9,10,1,163,
46006,"Provencher/Provencher"," 613","Shoal Lake (Part) 40",Combined with No./Résultats combinés à ceux du n°612,,,,,,,
46006,"Provencher/Provencher"," 614","La Broquerie",188,12,74,3,11,0,288,
46006,"Provencher/Provencher"," 615","Mitchell--Blumenort",448,10,111,5,16,2,592,
46006,"Provencher/Provencher"," 616","Hanover",882,12,368,5,42,17,1326,
46006,"Provencher/Provencher"," 617","Steinbach",915,11,394,17,46,19,1402,
46006,"Provencher/Provencher"," 618","Mitchell--Blumenort",570,20,145,9,17,4,765,
46006,"Provencher/Provencher"," 619","Grunthal",293,11,64,6,10,0,384,
46006,"Provencher/Provencher"," 620","La Broquerie",520,10,97,2,21,3,653,
46006,"Provencher/Provencher"," 621","De Salaberry--St. Malo",369,13,243,4,33,8,670,
46006,"Provencher/Provencher"," 622","Dominion City--Roseau River 2",166,5,85,6,10,2,274,
46006,"Provencher/Provencher"," 623","Roseau River 2 -- Roseau Rapids 2A",Combined with No./Résultats combinés à ceux du n°622,,,,,,,
46006,"Provencher/Provencher"," 624","De Salaberry--St. Malo",278,13,75,5,13,0,384,
46006,"Provencher/Provencher"," 625","Piney",120,5,47,0,4,0,176,
46006,"Provencher/Provencher"," 626","Buffalo Point 36",Combined with No./Résultats combinés à ceux du n°625,,,,,,,
46006,"Provencher/Provencher",,Group 1/Groupe 1, 170,3,144,6,31,17,371,98
46006,"Provencher/Provencher",,Group 2/Groupe 2, 1485,35,433,21,46,41,2061,
