Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lily Eggink,Henry Geissler,Nathan Hawkins,Shannon Horner-Shepherd,Leslyn Lewis,Colin Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 1","Haldimand County",4,0,10,5,113,40,1,173,462
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 2","Haldimand County",0,2,2,5,84,55,0,148,461
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 3","Haldimand County",0,1,0,7,115,30,0,153,387
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 4A","Haldimand County",0,2,1,1,89,64,0,157,407
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 4B","Haldimand County",4,2,1,3,100,52,0,162,452
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 5A","Haldimand County",0,2,0,6,72,56,1,137,373
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 5B","Haldimand County",1,2,1,5,89,45,0,143,379
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 6","Haldimand County",0,4,2,7,94,55,1,163,404
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 7A","Haldimand County",0,2,0,3,70,30,1,106,308
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 7B","Haldimand County",0,0,0,3,82,34,0,119,345
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 8","Haldimand County",0,0,4,4,82,56,0,146,381
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 9","Haldimand County",0,1,2,15,63,44,1,126,376
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 10","Haldimand County",1,1,1,5,87,39,1,135,374
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 11","Haldimand County",1,3,0,7,83,35,0,129,355
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 12","Haldimand County",0,2,2,6,151,63,2,226,559
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 13","Haldimand County",1,1,2,3,78,61,0,146,475
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 14","Haldimand County",2,3,6,7,91,60,0,169,459
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 15","Haldimand County",1,1,3,7,93,77,0,182,441
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 16","Haldimand County",0,5,5,9,96,76,1,192,533
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 17","Haldimand County",0,4,1,4,132,73,1,215,560
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 18","Haldimand County",0,1,1,4,100,74,2,182,497
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 19","Haldimand County",0,5,1,9,153,80,0,248,497
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 20","Haldimand County",1,3,4,4,132,100,2,246,580
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 21","Haldimand County",0,2,3,9,117,84,0,215,468
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 22","Haldimand County",0,1,2,7,78,70,1,159,431
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 23","Haldimand County",0,0,1,13,136,67,1,218,486
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 24","Haldimand County",4,3,1,10,93,42,2,155,445
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 25","Haldimand County",0,1,1,4,96,65,0,167,470
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 26","Haldimand County",3,1,1,14,168,53,3,243,419
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 27","Haldimand County",2,1,1,9,146,45,0,204,406
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 28","Haldimand County",2,3,5,10,126,83,1,230,435
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 29","Haldimand County",10,2,3,6,154,48,0,223,407
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 30","Haldimand County",5,0,3,8,151,58,1,226,380
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 31","Haldimand County",4,2,2,7,166,38,0,219,365
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 32","Haldimand County",2,4,2,7,152,33,0,200,404
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 33","Haldimand County",5,4,2,2,176,23,0,212,389
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 34","Haldimand County",1,1,2,7,165,53,1,230,463
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 35","Haldimand County",0,0,2,7,120,33,0,162,359
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 36","Haldimand County",1,4,1,11,121,42,1,181,437
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 37","Haldimand County",1,5,1,12,127,51,1,198,459
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 38","Haldimand County",1,1,5,11,98,49,1,166,470
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 39","Haldimand County",1,2,2,6,94,31,2,138,431
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 40","Haldimand County",4,0,7,8,113,33,0,165,437
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 41","Haldimand County",0,0,2,5,65,42,0,114,343
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 42","Haldimand County",4,0,0,5,93,58,1,161,421
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 43","Haldimand County",1,1,1,5,117,48,0,173,440
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 44","Haldimand County",3,4,3,10,133,44,1,198,511
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 45","Haldimand County",2,0,4,10,97,53,2,168,476
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 46","Norfolk County",4,0,6,7,155,65,0,237,442
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 47","Norfolk County",1,3,2,6,173,67,0,252,477
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 48","Norfolk County",1,1,6,13,156,69,0,246,484
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 49","Haldimand County",0,1,3,12,103,39,2,160,453
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 50","Haldimand County",1,2,2,10,105,32,0,152,378
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 51","Haldimand County",2,5,1,7,103,37,0,155,475
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 52","Haldimand County",0,0,1,2,108,48,0,159,407
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 53","Haldimand County",1,3,3,22,123,44,1,197,560
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 54","Haldimand County",2,2,4,5,90,46,1,150,414
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 55","Haldimand County",1,3,3,8,107,69,1,192,517
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 56","Haldimand County",3,3,3,9,107,53,0,178,440
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 57","Haldimand County",0,2,1,9,80,46,0,138,431
35034,"Haldimand--Norfolk/Haldimand--Norfolk"," 58","Haldimand County",0,3,1,12,131,71,2,220,547
