Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Barbara Bal,Mark Carney,Eric Fleury,Greg Hopkins,Shyam Shukla,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Nepean/Nepean"," 1","Ottawa",33,96,1,3,5,2,140,454
35067,"Nepean/Nepean"," 2","Ottawa",35,82,1,3,11,0,132,393
35067,"Nepean/Nepean"," 3","Ottawa",43,76,1,4,5,2,131,420
35067,"Nepean/Nepean"," 4","Ottawa",102,117,1,2,5,0,227,511
35067,"Nepean/Nepean"," 5","Ottawa",92,142,2,1,5,2,244,456
35067,"Nepean/Nepean"," 6","Ottawa",65,76,1,1,5,0,148,455
35067,"Nepean/Nepean"," 7","Ottawa",64,86,0,0,4,0,154,465
35067,"Nepean/Nepean"," 8","Ottawa",67,87,0,1,1,0,156,441
35067,"Nepean/Nepean"," 9","Ottawa",78,88,0,1,2,0,169,513
35067,"Nepean/Nepean"," 10","Ottawa",63,92,1,0,6,1,163,474
35067,"Nepean/Nepean"," 11","Ottawa",57,114,1,2,10,0,184,476
35067,"Nepean/Nepean"," 12","Ottawa",65,93,1,3,7,1,170,461
35067,"Nepean/Nepean"," 13","Ottawa",43,84,2,1,4,0,134,436
35067,"Nepean/Nepean"," 14","Ottawa",55,83,1,2,3,0,144,458
35067,"Nepean/Nepean"," 15","Ottawa",41,69,1,1,1,1,114,393
35067,"Nepean/Nepean"," 16","Ottawa",36,80,0,2,2,0,120,318
35067,"Nepean/Nepean"," 17","Ottawa",67,92,0,1,16,0,176,423
35067,"Nepean/Nepean"," 18","Ottawa",54,125,1,1,6,2,189,528
35067,"Nepean/Nepean"," 19","Ottawa",61,83,0,1,9,1,155,450
35067,"Nepean/Nepean"," 20","Ottawa",66,54,1,1,5,2,129,426
35067,"Nepean/Nepean"," 21","Ottawa",65,81,0,1,4,1,152,419
35067,"Nepean/Nepean"," 22","Ottawa",67,105,0,5,6,0,183,464
35067,"Nepean/Nepean"," 23","Ottawa",45,97,1,1,4,0,148,394
35067,"Nepean/Nepean"," 24","Ottawa",31,88,2,2,9,1,133,345
35067,"Nepean/Nepean"," 25","Ottawa",51,133,0,2,5,1,192,449
35067,"Nepean/Nepean"," 26","Ottawa",95,145,1,0,11,1,253,492
35067,"Nepean/Nepean"," 27","Ottawa",59,101,0,0,7,3,170,496
35067,"Nepean/Nepean"," 28","Ottawa",41,73,0,1,4,0,119,399
35067,"Nepean/Nepean"," 29","Ottawa",95,136,0,0,4,3,238,551
35067,"Nepean/Nepean"," 30","Ottawa",81,113,2,1,4,0,201,429
35067,"Nepean/Nepean"," 31","Ottawa",56,107,0,1,4,0,168,386
35067,"Nepean/Nepean"," 32","Ottawa",57,154,1,7,15,1,235,443
35067,"Nepean/Nepean"," 33","Ottawa",74,153,1,3,2,2,235,484
35067,"Nepean/Nepean"," 34","Ottawa",54,131,1,1,2,0,189,446
35067,"Nepean/Nepean"," 35","Ottawa",57,132,0,2,5,1,197,404
35067,"Nepean/Nepean"," 36","Ottawa",42,69,1,0,10,0,122,414
35067,"Nepean/Nepean"," 37","Ottawa",41,78,0,2,5,1,127,355
35067,"Nepean/Nepean"," 38","Ottawa",38,61,2,1,7,2,111,366
35067,"Nepean/Nepean"," 39","Ottawa",63,85,0,2,4,0,154,497
35067,"Nepean/Nepean"," 40","Ottawa",57,111,1,2,10,0,181,483
35067,"Nepean/Nepean"," 41","Ottawa",63,103,3,0,4,1,174,468
35067,"Nepean/Nepean"," 42","Ottawa",55,91,1,1,0,1,149,417
35067,"Nepean/Nepean"," 43","Ottawa",73,89,3,0,6,0,171,597
35067,"Nepean/Nepean"," 44","Ottawa",83,95,2,1,3,1,185,615
35067,"Nepean/Nepean"," 45","Ottawa",79,140,2,1,11,3,236,487
35067,"Nepean/Nepean"," 46","Ottawa",51,136,1,0,3,1,192,423
35067,"Nepean/Nepean"," 47","Ottawa",81,114,0,0,3,1,199,378
35067,"Nepean/Nepean"," 48","Ottawa",74,119,2,4,5,4,208,452
35067,"Nepean/Nepean"," 49","Ottawa",72,142,1,1,3,2,221,461
35067,"Nepean/Nepean"," 50","Ottawa",105,144,0,1,5,0,255,566
35067,"Nepean/Nepean"," 51","Ottawa",60,115,1,3,4,0,183,400
35067,"Nepean/Nepean"," 52","Ottawa",63,129,0,0,2,1,195,492
35067,"Nepean/Nepean"," 53","Ottawa",88,160,2,1,6,0,257,565
35067,"Nepean/Nepean"," 54","Ottawa",63,149,2,2,8,2,226,513
35067,"Nepean/Nepean"," 55","Ottawa",38,95,0,0,2,0,135,402
35067,"Nepean/Nepean"," 56","Ottawa",46,93,3,2,13,1,158,345
35067,"Nepean/Nepean"," 57","Ottawa",47,115,0,2,4,0,168,585
35067,"Nepean/Nepean"," 58","Ottawa",43,83,1,1,7,1,136,526
35067,"Nepean/Nepean"," 59","Ottawa",40,88,1,2,3,0,134,408
