Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rhéal Fortin,Christel Marchand,Patricia Morrissette,Mary-Helen Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rivière-du-Nord/Rivière-du-Nord"," 190B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°164B,,,,,,54
24064,"Rivière-du-Nord/Rivière-du-Nord"," 191","Saint-Jérôme",66,7,32,26,4,135,383
24064,"Rivière-du-Nord/Rivière-du-Nord"," 192","Saint-Jérôme",87,5,42,39,3,176,492
24064,"Rivière-du-Nord/Rivière-du-Nord"," 193","Saint-Jérôme",72,14,46,36,6,174,439
24064,"Rivière-du-Nord/Rivière-du-Nord"," 194","Saint-Jérôme",47,9,28,18,5,107,354
24064,"Rivière-du-Nord/Rivière-du-Nord"," 195","Saint-Jérôme",66,12,49,42,5,174,378
24064,"Rivière-du-Nord/Rivière-du-Nord"," 196","Saint-Jérôme",87,7,15,38,5,152,452
24064,"Rivière-du-Nord/Rivière-du-Nord"," 197","Saint-Jérôme",66,5,22,33,2,128,403
24064,"Rivière-du-Nord/Rivière-du-Nord"," 198","Saint-Jérôme",53,4,29,29,3,118,445
24064,"Rivière-du-Nord/Rivière-du-Nord"," 199","Saint-Jérôme",89,5,29,55,7,185,465
24064,"Rivière-du-Nord/Rivière-du-Nord"," 200","Saint-Jérôme",50,6,18,21,4,99,347
24064,"Rivière-du-Nord/Rivière-du-Nord"," 201","Saint-Jérôme",62,8,35,29,5,139,486
24064,"Rivière-du-Nord/Rivière-du-Nord"," 202","Saint-Jérôme",76,10,37,42,3,168,415
24064,"Rivière-du-Nord/Rivière-du-Nord"," 203","Saint-Jérôme",84,3,50,30,4,171,425
24064,"Rivière-du-Nord/Rivière-du-Nord"," 204","Saint-Jérôme",103,5,59,68,2,237,427
24064,"Rivière-du-Nord/Rivière-du-Nord"," 205","Saint-Jérôme",63,6,23,42,1,135,357
24064,"Rivière-du-Nord/Rivière-du-Nord"," 206","Saint-Jérôme",81,6,43,55,7,192,382
24064,"Rivière-du-Nord/Rivière-du-Nord"," 207","Saint-Jérôme",31,7,19,24,6,87,362
24064,"Rivière-du-Nord/Rivière-du-Nord"," 208A","Saint-Jérôme",29,0,17,25,0,71,330
24064,"Rivière-du-Nord/Rivière-du-Nord"," 208B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,21
24064,"Rivière-du-Nord/Rivière-du-Nord"," 208C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,38
24064,"Rivière-du-Nord/Rivière-du-Nord"," 209","Saint-Jérôme",79,4,47,30,5,165,454
24064,"Rivière-du-Nord/Rivière-du-Nord"," 210","Saint-Jérôme",58,3,20,38,3,122,350
24064,"Rivière-du-Nord/Rivière-du-Nord"," 211","Saint-Jérôme",66,3,44,30,3,146,445
24064,"Rivière-du-Nord/Rivière-du-Nord"," 212","Saint-Jérôme",66,6,26,30,5,133,357
24064,"Rivière-du-Nord/Rivière-du-Nord"," 213","Saint-Jérôme",43,4,21,18,5,91,314
24064,"Rivière-du-Nord/Rivière-du-Nord"," 214","Saint-Jérôme",56,6,36,35,5,138,362
24064,"Rivière-du-Nord/Rivière-du-Nord"," 215","Saint-Jérôme",54,6,30,20,4,114,367
24064,"Rivière-du-Nord/Rivière-du-Nord"," 216","Saint-Jérôme",49,8,22,29,2,110,362
24064,"Rivière-du-Nord/Rivière-du-Nord"," 217","Saint-Jérôme",77,11,38,63,4,193,458
24064,"Rivière-du-Nord/Rivière-du-Nord"," 218","Saint-Jérôme",76,3,32,49,2,162,383
24064,"Rivière-du-Nord/Rivière-du-Nord"," 219","Saint-Jérôme",60,5,19,26,1,111,335
24064,"Rivière-du-Nord/Rivière-du-Nord"," 220","Saint-Jérôme",46,5,27,29,2,109,372
24064,"Rivière-du-Nord/Rivière-du-Nord"," 221A","Saint-Jérôme",39,3,9,14,2,67,175
24064,"Rivière-du-Nord/Rivière-du-Nord"," 221B","Mobile poll/Bureau itinérant",66,3,10,51,4,134,210
24064,"Rivière-du-Nord/Rivière-du-Nord"," 221C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,23
24064,"Rivière-du-Nord/Rivière-du-Nord"," 221D","Mobile poll/Bureau itinérant",28,1,7,21,4,61,72
24064,"Rivière-du-Nord/Rivière-du-Nord"," 222","Saint-Jérôme",49,0,21,44,0,114,373
24064,"Rivière-du-Nord/Rivière-du-Nord"," 223","Saint-Jérôme",69,5,64,68,1,207,510
24064,"Rivière-du-Nord/Rivière-du-Nord"," 224","Saint-Jérôme",42,2,28,35,3,110,311
