Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Valerie Brooks,Alec Guggenmos,Luke Guimond,Michaela Krakowetz,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 1","Petaigan",2,0,6,4,83,0,95,295
47014,"Yorkton--Melville/Yorkton--Melville"," 2","Carrot River",1,1,11,3,85,0,101,369
47014,"Yorkton--Melville/Yorkton--Melville"," 3","Carrot River",1,0,6,6,114,0,127,368
47014,"Yorkton--Melville/Yorkton--Melville"," 4","Moose Range",0,1,6,3,71,0,81,228
47014,"Yorkton--Melville/Yorkton--Melville"," 5","Smoky Burn",0,1,8,5,107,3,124,263
47014,"Yorkton--Melville/Yorkton--Melville"," 6","Arborfield",1,3,13,4,153,0,174,271
47014,"Yorkton--Melville/Yorkton--Melville"," 7","Arborfield",0,0,5,1,104,0,110,160
47014,"Yorkton--Melville/Yorkton--Melville"," 8","Mistatim",2,1,15,5,124,1,148,278
47014,"Yorkton--Melville/Yorkton--Melville"," 9","Hudson Bay",2,1,8,1,66,0,78,151
47014,"Yorkton--Melville/Yorkton--Melville"," 10","Hudson Bay",7,0,12,10,93,1,123,349
47014,"Yorkton--Melville/Yorkton--Melville"," 11","Hudson Bay",9,1,18,12,95,0,135,421
47014,"Yorkton--Melville/Yorkton--Melville"," 12","Hudson Bay",4,0,11,10,96,2,123,313
47014,"Yorkton--Melville/Yorkton--Melville"," 13","Hudson Bay",7,0,9,7,78,0,101,300
47014,"Yorkton--Melville/Yorkton--Melville"," 14","Hudson Bay",6,1,8,10,119,0,144,339
47014,"Yorkton--Melville/Yorkton--Melville"," 15","Kinistin 91",1,2,62,9,9,0,83,127
47014,"Yorkton--Melville/Yorkton--Melville"," 16","Pleasantdale",2,1,11,6,99,1,120,216
47014,"Yorkton--Melville/Yorkton--Melville"," 17","Bjorkdale",3,2,19,9,169,0,202,387
47014,"Yorkton--Melville/Yorkton--Melville"," 18","McKague",1,0,5,10,95,1,112,190
47014,"Yorkton--Melville/Yorkton--Melville"," 19","Naicam",1,2,18,7,111,0,139,378
47014,"Yorkton--Melville/Yorkton--Melville"," 20","Naicam",1,1,9,5,81,0,97,333
47014,"Yorkton--Melville/Yorkton--Melville"," 21","Archerwill",2,0,13,8,203,1,227,329
47014,"Yorkton--Melville/Yorkton--Melville"," 22","Porcupine Plain",3,0,19,4,88,0,114,343
47014,"Yorkton--Melville/Yorkton--Melville"," 23","Porcupine Plain",2,0,5,4,77,0,88,245
47014,"Yorkton--Melville/Yorkton--Melville"," 24","Porcupine Plain",2,0,11,2,171,2,188,398
