Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dinah Althorpe,Yawar Anwar,Tony Baldinelli,Andrea Kaiser,Shannon Mitchell,Daniel Shakhmundes,Celia Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 1","Niagara-on-the-Lake",3,0,62,104,6,0,0,1,176,637
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 2","Niagara-on-the-Lake",1,0,38,73,3,0,0,2,117,467
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 3","Niagara-on-the-Lake",0,0,69,113,0,0,4,2,188,559
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 4","Niagara-on-the-Lake",0,0,68,120,5,1,2,4,200,486
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 5","Niagara-on-the-Lake",0,0,44,91,3,0,2,5,145,483
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 6","Niagara-on-the-Lake",1,0,72,83,4,0,0,1,161,524
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 7","Niagara-on-the-Lake",2,0,43,68,0,0,0,1,114,438
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 8","Niagara-on-the-Lake",3,0,93,65,8,0,5,4,178,432
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 9","Niagara-on-the-Lake",1,0,96,47,4,0,0,2,150,415
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 10","Niagara-on-the-Lake",0,0,100,103,3,1,0,0,207,563
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 11","Niagara-on-the-Lake",3,0,82,82,9,2,1,0,179,448
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 12","Niagara-on-the-Lake",2,0,107,68,3,0,0,0,180,417
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 13","Niagara-on-the-Lake",0,0,33,92,1,0,1,0,127,424
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 14","Niagara-on-the-Lake",0,0,37,69,2,0,3,0,111,413
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 15","Niagara-on-the-Lake",1,0,68,77,1,1,0,0,148,577
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 16","Niagara-on-the-Lake",0,0,58,40,1,0,0,1,100,255
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 17","Niagara-on-the-Lake",1,0,99,61,5,0,5,0,171,551
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 18","Niagara-on-the-Lake",1,0,82,84,2,0,1,0,170,529
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 19","Niagara-on-the-Lake",1,0,71,90,4,0,1,0,167,564
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 20","Niagara-on-the-Lake",1,0,76,69,9,0,0,0,155,554
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 21","Niagara-on-the-Lake",3,0,79,44,4,0,0,0,130,317
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 22","Niagara-on-the-Lake",1,0,96,59,11,0,0,0,167,461
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 23","Niagara-on-the-Lake",3,0,115,50,6,0,3,0,177,409
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 24","Niagara-on-the-Lake",2,0,93,108,5,2,3,1,214,551
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 25","Niagara-on-the-Lake",4,1,113,76,2,0,0,0,196,491
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 26","Niagara-on-the-Lake",2,0,94,29,8,0,1,1,135,350
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 27","Niagara-on-the-Lake",3,0,70,40,5,0,2,0,120,322
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 28","Niagara-on-the-Lake",3,0,128,87,5,0,2,1,226,615
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 29","Niagara-on-the-Lake",1,0,93,44,1,0,1,0,140,475
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 30","Niagara-on-the-Lake",5,0,84,79,2,0,0,1,171,466
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 31","Niagara-on-the-Lake",0,0,74,58,1,1,2,0,136,427
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 32","Niagara-on-the-Lake",1,0,121,130,8,0,2,1,263,573
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 33","Niagara-on-the-Lake",1,0,104,73,7,0,1,0,186,580
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 34","Niagara Falls",0,0,70,52,5,0,0,1,128,335
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 35","Niagara Falls",2,0,105,57,2,0,1,2,169,546
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 36","Niagara Falls",0,1,125,60,10,1,0,0,197,506
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 37","Niagara Falls",2,0,80,56,4,0,0,0,142,518
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 38","Niagara Falls",4,0,89,88,6,1,5,0,193,457
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 39","Niagara Falls",0,0,140,96,10,2,0,0,248,608
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 40","Niagara Falls",3,0,175,157,5,1,1,2,344,652
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 41","Niagara Falls",1,1,185,138,15,1,0,2,343,679
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 42","Niagara Falls",3,0,108,81,4,0,1,1,198,644
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 43","Niagara Falls",3,0,81,54,14,0,3,1,156,394
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 44","Niagara Falls",0,0,82,87,8,0,0,4,181,537
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 45","Niagara Falls",2,0,87,66,2,0,2,0,159,442
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 46","Niagara Falls",2,0,96,71,5,0,4,2,180,522
