Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marie-Josée Béliveau,Yves-François Blanchet,Sylvain Goulet,Nicholas Malouin,Nicholas Manes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 201","Richelieu",3,81,32,55,5,0,176,421
24011,"Beloeil--Chambly/Beloeil--Chambly"," 202","Richelieu",6,121,44,83,0,4,258,593
24011,"Beloeil--Chambly/Beloeil--Chambly"," 203","Richelieu",5,77,33,45,0,3,163,323
24011,"Beloeil--Chambly/Beloeil--Chambly"," 204","Richelieu",5,67,46,38,2,2,160,406
24011,"Beloeil--Chambly/Beloeil--Chambly"," 205","Chambly",3,56,20,26,0,4,109,314
24011,"Beloeil--Chambly/Beloeil--Chambly"," 206","Chambly",3,61,16,38,1,4,123,420
24011,"Beloeil--Chambly/Beloeil--Chambly"," 207","Chambly",7,91,28,58,0,2,186,420
24011,"Beloeil--Chambly/Beloeil--Chambly"," 208","Chambly",4,55,13,62,0,1,135,360
24011,"Beloeil--Chambly/Beloeil--Chambly"," 209","Chambly",2,46,10,13,1,0,72,272
24011,"Beloeil--Chambly/Beloeil--Chambly"," 210","Chambly",3,72,44,65,1,0,185,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 211","Chambly",2,72,16,71,3,5,169,389
24011,"Beloeil--Chambly/Beloeil--Chambly"," 212","Chambly",4,97,36,47,1,4,189,490
24011,"Beloeil--Chambly/Beloeil--Chambly"," 213","Chambly",2,70,43,67,2,1,185,479
24011,"Beloeil--Chambly/Beloeil--Chambly"," 214","Chambly",14,112,49,70,4,2,251,509
24011,"Beloeil--Chambly/Beloeil--Chambly"," 215","Chambly",2,65,25,39,2,2,135,388
24011,"Beloeil--Chambly/Beloeil--Chambly"," 216","Chambly",6,49,24,62,1,0,142,486
24011,"Beloeil--Chambly/Beloeil--Chambly"," 217","Chambly",9,89,35,97,0,1,231,523
24011,"Beloeil--Chambly/Beloeil--Chambly"," 218","Chambly",2,80,33,50,1,2,168,406
24011,"Beloeil--Chambly/Beloeil--Chambly"," 219","Chambly",2,68,67,33,1,1,172,397
24011,"Beloeil--Chambly/Beloeil--Chambly"," 220","Chambly",8,90,22,74,2,0,196,481
24011,"Beloeil--Chambly/Beloeil--Chambly"," 221","Carignan",2,47,27,25,4,4,109,377
24011,"Beloeil--Chambly/Beloeil--Chambly"," 400","Beloeil",4,108,9,112,3,11,247,319
24011,"Beloeil--Chambly/Beloeil--Chambly"," 401","Mont-Saint-Hilaire",6,71,16,78,1,7,179,285
24011,"Beloeil--Chambly/Beloeil--Chambly"," 402","McMasterville",1,92,10,76,2,7,188,320
24011,"Beloeil--Chambly/Beloeil--Chambly"," 403","Chambly",1,57,10,103,0,9,180,229
24011,"Beloeil--Chambly/Beloeil--Chambly"," 500","Mobile poll/Bureau itinérant",1,20,6,16,2,5,50,57
24011,"Beloeil--Chambly/Beloeil--Chambly"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°57B,,,,,,,14
24011,"Beloeil--Chambly/Beloeil--Chambly"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,42
24011,"Beloeil--Chambly/Beloeil--Chambly"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°57B,,,,,,,8
24011,"Beloeil--Chambly/Beloeil--Chambly"," 504","Mont-Saint-Hilaire",Combined with No./Résultats combinés à ceux du n°36,,,,,,,6
24011,"Beloeil--Chambly/Beloeil--Chambly"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,41
24011,"Beloeil--Chambly/Beloeil--Chambly"," 506","Beloeil",Combined with No./Résultats combinés à ceux du n°77,,,,,,,27
24011,"Beloeil--Chambly/Beloeil--Chambly"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 508","Mobile poll/Bureau itinérant",7,8,1,14,1,1,32,97
24011,"Beloeil--Chambly/Beloeil--Chambly"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,19
24011,"Beloeil--Chambly/Beloeil--Chambly"," 510","Marieville",Combined with No./Résultats combinés à ceux du n°133,,,,,,,126
24011,"Beloeil--Chambly/Beloeil--Chambly"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,43
24011,"Beloeil--Chambly/Beloeil--Chambly"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,13
