Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Anthony Germain,Jonathan Rowe,Liam Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 1","Davidsville",45,76,9,0,130,249
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 2","Frederickton",21,49,0,3,73,141
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 3","Carmanville",38,112,1,3,154,371
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 4","Camanville",43,116,5,1,165,403
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 5","Ladle Cove--Aspen Cove",50,64,5,0,119,261
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 6","Musgrave Harbour",54,107,3,5,169,333
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 7","Musgrave Harbour",69,188,4,7,268,491
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 8","Deadman's Bay",27,27,5,0,59,116
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 9","Lumsden",132,72,11,1,216,418
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 10","Cape Freels",39,10,0,1,50,103
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 11","Newtown--Templeman",76,47,5,5,133,228
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 12","Pound Cove",75,54,1,4,134,319
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 13","Brookfield",37,44,2,1,84,222
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 14","Brookfield",37,28,2,2,69,163
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 15","Badger's Quay--Pool's Island",102,51,5,4,162,353
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 16","Valleyfield",108,79,8,10,205,436
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 17","Greenspond",68,57,1,3,129,229
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 18","Centreville-Wareham-Trinity",84,118,10,5,217,388
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 19","Wareham",38,83,3,3,127,211
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 20","Centreville--Indian Bay",54,103,5,5,167,281
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 21","Centreville-Wareham-Trinity",73,55,2,4,134,249
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 22","Dover",22,34,0,1,57,127
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 23","Dover",77,114,6,4,201,384
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 24","Hare Bay",88,100,6,5,199,330
