Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nabila Ben Youssef,Idil Issa,Mélanie Joly,Margie Ramos,Linda Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 34","Montréal",49,16,70,29,1,0,165,296
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 35","Montréal",52,19,106,20,0,2,199,374
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 36A","Montréal",48,9,98,16,2,1,174,329
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 36B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,56
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 37","Montréal",52,10,120,15,1,1,199,396
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 38","Montréal",56,14,97,11,1,0,179,364
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 39","Montréal",52,10,95,25,0,3,185,338
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 40","Montréal",66,32,104,11,1,2,216,381
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 41","Montréal",59,20,117,17,0,4,217,336
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 42","Montréal",62,13,106,20,3,3,207,430
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 43","Montréal",34,23,113,16,0,4,190,431
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 44","Montréal",64,17,119,16,2,0,218,373
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 45","Montréal",77,21,130,25,2,3,258,435
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 46","Montréal",19,14,80,41,1,1,156,427
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 47","Montréal",34,16,67,12,0,6,135,350
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 48","Montréal",42,22,87,18,2,3,174,368
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 49","Montréal",37,29,107,23,1,7,204,398
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 50","Montréal",42,17,90,15,1,1,166,379
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 51","Montréal",21,5,55,19,1,0,101,405
