Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Katrina Archambault,Shahid Khan,Kakou Richard Kouassi,Eyad Mobayed,Gordon Nash,Tanya Toledano,Sameer Zuberi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 1","Montréal",18,0,6,0,3,81,136,1,245,522
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 2","Montréal",28,0,5,0,0,59,90,1,183,413
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 3","Montréal",17,2,14,1,4,52,104,1,195,417
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4","Montréal",7,0,7,0,2,41,69,3,129,344
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 5","Montréal",2,0,2,0,0,24,89,2,119,337
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 6","Montréal",3,0,4,1,0,30,57,3,98,387
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 7","Montréal",18,0,5,0,2,48,100,4,177,459
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8","Montréal",21,1,8,0,3,62,89,0,184,462
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 9","Montréal",18,2,7,0,1,46,81,0,155,392
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 10","Montréal",16,2,7,0,0,42,93,2,162,390
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 11","Montréal",10,1,7,0,0,50,68,0,136,383
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12","Montréal",15,0,13,0,0,22,99,3,152,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 13","Montréal",7,2,8,0,1,22,68,0,108,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 14","Montréal",4,0,5,0,4,37,73,1,124,322
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 15","Montréal",13,0,6,0,0,34,82,1,136,387
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 16","Montréal",4,0,2,1,1,36,59,0,103,342
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 17","Montréal",2,3,4,0,1,36,73,3,122,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 18","Montréal",3,3,9,0,1,30,82,1,129,445
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 19","Montréal",7,1,7,1,3,52,72,3,146,408
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 20","Montréal",15,2,4,1,1,40,76,1,140,418
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 21","Montréal",10,1,6,0,0,39,88,2,146,430
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 22","Montréal",9,2,14,0,1,23,107,3,159,462
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 23","Montréal",9,1,7,0,5,37,114,3,176,480
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 24","Montréal",6,0,5,0,0,47,88,0,146,433
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 25","Montréal",7,1,10,0,0,81,137,2,238,533
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 26","Montréal",11,3,6,0,2,46,108,2,178,392
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 27","Montréal",15,3,3,0,1,68,140,3,233,497
