Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Steven Bonk,Lyndon Dayman,Aziz Mian,Sheena Muirhead Koops,Travis Patron,Remi Rheault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 20","Rocanville",216,1,25,9,1,3,0,255,382
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 21","Rocanville",186,0,19,11,1,0,1,218,307
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 22","Rocanville",179,2,32,10,0,2,0,225,342
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 23","Whitewood",119,0,23,6,0,2,1,151,391
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 24","Whitewood",67,0,24,7,0,1,1,100,330
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 25","St. Hubert Mission",142,0,19,4,0,0,1,166,353
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 25-1","Kahkewistahaw 72",Combined with No./Résultats combinés à ceux du n°4,,,,,,,,2
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 26","Kendal--Montmartre",101,0,14,7,0,0,3,125,358
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 27","Candiac--Montmartre",108,4,13,3,2,0,2,132,409
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 28","Wapella",162,3,8,6,0,2,0,181,297
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 29","Wapella",133,1,8,0,1,0,0,143,251
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 30","Francis",136,1,15,6,0,0,0,158,239
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 31","Glenavon",173,3,14,10,0,0,0,200,292
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 32","Lang",128,0,18,7,0,1,0,154,223
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 33","Kipling",149,10,14,4,0,1,2,180,268
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 34","Kipling",194,18,23,18,0,1,1,255,371
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 35","Kipling",205,9,19,10,0,4,0,247,348
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 36","Windthorst",198,10,21,6,0,0,3,238,332
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 37","Limerick",115,0,13,8,0,1,0,137,256
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 38","Moosomin",141,2,17,6,0,1,2,169,437
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 39","Moosomin",144,0,9,5,1,0,0,159,411
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 40","Moosomin",141,0,19,6,1,1,0,168,435
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 41","Moosomin",132,2,8,4,0,0,0,146,314
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 42","Moosomin",149,2,19,10,0,0,2,182,452
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 43","Moosomin",132,1,18,8,1,1,0,161,387
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 44","Cedoux",101,0,2,5,0,0,2,110,221
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 45","Kayville",46,0,5,7,0,0,0,58,96
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 46","Langbank",119,10,4,2,0,0,1,136,216
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 46-1","Kahkewistahaw",Void/Supprimé,,,,,,,,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 47","Assiniboia",103,13,17,7,0,1,3,144,436
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 48","Assiniboia",88,1,27,16,0,1,1,134,444
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 49","Assiniboia",114,1,22,13,2,1,0,153,351
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 50","Assiniboia",133,0,11,8,1,0,1,154,445
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 51","Assiniboia",124,2,7,12,1,0,0,146,362
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 52","Fillmore",226,1,29,12,2,5,0,275,387
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 53","Kennedy",143,3,17,7,2,0,1,173,257
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 54","Yellow Grass",265,2,21,8,0,1,2,299,432
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 55","Fleming",80,2,5,2,0,0,1,90,148
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 56","Creelman",64,1,14,4,0,2,0,85,130
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 57","Corning",95,2,3,0,1,0,3,104,191
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 58","Viceroy",100,0,3,3,0,0,1,107,213
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 59","Pangman",177,0,25,18,1,2,1,224,303
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 60","Ocean Man 69",5,1,26,14,2,1,1,50,33
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 61","Ogema",225,0,18,7,0,0,0,250,410
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 62","Wood Mountain",54,0,13,6,0,2,0,75,155
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 63","Khedive",149,1,8,1,1,2,1,163,222
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 64","Kenosee Park",244,1,24,9,0,0,1,279,419
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 65","Weyburn",124,0,13,1,0,1,0,139,330
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 66","Weyburn",106,0,17,6,0,0,0,129,382
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 67","Weyburn",118,0,15,9,0,0,1,143,431
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 68","Weyburn",129,0,21,11,2,1,0,164,453
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 69","Weyburn",124,1,13,4,0,0,0,142,400
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 70","Weyburn",102,1,19,5,0,0,0,127,363
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 71","Weyburn",157,1,10,6,0,0,1,175,435
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 72","Pheasant Rump Nakota 68",2,0,23,2,0,1,0,28,36
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 73","Weyburn",130,1,12,10,2,0,2,157,407
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 74","Weyburn",99,0,14,11,2,1,1,128,389
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 75","Weyburn",113,0,14,11,0,0,0,138,384
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 76","Weyburn",102,2,18,9,1,2,0,134,453
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 77","McTaggart",167,2,10,5,0,2,0,186,419
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 78","Weyburn",117,0,18,9,0,1,0,145,487
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 79","Weyburn",86,1,21,8,1,0,1,118,395
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 80","Weyburn",82,1,7,4,2,1,3,100,394
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 81","Weyburn",96,1,27,6,0,1,1,132,395
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 82","Weyburn",110,2,20,11,1,3,1,148,472
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 83","Weyburn",104,0,13,15,0,1,3,136,403
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 84","Weyburn",123,1,17,6,1,0,1,149,382
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 85","Weyburn",96,0,16,9,1,1,2,125,454
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 86","North Weyburn",166,0,12,5,0,0,0,183,466
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 87","Fairlight",121,0,4,2,0,0,0,127,237
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 88","Wawota",87,1,14,5,1,0,0,108,294
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 89","Wawota",133,0,5,9,0,0,0,147,329
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 90","Willow Bunch",238,2,23,13,0,2,0,278,397
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 91","Griffin",167,2,7,11,1,0,2,190,295
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 92","Maryfield",232,0,12,7,0,0,2,253,368
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 93","White Bear 70",37,0,49,12,0,1,0,99,306
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 94","Stoughton",209,2,17,14,0,0,0,242,399
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 95","Heward",236,0,24,22,1,1,2,286,405
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 96","Kisbey",132,0,11,8,0,0,0,151,296
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 97","Ceylon",145,1,4,7,1,0,0,158,231
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 98","Bengough",117,2,12,11,1,0,0,143,437
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 99","Arcola",177,0,10,2,0,3,0,192,318
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 100","Arcola",167,0,11,5,1,1,0,185,257
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 101","Carlyle",99,2,11,9,0,1,0,122,393
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 102","Carlyle",143,2,13,3,0,1,1,163,437
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 103","Rockglen",145,1,24,15,1,2,0,188,294
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 104","Rockglen--Lisieux",197,1,8,5,0,1,5,217,357
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 105","Radville",107,0,25,3,0,0,0,135,396
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 106","Radville",121,1,20,6,2,0,1,151,377
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 107","Carlyle",120,2,7,6,1,1,0,137,428
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 108","Carlyle",95,1,10,2,2,1,1,112,302
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 109","Goodwater",117,4,7,2,0,2,0,132,232
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 110","Coronach",130,0,7,7,0,1,1,146,311
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 111","Coronach",112,0,10,6,0,0,0,128,315
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 112","Halbrite",205,3,14,2,2,0,4,230,376
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 113","Midale",237,3,8,6,0,1,1,256,409
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 114","Manor",203,1,9,5,0,0,1,219,329
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 115","Wauchope",109,0,5,2,1,3,1,121,313
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 116","Antler",124,1,4,9,1,2,0,141,327
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 117","Redvers",146,1,11,4,2,4,0,168,421
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 118","Wauchope",77,0,6,1,0,1,2,87,176
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 119","Benson",173,0,6,4,2,1,0,186,347
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 120","Big Beaver",Combined with No./Résultats combinés à ceux du n°121A,,,,,,,,125
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 121A","Lampman",279,0,22,6,1,1,0,309,366
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 121B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°539,,,,,,,,19
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 122","Browning",244,1,7,7,2,0,0,261,382
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 123","Minton",110,0,10,3,1,0,0,124,181
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 124","Macoun",179,0,5,9,3,0,0,196,294
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 125","Lake Alma",136,0,3,2,1,0,0,142,196
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 126","Alameda",219,1,7,10,4,1,0,242,407
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 127","Storthoaks",131,0,0,1,0,0,0,132,172
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 128","Alida",187,0,5,4,0,1,0,197,309
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 129","Oungre",109,1,5,7,0,0,1,123,176
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 130","Hitchcock",154,0,5,4,0,1,0,164,414
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 131","Estevan",117,0,9,12,1,1,2,142,409
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 132","Estevan",134,1,4,7,1,0,1,148,387
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 133","Estevan",166,0,20,12,0,1,0,199,466
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 134","Estevan",126,0,5,5,0,0,0,136,416
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 135","Estevan",106,1,13,9,1,0,0,130,346
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 136","Torquay",191,3,7,8,2,0,3,214,342
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 137","Estevan",131,0,10,7,0,0,0,148,327
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 138","Estevan",108,0,4,10,0,0,0,122,394
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 139","Estevan",147,2,11,7,1,2,1,171,398
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 140","Estevan",145,1,6,3,0,0,2,157,338
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 141","Estevan",123,0,10,4,2,0,0,139,408
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 142","Estevan",89,2,9,4,1,0,1,106,328
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 143","Estevan",102,0,16,7,0,0,0,125,351
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 144","Estevan",137,3,9,6,2,0,0,157,433
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 145","Frobisher",125,0,7,1,0,0,0,133,251
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 146","Shand",95,0,1,1,0,0,0,97,254
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 147","Estevan",114,1,13,3,0,0,3,134,404
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 148","Estevan",117,1,9,2,0,0,1,130,360
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 149","Estevan",132,2,15,5,1,1,2,158,399
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 150","Estevan",142,0,14,11,0,2,2,171,498
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 151","Estevan",99,0,12,6,1,0,0,118,368
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 152","Estevan",102,2,14,2,0,1,0,121,347
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 153","Estevan No. 5",131,1,7,3,0,1,0,143,368
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 154","Shand",91,0,4,1,0,0,0,96,213
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 155","Bienfait",217,2,12,10,0,1,1,243,381
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 156","Bienfait",189,1,9,6,2,1,0,208,411
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 157","Oxbow",138,0,5,1,0,3,0,147,337
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 158","Oxbow",88,0,2,1,0,1,0,92,281
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 159","Oxbow",81,2,1,8,0,1,0,93,266
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 160","Glen Ewen",153,1,8,7,0,1,0,170,403
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 161","Carievale",178,0,8,2,0,2,0,190,290
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 162","Gainsborough",175,0,3,5,0,0,1,184,272
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 163","Carnduff",76,0,2,4,0,0,0,82,288
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 164","Carnduff",120,0,6,10,1,0,1,138,350
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 165","Carnduff",105,1,3,3,0,2,1,115,266
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 166","North Portal",80,0,12,8,1,1,0,102,145
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,27
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,16
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 502","Mobile poll/Bureau itinérant",27,1,9,3,0,1,0,41,30
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 503","Mobile poll/Bureau itinérant",27,1,5,3,0,1,1,38,31
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,50
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 505","Mobile poll/Bureau itinérant",42,1,8,7,2,2,2,64,23
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,32
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,54
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,18
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,31
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,60
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 511","Mobile poll/Bureau itinérant",29,4,8,11,3,1,4,60,115
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,42
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,76
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,23
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,31
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 516","Mobile poll/Bureau itinérant",31,0,7,7,2,1,1,49,29
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 517","Mobile poll/Bureau itinérant",77,0,11,15,1,2,1,107,34
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 518","Mobile poll/Bureau itinérant",18,2,3,4,2,1,7,37,19
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,20
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,25
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 521","Mobile poll/Bureau itinérant",20,0,5,5,0,0,1,31,25
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 522","Mobile poll/Bureau itinérant",7,0,2,4,0,0,0,13,15
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 523","Mobile poll/Bureau itinérant",37,3,11,7,1,2,3,64,40
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,15
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,12
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,23
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 527","Lampman",Combined with No./Résultats combinés à ceux du n°121A,,,,,,,,0
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°537,,,,,,,,59
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°538,,,,,,,,71
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°537,,,,,,,,52
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°533,,,,,,,,24
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°533,,,,,,,,17
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 533","Mobile poll/Bureau itinérant",26,1,10,5,0,1,1,44,24
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 534","Mobile poll/Bureau itinérant",13,1,4,0,1,0,0,19,0
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 535","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°533,,,,,,,,35
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 536","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,,14
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 537","Mobile poll/Bureau itinérant",74,3,13,5,5,2,3,105,43
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 538","Mobile poll/Bureau itinérant",61,1,6,3,1,1,2,75,55
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 539","Mobile poll/Bureau itinérant",29,2,7,5,0,1,1,45,47
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 540","Mobile poll/Bureau itinérant",35,0,1,2,0,0,0,38,80
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 541","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°540,,,,,,,,16
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 600","Kronau--Lajord No. 128",310,2,37,22,0,1,1,373,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 601","Vibank--Odessa--Sedley--Francis No. 127",222,1,28,19,1,1,0,272,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 602","Kendal--Montmartre",275,6,32,12,4,1,0,330,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 603","Carry the Kettle Nakoda First Nation 76-15",4,0,48,7,1,0,0,60,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 604","Grenfell",455,9,52,15,0,10,1,542,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 605","Sakimay 74",Combined with No./Résultats combinés à ceux du n°604,,,,,,,,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 606","Cowessess 73",5,1,63,8,0,1,0,78,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 607","Kahkewistahaw 72",Combined with No./Résultats combinés à ceux du n°609,,,,,,,,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 608","Ochapowace 71",Combined with No./Résultats combinés à ceux du n°609,,,,,,,,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 609","Whitewood",323,4,41,10,0,3,1,382,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 610","Moosomin",296,1,19,12,0,2,1,331,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 611","Moosomin",633,1,56,21,2,7,1,721,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 612","Wawota",322,3,22,16,0,3,0,366,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 613","White Bear 70",47,0,30,28,3,6,1,115,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 614","Pheasant Rump Nakota 68",Combined with No./Résultats combinés à ceux du n°615,,,,,,,,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 615","Carlyle--Arcola",588,2,40,21,2,1,1,655,
