Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Steven Bonk,Lyndon Dayman,Aziz Mian,Sheena Muirhead Koops,Travis Patron,Remi Rheault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 1","Sakimay 74",18,0,5,1,0,0,0,24,40
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 2","Sakimay 74",4,0,32,8,0,0,0,44,47
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 3","Cowessess 73",5,0,81,9,2,2,1,100,406
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 4","Kahkewistahaw 72",5,0,60,5,0,2,0,72,171
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 5","Vibank",246,2,48,14,3,6,2,321,457
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 6","Summerberry",58,3,2,1,1,0,0,65,175
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 7","Grenfell",68,0,8,6,1,0,0,83,259
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 8","Grenfell",88,1,2,0,1,0,0,92,237
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 9","Grenfell",80,3,20,4,0,1,4,112,325
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 10","Grenfell",84,2,11,3,1,0,1,102,311
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 11","Assiniboine 76",2,0,83,5,0,0,3,93,341
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 12","Odessa",244,1,18,9,1,1,0,274,360
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 13","Kronau",100,1,23,13,0,3,0,140,364
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 14","Lajord",105,0,9,4,0,2,0,120,335
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 15","Riceton--Gray",61,0,7,9,0,1,1,79,202
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 16","Ochapowace 71",5,0,35,7,1,0,0,48,134
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 17","Broadview",110,0,26,14,0,0,2,152,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 18","Broadview",111,2,59,28,0,1,2,203,442
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 19","Sedley",89,0,15,5,0,0,0,109,325
