Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Andresen,Jérémie Juneau,Sébastien Lemire,Vincent Palin-Bussières,Steve Tardif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 137","Rouyn-Noranda",60,1,109,3,15,0,188,355
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 138","Rouyn-Noranda",55,8,71,0,20,2,156,356
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 139","Rouyn-Noranda",38,4,55,0,22,2,121,364
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 140","Rouyn-Noranda",56,7,97,0,30,1,191,470
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 141","Rouyn-Noranda",38,3,82,0,11,0,134,295
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 142","Rouyn-Noranda",34,3,55,0,18,0,110,258
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 143","Rouyn-Noranda",17,2,59,5,21,3,107,373
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 144","Rouyn-Noranda",29,7,55,3,23,2,119,373
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 145","Rouyn-Noranda",18,5,54,2,26,2,107,361
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 146","Rouyn-Noranda",23,5,72,0,21,3,124,340
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 147","Rouyn-Noranda",28,3,57,3,25,3,119,294
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 148","Rouyn-Noranda",21,8,58,4,17,1,109,295
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 149","Rouyn-Noranda",19,5,41,0,7,2,74,259
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 150","Rouyn-Noranda",51,4,59,1,14,1,130,350
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 151","Rouyn-Noranda",54,11,83,2,29,5,184,388
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 152","Rouyn-Noranda",32,6,59,2,12,0,111,307
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 153","Rouyn-Noranda",31,12,68,4,23,0,138,343
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 154","Rouyn-Noranda",31,6,76,0,23,0,136,369
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 155","Rouyn-Noranda",52,0,78,0,17,2,149,410
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 156","Rouyn-Noranda",41,9,107,0,46,0,203,436
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 157","Rouyn-Noranda",71,5,99,0,37,4,216,451
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 158","Rouyn-Noranda",50,5,67,3,19,0,144,293
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 159","Rouyn-Noranda",39,3,108,3,38,1,192,497
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 160","Rouyn-Noranda",23,6,50,1,16,4,100,322
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 161","Rouyn-Noranda",18,7,60,2,24,1,112,308
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 162","Rouyn-Noranda",23,6,54,0,18,2,103,313
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 163","Rouyn-Noranda",27,6,62,4,30,4,133,339
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 164","Rouyn-Noranda",63,4,90,1,53,5,216,437
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 165","Rouyn-Noranda",51,10,102,1,49,2,215,433
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 166","Rouyn-Noranda",91,4,143,2,56,6,302,534
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 167","Rouyn-Noranda",53,11,118,2,33,3,220,412
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 168","Rouyn-Noranda",32,3,103,3,37,2,180,358
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 169","Rouyn-Noranda",40,4,93,1,58,4,200,394
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 170","Rouyn-Noranda",48,1,88,4,41,4,186,368
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 171","Rouyn-Noranda",27,4,82,1,30,5,149,316
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 172","Rouyn-Noranda",36,1,42,2,47,4,132,279
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 173","Rouyn-Noranda",35,4,66,2,76,6,189,304
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 174","Rouyn-Noranda",59,7,103,4,27,1,201,429
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 175","Rouyn-Noranda",40,7,85,2,28,4,166,368
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 176","Rouyn-Noranda",42,7,162,3,46,3,263,531
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 177","Rouyn-Noranda",67,3,147,2,52,6,277,550
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 178","Rouyn-Noranda",54,1,104,0,39,2,200,395
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 179","Rouyn-Noranda",75,5,129,0,50,3,262,475
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 180","Rouyn-Noranda",35,5,92,1,39,6,178,325
