Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Giovanni Di Placido,Suzanne Dufresne,Kevin Majaducon,Marc Miller,Nathe Perrone,Steve Shanahan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 1","Montréal",1,16,13,76,7,15,0,128,409
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 2","Montréal",1,28,28,80,8,20,1,166,460
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 3","Montréal",0,11,6,87,6,10,0,120,370
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 4","Montréal",1,18,7,118,2,42,0,188,573
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 5","Montréal",0,20,11,102,5,25,2,165,506
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 6","Montréal",1,12,14,141,5,47,1,221,572
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 7","Montréal",4,15,14,100,11,27,6,177,566
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 8","Montréal",0,24,11,118,8,24,0,185,565
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 9","Montréal",0,17,15,129,4,60,3,228,660
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 10","Montréal",0,22,24,176,8,63,3,296,667
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 11","Montréal",1,4,18,100,2,51,18,194,553
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 12","Montréal",0,4,2,59,1,23,0,89,449
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 13","Montréal",0,6,2,53,2,20,1,84,371
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 14","Montréal",1,7,5,68,1,27,2,111,537
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 15","Montréal",0,5,10,58,1,27,0,101,538
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 16","Montréal",1,12,3,93,3,41,2,155,547
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 17","Montréal",0,2,1,35,7,23,0,68,276
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 18","Montréal",0,10,11,104,4,56,0,185,547
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 19","Montréal",1,5,4,49,5,37,0,101,486
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 20","Montréal",0,2,0,58,1,34,1,96,460
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 21","Montréal",0,10,2,52,1,26,0,91,422
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 22","Montréal",0,11,6,69,2,29,0,117,431
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 23","Montréal",0,4,4,88,1,19,0,116,423
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 24","Montréal",0,2,2,49,2,46,1,102,400
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 25","Montréal",0,3,2,67,0,26,0,98,376
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 26","Montréal",0,18,8,80,3,23,0,132,459
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 27","Montréal",0,3,2,49,0,21,2,77,374
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 28","Montréal",0,5,0,50,0,23,1,79,351
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 29","Montréal",2,3,5,51,4,15,1,81,378
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 30","Montréal",1,11,15,92,3,43,1,166,426
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 31","Montréal",0,8,13,146,4,52,1,224,579
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 32","Montréal",0,8,10,85,5,53,0,161,451
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 33A","Montréal",0,11,11,69,5,42,0,138,399
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 33B","Montréal",2,4,7,80,2,61,1,157,446
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 34","Montréal",3,7,11,82,6,34,0,143,510
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 35","Montréal",2,9,25,107,6,63,0,212,583
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 36","Montréal",0,8,15,124,2,42,2,193,520
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 37","Montréal",0,7,15,123,4,60,2,211,609
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 38","Montréal",0,8,14,122,6,46,0,196,559
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 39A","Montréal",0,8,14,116,2,49,0,189,560
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 39B","Montréal",0,7,10,131,2,61,0,211,542
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 40","Montréal",0,2,4,67,0,63,0,136,587
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 41","Montréal",0,4,7,69,3,58,1,142,482
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 42A","Montréal",0,16,18,57,3,20,4,118,382
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 42B","Montréal",0,13,10,68,2,24,1,118,377
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 43","Montréal",1,3,12,67,4,46,1,134,551
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 44A","Montréal",0,12,6,75,2,41,1,137,463
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 44B","Montréal",1,3,10,84,5,57,2,162,502
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 45","Montréal",0,2,11,59,4,16,1,93,347
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 46A","Montréal",2,5,0,45,3,20,0,75,348
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 46B","Montréal",0,9,3,55,2,24,0,93,357
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 47","Montréal",2,9,2,81,3,30,0,127,505
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 48","Montréal",0,11,5,38,0,20,0,74,341
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 49","Montréal",0,10,7,49,2,43,1,112,530
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 50","Montréal",0,7,2,51,2,19,1,82,383
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 51","Montréal",2,9,1,35,2,12,3,64,534
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 52","Montréal",0,9,4,57,2,25,2,99,371
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 53","Montréal",1,7,2,44,1,30,0,85,415
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 54","Montréal",0,12,6,71,5,30,3,127,350
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 55","Montréal",0,6,16,105,5,61,0,193,581
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 56","Montréal",1,16,17,86,5,30,0,155,431
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 57","Montréal",0,12,13,98,3,52,3,181,574
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 58","Montréal",2,10,23,98,3,50,1,187,477
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 59","Montréal",0,10,13,107,5,47,1,183,498
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 60A","Montréal",2,13,18,73,3,40,1,150,444
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 60B","Montréal",0,21,13,68,2,31,5,140,424
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 61","Montréal",0,12,12,90,4,24,2,144,455
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 62","Montréal",0,21,17,109,3,28,6,184,460
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 63","Montréal",0,9,12,98,1,26,2,148,436
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 64","Montréal",1,13,14,102,7,35,2,174,533
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 65","Montréal",0,13,7,82,4,36,2,144,507
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 66","Montréal",0,8,6,61,1,21,0,97,419
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 67","Montréal",1,13,3,54,4,34,5,114,435
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 68","Montréal",1,9,2,64,5,21,2,104,410
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 69","Montréal",0,11,6,85,6,23,1,132,409
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 70","Montréal",1,8,5,46,3,38,3,104,527
