Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jacob Gadzella,Hamish Graham,Rokhan Sarwar,Kevin Waugh,Richard Brent Wintringham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Saskatoon South/Saskatoon-Sud"," 1","Saskatoon",27,0,85,52,0,3,167,558
47009,"Saskatoon South/Saskatoon-Sud"," 2","Saskatoon",31,2,102,48,0,0,183,515
47009,"Saskatoon South/Saskatoon-Sud"," 3A","Saskatoon",7,2,64,98,0,2,173,521
47009,"Saskatoon South/Saskatoon-Sud"," 3B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,14
47009,"Saskatoon South/Saskatoon-Sud"," 4","Saskatoon",11,0,42,73,0,0,126,412
47009,"Saskatoon South/Saskatoon-Sud"," 5","Saskatoon",6,0,33,54,0,0,93,289
47009,"Saskatoon South/Saskatoon-Sud"," 6","Saskatoon",16,1,55,69,0,1,142,427
47009,"Saskatoon South/Saskatoon-Sud"," 7","Saskatoon",8,0,47,68,0,0,123,359
47009,"Saskatoon South/Saskatoon-Sud"," 8","Saskatoon",2,2,26,61,0,0,91,248
47009,"Saskatoon South/Saskatoon-Sud"," 9","Saskatoon",7,0,48,79,3,1,138,412
47009,"Saskatoon South/Saskatoon-Sud"," 10","Saskatoon",2,0,23,43,1,2,71,266
47009,"Saskatoon South/Saskatoon-Sud"," 11","Saskatoon",40,4,115,49,1,1,210,568
47009,"Saskatoon South/Saskatoon-Sud"," 12","Saskatoon",29,2,81,77,1,0,190,515
47009,"Saskatoon South/Saskatoon-Sud"," 13","Saskatoon",21,1,65,77,0,2,166,395
47009,"Saskatoon South/Saskatoon-Sud"," 14","Saskatoon",31,2,95,76,1,1,206,547
47009,"Saskatoon South/Saskatoon-Sud"," 15","Saskatoon",25,5,87,84,0,1,202,486
47009,"Saskatoon South/Saskatoon-Sud"," 16","Saskatoon",10,1,93,105,2,2,213,550
47009,"Saskatoon South/Saskatoon-Sud"," 17","Saskatoon",28,1,102,114,0,1,246,457
47009,"Saskatoon South/Saskatoon-Sud"," 18","Saskatoon",32,1,78,108,0,0,219,528
47009,"Saskatoon South/Saskatoon-Sud"," 19","Saskatoon",23,5,101,121,0,0,250,539
47009,"Saskatoon South/Saskatoon-Sud"," 20","Saskatoon",15,2,85,103,0,1,206,537
47009,"Saskatoon South/Saskatoon-Sud"," 21","Saskatoon",44,1,91,50,0,3,189,518
47009,"Saskatoon South/Saskatoon-Sud"," 22","Saskatoon",28,2,80,70,2,3,185,558
47009,"Saskatoon South/Saskatoon-Sud"," 23","Saskatoon",17,1,105,68,3,1,195,501
47009,"Saskatoon South/Saskatoon-Sud"," 24","Saskatoon",25,2,75,66,3,1,172,472
47009,"Saskatoon South/Saskatoon-Sud"," 25","Saskatoon",27,2,69,116,1,0,215,490
47009,"Saskatoon South/Saskatoon-Sud"," 26","Saskatoon",19,5,71,139,1,4,239,511
47009,"Saskatoon South/Saskatoon-Sud"," 27","Saskatoon",21,0,68,123,2,1,215,574
47009,"Saskatoon South/Saskatoon-Sud"," 28","Saskatoon",3,0,35,46,2,1,87,372
47009,"Saskatoon South/Saskatoon-Sud"," 29","Saskatoon",12,0,44,89,1,0,146,568
47009,"Saskatoon South/Saskatoon-Sud"," 30","Saskatoon",13,2,72,51,1,2,141,417
47009,"Saskatoon South/Saskatoon-Sud"," 31","Saskatoon",22,1,75,81,0,0,179,446
47009,"Saskatoon South/Saskatoon-Sud"," 32","Saskatoon",14,0,59,64,4,1,142,435
47009,"Saskatoon South/Saskatoon-Sud"," 33","Saskatoon",18,2,80,78,5,3,186,532
47009,"Saskatoon South/Saskatoon-Sud"," 34","Saskatoon",13,1,72,101,2,1,190,462
47009,"Saskatoon South/Saskatoon-Sud"," 35A","Saskatoon",7,3,63,87,4,1,165,386
47009,"Saskatoon South/Saskatoon-Sud"," 35B","Saskatoon",5,0,44,72,1,0,122,348
47009,"Saskatoon South/Saskatoon-Sud"," 36","Saskatoon",2,0,33,48,3,1,87,270
47009,"Saskatoon South/Saskatoon-Sud"," 37","Saskatoon",18,0,57,72,4,0,151,427
47009,"Saskatoon South/Saskatoon-Sud"," 38","Saskatoon",16,2,58,87,2,0,165,467
47009,"Saskatoon South/Saskatoon-Sud"," 39","Saskatoon",11,2,81,82,3,1,180,482
47009,"Saskatoon South/Saskatoon-Sud"," 40","Saskatoon",27,4,93,93,0,0,217,588
47009,"Saskatoon South/Saskatoon-Sud"," 41","Saskatoon",18,1,101,81,0,10,211,547
47009,"Saskatoon South/Saskatoon-Sud"," 42A","Saskatoon",12,0,85,105,3,1,206,488
47009,"Saskatoon South/Saskatoon-Sud"," 42B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,4
47009,"Saskatoon South/Saskatoon-Sud"," 43","Saskatoon",6,0,41,82,0,0,129,459
47009,"Saskatoon South/Saskatoon-Sud"," 44","Saskatoon",18,1,103,72,0,5,199,496
47009,"Saskatoon South/Saskatoon-Sud"," 45","Saskatoon",16,2,84,105,3,2,212,487
47009,"Saskatoon South/Saskatoon-Sud"," 46A","Saskatoon",5,0,35,48,1,0,89,429
47009,"Saskatoon South/Saskatoon-Sud"," 46B","Mobile poll/Bureau itinérant",14,1,19,38,0,0,72,107
47009,"Saskatoon South/Saskatoon-Sud"," 46C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°46E,,,,,,,29
47009,"Saskatoon South/Saskatoon-Sud"," 46D","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,70
47009,"Saskatoon South/Saskatoon-Sud"," 46E","Mobile poll/Bureau itinérant",9,0,26,42,0,3,80,74
47009,"Saskatoon South/Saskatoon-Sud"," 47","Saskatoon",21,2,63,68,1,1,156,524
47009,"Saskatoon South/Saskatoon-Sud"," 48","Saskatoon",37,3,76,62,1,0,179,521
47009,"Saskatoon South/Saskatoon-Sud"," 49","Saskatoon",11,2,71,82,3,0,169,493
47009,"Saskatoon South/Saskatoon-Sud"," 50","Saskatoon",28,2,112,74,2,0,218,554
47009,"Saskatoon South/Saskatoon-Sud"," 51","Saskatoon",21,2,77,103,0,1,204,464
47009,"Saskatoon South/Saskatoon-Sud"," 52A","Saskatoon",10,2,26,29,1,0,68,200
47009,"Saskatoon South/Saskatoon-Sud"," 52B","Saskatoon",11,0,37,70,0,4,122,159
47009,"Saskatoon South/Saskatoon-Sud"," 53A","Saskatoon",10,0,17,22,0,0,49,222
47009,"Saskatoon South/Saskatoon-Sud"," 53B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,58
47009,"Saskatoon South/Saskatoon-Sud"," 53C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,69
47009,"Saskatoon South/Saskatoon-Sud"," 53D","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,73
47009,"Saskatoon South/Saskatoon-Sud"," 53E","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,30
47009,"Saskatoon South/Saskatoon-Sud"," 53F","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,30
47009,"Saskatoon South/Saskatoon-Sud"," 53G","Saskatoon",6,0,30,55,0,3,94,141
47009,"Saskatoon South/Saskatoon-Sud"," 54","Saskatoon",20,1,76,118,2,0,217,518
47009,"Saskatoon South/Saskatoon-Sud"," 55","Saskatoon",13,0,65,76,1,2,157,488
47009,"Saskatoon South/Saskatoon-Sud"," 56","Saskatoon",15,1,84,137,6,0,243,556
47009,"Saskatoon South/Saskatoon-Sud"," 57","Saskatoon",16,2,46,59,0,0,123,489
47009,"Saskatoon South/Saskatoon-Sud"," 58","Saskatoon",20,1,66,78,2,0,167,523
47009,"Saskatoon South/Saskatoon-Sud"," 59","Saskatoon",13,0,44,63,0,0,120,491
47009,"Saskatoon South/Saskatoon-Sud"," 60","Saskatoon",10,2,52,36,1,4,105,417
47009,"Saskatoon South/Saskatoon-Sud"," 61","Saskatoon",11,1,87,82,1,1,183,445
