Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Des Bissonnette,Bridget Burns,Michael Manchen,Barry Milaney,Micheal Speirs,Shannon Stubbs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Lakeland/Lakeland"," 134","Derwent",3,4,7,36,15,276,1,342,695
48027,"Lakeland/Lakeland"," 135","Lavoy",1,2,2,14,2,136,3,160,342
48027,"Lakeland/Lakeland"," 136","Tulliby Lake",3,1,4,11,3,107,1,130,162
48027,"Lakeland/Lakeland"," 137","Tulliby Lake",Combined with No./Résultats combinés à ceux du n°136,,,,,,,,7
48027,"Lakeland/Lakeland"," 138","Northern Valley--Rusylvia",2,0,6,6,1,119,0,134,211
48027,"Lakeland/Lakeland"," 139","Clandonald",2,0,1,6,0,109,1,119,198
48027,"Lakeland/Lakeland"," 140","Ranfurly",3,0,3,7,0,105,0,118,206
48027,"Lakeland/Lakeland"," 141","Lea Park",3,0,5,6,3,122,0,139,306
48027,"Lakeland/Lakeland"," 142","Dewberry",7,1,1,22,5,144,2,182,292
48027,"Lakeland/Lakeland"," 143","Innisfree",3,2,1,13,1,87,0,107,188
48027,"Lakeland/Lakeland"," 144","Innisfree",5,1,1,19,0,142,2,170,270
48027,"Lakeland/Lakeland"," 145","Marwayne",12,1,11,25,3,237,2,291,460
48027,"Lakeland/Lakeland"," 146","Marwayne",1,0,4,5,0,186,1,197,292
48027,"Lakeland/Lakeland"," 147","Minburn",3,1,3,13,0,127,0,147,266
48027,"Lakeland/Lakeland"," 148","Mannville",7,2,1,25,3,201,1,240,399
48027,"Lakeland/Lakeland"," 149","Mannville",12,2,0,20,1,130,0,165,258
48027,"Lakeland/Lakeland"," 150","Mannville",0,3,5,10,2,154,0,174,349
48027,"Lakeland/Lakeland"," 151","Vermilion",5,2,0,18,1,155,2,183,451
48027,"Lakeland/Lakeland"," 152","Vermilion",9,0,3,22,2,130,0,166,399
48027,"Lakeland/Lakeland"," 153","Vermilion",5,0,0,24,0,124,0,153,482
48027,"Lakeland/Lakeland"," 154","Vermilion",6,5,1,20,1,115,0,148,419
48027,"Lakeland/Lakeland"," 155","Vermilion",8,1,0,29,0,160,0,198,583
48027,"Lakeland/Lakeland"," 156","Vermilion",4,2,2,11,0,81,0,100,279
48027,"Lakeland/Lakeland"," 157","Streamstown",3,1,2,16,5,238,3,268,444
48027,"Lakeland/Lakeland"," 158","Islay",4,0,7,35,3,168,0,217,361
48027,"Lakeland/Lakeland"," 159","Vermilion River County",6,1,1,12,1,155,0,176,331
48027,"Lakeland/Lakeland"," 160","Vermilion River County",3,2,4,14,1,139,0,163,212
48027,"Lakeland/Lakeland"," 161","Vermilion",Combined with No./Résultats combinés à ceux du n°160,,,,,,,,120
48027,"Lakeland/Lakeland"," 162","Vermilion",11,1,2,20,0,227,0,261,546
