Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Des Bissonnette,Bridget Burns,Michael Manchen,Barry Milaney,Micheal Speirs,Shannon Stubbs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Lakeland/Lakeland"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,40
48027,"Lakeland/Lakeland"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,4
48027,"Lakeland/Lakeland"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,2
48027,"Lakeland/Lakeland"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,22
48027,"Lakeland/Lakeland"," 520","Mobile poll/Bureau itinérant",6,2,3,9,1,19,1,41,34
48027,"Lakeland/Lakeland"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,21
48027,"Lakeland/Lakeland"," 522","Mobile poll/Bureau itinérant",5,1,3,26,1,43,0,79,105
48027,"Lakeland/Lakeland"," 523","Mobile poll/Bureau itinérant",3,1,4,2,1,24,2,37,30
48027,"Lakeland/Lakeland"," 524","Mobile poll/Bureau itinérant",5,0,1,5,0,24,0,35,30
48027,"Lakeland/Lakeland"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,3
48027,"Lakeland/Lakeland"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,,14
48027,"Lakeland/Lakeland"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,15
48027,"Lakeland/Lakeland"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,6
48027,"Lakeland/Lakeland"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,5
48027,"Lakeland/Lakeland"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°531,,,,,,,,4
48027,"Lakeland/Lakeland"," 531","Mobile poll/Bureau itinérant",3,0,0,2,0,16,0,21,7
48027,"Lakeland/Lakeland"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,,37
48027,"Lakeland/Lakeland"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°538,,,,,,,,29
48027,"Lakeland/Lakeland"," 534","Mobile poll/Bureau itinérant",8,1,3,9,0,96,2,119,41
48027,"Lakeland/Lakeland"," 535","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°538,,,,,,,,12
48027,"Lakeland/Lakeland"," 536","Mobile poll/Bureau itinérant",5,1,3,1,0,19,0,29,22
48027,"Lakeland/Lakeland"," 537","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,,,12
48027,"Lakeland/Lakeland"," 538","Mobile poll/Bureau itinérant",4,0,1,8,0,18,0,31,53
48027,"Lakeland/Lakeland"," 539","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
48027,"Lakeland/Lakeland"," 540","Mobile poll/Bureau itinérant",1,0,0,2,0,7,0,10,0
48027,"Lakeland/Lakeland"," 541","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,,,2
48027,"Lakeland/Lakeland"," 542","Mobile poll/Bureau itinérant",3,0,2,5,1,39,1,51,28
48027,"Lakeland/Lakeland"," 543","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,,,1
48027,"Lakeland/Lakeland"," 544","Mobile poll/Bureau itinérant",1,1,0,1,0,6,0,9,6
48027,"Lakeland/Lakeland"," 545","Mobile poll/Bureau itinérant",6,3,4,20,0,84,1,118,117
48027,"Lakeland/Lakeland"," 546","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°549,,,,,,,,26
48027,"Lakeland/Lakeland"," 547","Mobile poll/Bureau itinérant",5,0,1,16,1,81,5,109,99
48027,"Lakeland/Lakeland"," 548","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°549,,,,,,,,54
48027,"Lakeland/Lakeland"," 549","Mobile poll/Bureau itinérant",2,1,1,9,0,18,3,34,58
48027,"Lakeland/Lakeland"," 550","Mobile poll/Bureau itinérant",4,2,5,6,3,28,0,48,32
48027,"Lakeland/Lakeland"," 551","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°550,,,,,,,,7
48027,"Lakeland/Lakeland"," 552","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°545,,,,,,,,6
48027,"Lakeland/Lakeland"," 553","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°547,,,,,,,,26
48027,"Lakeland/Lakeland"," 600","Athabasca",83,13,31,284,3,1465,1,1880,
48027,"Lakeland/Lakeland"," 601","Boyle",12,1,12,84,2,659,3,773,
48027,"Lakeland/Lakeland"," 602","Buffalo Lake Metis Settlement",0,0,0,1,0,2,0,3,
48027,"Lakeland/Lakeland"," 603","Kikino",Combined with No./Résultats combinés à ceux du n°613,,,,,,,,
48027,"Lakeland/Lakeland"," 604","Smoky Lake",26,1,12,65,0,592,1,697,
48027,"Lakeland/Lakeland"," 605","Thorhild",30,5,20,90,6,570,2,723,
48027,"Lakeland/Lakeland"," 606","Lamont County",15,4,11,54,6,426,0,516,
48027,"Lakeland/Lakeland"," 607","Lamont County",34,2,10,127,7,686,0,866,
48027,"Lakeland/Lakeland"," 608","Minburn County No. 27--Vegreville",44,2,2,111,1,523,3,686,
48027,"Lakeland/Lakeland"," 609","Vegreville",51,4,8,140,5,595,1,804,
48027,"Lakeland/Lakeland"," 610","Two Hills--Two Hills County No. 21",11,4,5,66,2,401,0,489,
48027,"Lakeland/Lakeland"," 611","Saddle Lake 125",Combined with No./Résultats combinés à ceux du n°612,,,,,,,,
48027,"Lakeland/Lakeland"," 612","Vilna",10,3,3,30,2,252,2,302,
48027,"Lakeland/Lakeland"," 613","White Fish Lake 128",0,0,0,1,0,10,0,11,
48027,"Lakeland/Lakeland"," 614","Saint-Paul--Ashmont",46,7,16,144,1,984,1,1199,
48027,"Lakeland/Lakeland"," 615","St. Paul",48,5,16,167,6,718,8,968,
48027,"Lakeland/Lakeland"," 616","Bonnyville",27,10,27,141,7,1392,6,1610,
48027,"Lakeland/Lakeland"," 617","Kehewin 123",Combined with No./Résultats combinés à ceux du n°618,,,,,,,,
48027,"Lakeland/Lakeland"," 618","Bonnyville",24,6,7,117,2,685,5,846,
48027,"Lakeland/Lakeland"," 619","Beaverdam",Combined with No./Résultats combinés à ceux du n°618,,,,,,,,
48027,"Lakeland/Lakeland"," 620","Sputinow",Combined with No./Résultats combinés à ceux du n°624,,,,,,,,
48027,"Lakeland/Lakeland"," 621","Frog Lake",Combined with No./Résultats combinés à ceux du n°624,,,,,,,,
48027,"Lakeland/Lakeland"," 622","Frog Lake",Combined with No./Résultats combinés à ceux du n°624,,,,,,,,
48027,"Lakeland/Lakeland"," 623","Elk Point",24,2,14,75,5,575,4,699,
48027,"Lakeland/Lakeland"," 624","Tulliby Lake",1,0,0,1,0,1,0,3,
48027,"Lakeland/Lakeland"," 625","Vermilion River County--Kitscoty",9,4,17,48,2,465,0,545,
48027,"Lakeland/Lakeland"," 626","Vermilion River County--Vermilion",15,4,6,91,3,669,2,790,
48027,"Lakeland/Lakeland"," 627","Vermilion",30,6,7,113,7,725,1,889,
48027,"Lakeland/Lakeland"," 628","Kitscoty",7,3,23,42,1,716,0,792,
48027,"Lakeland/Lakeland"," 629","Lloydminster",19,6,6,85,4,436,3,559,
48027,"Lakeland/Lakeland"," 630","Lloydminster (Part)",28,5,19,118,5,1113,1,1289,
48027,"Lakeland/Lakeland"," 631","Lloydminster (Part)",44,4,19,133,4,1320,2,1526,
48027,"Lakeland/Lakeland",,Group 1/Groupe 1, 54,11,11,167,4,468,37,752,190
48027,"Lakeland/Lakeland",,Group 2/Groupe 2, 73,16,21,232,18,1477,4,1841,
