Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Shola Agboola,Ginette Lavack,Thomas Linner,Gilles Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 1A","Winnipeg",28,133,10,3,4,178,266
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 1B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,80
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 2","Winnipeg",23,68,9,0,1,101,399
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 3","Winnipeg",18,39,13,3,0,73,432
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 4","Winnipeg",30,77,9,3,0,119,427
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 5","Winnipeg",38,70,14,1,1,124,444
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 6A","Winnipeg",15,57,4,1,1,78,305
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 6B","Winnipeg",29,55,4,4,0,92,315
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 7","Winnipeg",33,70,12,1,0,116,394
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 8","Winnipeg",42,91,13,3,1,150,523
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 9","Winnipeg",41,54,17,2,0,114,361
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 10","Winnipeg",34,64,20,2,0,120,387
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 11","Winnipeg",38,76,15,1,1,131,420
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 12","Winnipeg",49,120,39,7,4,219,414
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 13","Winnipeg",32,112,27,2,0,173,426
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 14","Winnipeg",39,69,11,3,1,123,380
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 15","Winnipeg",63,111,35,4,2,215,442
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 16","Winnipeg",24,86,14,0,2,126,386
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 17","Winnipeg",48,89,13,2,0,152,461
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 18","Winnipeg",103,111,20,4,0,238,534
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 19","Winnipeg",60,109,12,0,1,182,444
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 20","Winnipeg",47,170,19,3,3,242,457
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 21","Winnipeg",51,136,28,2,0,217,463
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 22","Winnipeg",46,177,17,0,0,240,478
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 23","Winnipeg",39,151,19,3,0,212,464
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 24","Winnipeg",39,96,20,0,0,155,383
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 25","Winnipeg",57,157,12,2,0,228,400
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 26","Winnipeg",45,117,13,0,3,178,362
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 27","Winnipeg",80,113,16,0,1,210,498
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 28","Winnipeg",60,68,10,5,2,145,464
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 29","Winnipeg",58,51,19,2,0,130,479
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 30","Winnipeg",49,58,10,2,1,120,417
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 31","Winnipeg",41,54,14,2,0,111,401
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 32","Winnipeg",50,53,7,3,0,113,408
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 33","Winnipeg",36,54,9,3,1,103,383
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 34","Winnipeg",43,84,9,2,3,141,444
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 35","Winnipeg",83,140,32,3,0,258,419
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 36","Winnipeg",64,162,28,0,1,255,489
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 37","Winnipeg",76,85,15,6,0,182,423
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 38","Winnipeg",54,127,27,2,2,212,464
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 39","Winnipeg",69,96,14,3,0,182,412
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 40","Winnipeg",57,57,28,1,0,143,404
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 41","Winnipeg",67,109,16,1,2,195,416
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 42","Winnipeg",52,77,20,1,0,150,495
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 43","Winnipeg",39,77,20,2,2,140,402
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 44","Winnipeg",53,89,14,2,1,159,392
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 45","Winnipeg",50,94,13,1,2,160,369
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 46","Winnipeg",45,85,15,5,1,151,367
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 47","Winnipeg",42,69,8,1,0,120,358
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 48","Winnipeg",55,69,19,1,3,147,415
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 49","Winnipeg",62,86,11,2,0,161,498
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 50","Winnipeg",65,151,11,0,2,229,555
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 51","Winnipeg",34,73,10,2,2,121,376
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 52","Winnipeg",41,67,13,0,1,122,333
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 53A","Winnipeg",30,55,1,2,0,88,307
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 53B","Mobile poll/Bureau itinérant",32,118,10,0,4,164,118
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 54","Winnipeg",24,63,16,1,0,104,387
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 55","Winnipeg",25,73,13,1,0,112,464
