Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Chambers,Russ Emo,Ray Little,Melissa Lloyd,Stephen Toivo Makk,Ryan Rocca,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe North/Simcoe-Nord"," 44","Penetanguishene",68,1,1,4,0,63,1,138,498
35099,"Simcoe North/Simcoe-Nord"," 45","Penetanguishene",57,0,8,6,2,35,0,108,344
35099,"Simcoe North/Simcoe-Nord"," 46","Penetanguishene",139,0,3,7,4,78,1,232,710
35099,"Simcoe North/Simcoe-Nord"," 47","Penetanguishene",86,2,1,5,1,45,0,140,412
35099,"Simcoe North/Simcoe-Nord"," 48","Midland",94,0,3,6,3,81,1,188,555
35099,"Simcoe North/Simcoe-Nord"," 49","Midland",101,0,0,7,1,61,0,170,466
35099,"Simcoe North/Simcoe-Nord"," 50","Midland",72,0,2,3,3,70,1,151,568
35099,"Simcoe North/Simcoe-Nord"," 51","Midland",65,0,4,6,1,55,0,131,529
35099,"Simcoe North/Simcoe-Nord"," 52","Midland",57,0,4,5,1,60,3,130,393
35099,"Simcoe North/Simcoe-Nord"," 53","Midland",65,0,4,9,2,40,1,121,451
35099,"Simcoe North/Simcoe-Nord"," 54","Midland",85,0,3,11,5,47,0,151,468
35099,"Simcoe North/Simcoe-Nord"," 55","Midland",76,0,2,3,1,56,3,141,469
35099,"Simcoe North/Simcoe-Nord"," 56","Midland",52,0,2,2,3,58,2,119,426
35099,"Simcoe North/Simcoe-Nord"," 57","Midland",Combined with No./Résultats combinés à ceux du n°63,,,,,,,,390
35099,"Simcoe North/Simcoe-Nord"," 58","Midland",73,0,1,5,2,51,0,132,429
35099,"Simcoe North/Simcoe-Nord"," 59","Midland",88,0,1,7,3,56,3,158,507
35099,"Simcoe North/Simcoe-Nord"," 60","Midland",87,1,3,9,0,82,2,184,526
35099,"Simcoe North/Simcoe-Nord"," 61","Midland",52,0,3,8,0,72,0,135,475
35099,"Simcoe North/Simcoe-Nord"," 62","Midland",73,2,0,8,4,71,0,158,388
35099,"Simcoe North/Simcoe-Nord"," 63","Midland",153,2,7,11,6,110,2,291,410
35099,"Simcoe North/Simcoe-Nord"," 64","Midland",90,0,4,4,2,60,0,160,388
35099,"Simcoe North/Simcoe-Nord"," 65","Midland",69,0,3,6,0,57,1,136,375
35099,"Simcoe North/Simcoe-Nord"," 66","Midland",70,0,6,4,2,60,1,143,398
35099,"Simcoe North/Simcoe-Nord"," 67","Midland",60,0,6,10,6,39,0,121,410
35099,"Simcoe North/Simcoe-Nord"," 68","Midland",69,0,2,1,0,70,1,143,437
35099,"Simcoe North/Simcoe-Nord"," 69","Midland",82,3,7,5,2,68,0,167,500
35099,"Simcoe North/Simcoe-Nord"," 70","Midland",104,2,4,12,0,101,1,224,546
35099,"Simcoe North/Simcoe-Nord"," 71","Midland",68,1,7,10,0,78,3,167,490
35099,"Simcoe North/Simcoe-Nord"," 72","Midland",90,0,6,12,0,84,3,195,484
35099,"Simcoe North/Simcoe-Nord"," 73","Midland",116,1,4,6,4,94,1,226,562
35099,"Simcoe North/Simcoe-Nord"," 74","Midland",49,0,1,4,1,72,3,130,473
35099,"Simcoe North/Simcoe-Nord"," 75","Midland",76,0,4,15,4,103,1,203,529
35099,"Simcoe North/Simcoe-Nord"," 76","Midland",74,0,4,7,0,48,1,134,486
35099,"Simcoe North/Simcoe-Nord"," 77","Midland",92,0,1,7,3,67,0,170,578
35099,"Simcoe North/Simcoe-Nord"," 78","Midland",103,1,2,20,3,95,5,229,747
35099,"Simcoe North/Simcoe-Nord"," 79","Tay",127,0,5,7,1,82,1,223,433
35099,"Simcoe North/Simcoe-Nord"," 80","Tay",130,0,1,12,1,97,2,243,344
35099,"Simcoe North/Simcoe-Nord"," 81","Tay",130,0,4,8,3,66,3,214,464
35099,"Simcoe North/Simcoe-Nord"," 82","Tay",128,0,9,10,2,77,1,227,447
35099,"Simcoe North/Simcoe-Nord"," 83","Tay",90,0,2,2,4,43,1,142,306
35099,"Simcoe North/Simcoe-Nord"," 84","Tay",Combined with No./Résultats combinés à ceux du n°80,,,,,,,,308
35099,"Simcoe North/Simcoe-Nord"," 85","Tay",102,0,0,10,5,61,1,179,531
35099,"Simcoe North/Simcoe-Nord"," 86","Tay",156,2,6,11,3,82,0,260,540
