Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alexandre Boulerice,Olivier Gignac,Benoît Morham,Laetitia Tchatat,Jean-Sébastien Vallée,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 1","Montréal",61,43,4,15,76,6,205,465
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 2","Montréal",51,35,2,29,87,0,204,356
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 3","Montréal",50,26,2,17,52,1,148,384
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 4","Montréal",42,33,7,17,55,5,159,390
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 5","Montréal",110,51,7,7,63,3,241,524
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 6","Montréal",81,47,6,19,51,2,206,437
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 7","Montréal",61,23,8,21,90,7,210,565
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8","Montréal",62,41,2,27,71,5,208,476
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 9","Montréal",78,65,4,31,79,7,264,494
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 10","Montréal",55,36,4,18,46,4,163,372
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 11","Montréal",68,38,2,20,42,4,174,375
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 12","Montréal",47,40,1,20,68,4,180,400
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 13","Montréal",72,35,4,33,85,2,231,481
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 14","Montréal",59,31,2,14,40,3,149,326
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 15","Montréal",61,35,12,23,49,3,183,437
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 16","Montréal",47,20,5,19,23,3,117,342
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 17A","Montréal",17,20,0,14,47,0,98,280
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 17B","Montréal",Combined with No./Résultats combinés à ceux du n°23,,,,,,,72
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 18","Montréal",28,20,2,11,58,1,120,392
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 19","Montréal",54,20,3,24,49,1,151,344
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 20","Montréal",87,43,8,30,55,0,223,429
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 21","Montréal",65,35,5,21,55,2,183,381
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 22","Montréal",50,30,1,13,49,0,143,368
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 23","Montréal",46,48,4,25,64,3,190,383
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 24","Montréal",61,54,4,25,47,2,193,488
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 25","Montréal",58,35,3,5,52,0,153,412
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 26","Montréal",83,58,1,13,54,0,209,419
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 27","Montréal",71,46,5,8,45,3,178,332
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 28","Montréal",97,49,4,12,40,4,206,387
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 29","Montréal",98,39,5,7,42,1,192,337
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 30","Montréal",51,29,2,13,44,2,141,453
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 31","Montréal",70,47,4,21,75,2,219,489
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 32","Montréal",75,47,3,13,59,5,202,412
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 33","Montréal",131,77,0,13,76,4,301,577
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 34","Montréal",50,38,3,24,51,1,167,489
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 35","Montréal",42,29,0,24,48,6,149,389
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 36","Montréal",33,22,0,17,56,0,128,386
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 37","Montréal",33,22,1,7,34,4,101,454
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 38","Montréal",86,63,3,12,90,7,261,574
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 39","Montréal",66,44,4,19,72,2,207,498
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 40","Montréal",83,42,4,10,80,2,221,577
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 41","Montréal",49,29,2,37,63,2,182,560
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 42","Montréal",93,34,8,20,83,3,241,460
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 43","Montréal",84,50,2,16,54,4,210,369
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 44","Montréal",114,58,7,20,76,1,276,493
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 45","Montréal",67,43,5,17,67,3,202,439
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 46","Montréal",104,45,5,20,54,3,231,433
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 47","Montréal",78,37,8,23,75,1,222,532
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 48","Montréal",73,41,5,20,65,3,207,436
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 49","Montréal",77,38,10,26,69,2,222,480
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 50","Montréal",89,40,6,9,64,2,210,477
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 51","Montréal",114,69,6,18,83,0,290,577
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 52","Montréal",106,39,11,8,49,2,215,420
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 53","Montréal",97,31,6,4,52,2,192,390
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 54","Montréal",98,35,8,11,62,1,215,435
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 55","Montréal",80,50,3,24,51,5,213,433
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 56","Montréal",81,38,4,23,68,1,215,463
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 57","Montréal",55,36,8,10,43,5,157,363
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 58","Montréal",54,35,5,14,34,0,142,405
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 59","Montréal",71,35,4,12,37,2,161,401
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 60A","Montréal",124,52,5,20,63,4,268,487
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 60B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,14
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 61","Montréal",109,67,5,11,59,2,253,517
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 62","Montréal",72,28,5,14,46,3,168,433
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 63","Montréal",69,27,2,3,52,3,156,414
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 64","Montréal",59,25,4,10,41,1,140,381
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 65","Montréal",117,53,7,9,44,2,232,441
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 66","Montréal",105,43,8,14,67,1,238,484
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 67","Montréal",31,21,1,6,35,3,97,319
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 68","Montréal",80,49,1,10,40,0,180,441
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 69","Montréal",64,25,0,22,57,2,170,399
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 70","Montréal",50,33,3,20,44,1,151,395
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 71","Montréal",43,13,6,10,44,0,116,432
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 72","Montréal",40,17,4,10,55,1,127,418
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73","Montréal",39,30,1,21,70,3,164,390
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 74","Montréal",85,45,7,27,55,2,221,486
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 75","Montréal",68,35,11,18,66,4,202,394
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 76A","Montréal",36,28,2,14,79,1,160,376
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 76B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,16
