Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Duncan,Sarah Good,Gordon Kubanek,Mario Leclerc,Karl Ivan MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 15","North Glengarry",87,62,2,8,1,4,164,460
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 16","North Glengarry",58,47,3,3,3,1,115,402
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 17","North Glengarry",113,38,3,5,0,0,159,451
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 18","Dunvegan",155,56,3,6,1,0,221,458
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 19","St. Elmo",127,62,1,3,0,1,194,342
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 20","Maxville",126,75,5,5,0,0,211,319
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 21","Maxville",99,86,3,9,1,0,198,330
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 22A","Dominionville",Combined with No./Résultats combinés à ceux du n°23,,,,,,,32
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 22B","Dominionville",171,65,5,7,2,2,252,448
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 23","Apple Hill",121,99,2,8,0,0,230,421
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 24","Dalhousie Mills",83,64,6,3,1,1,158,438
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 25","Glen Nevis",59,57,4,3,0,0,123,320
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 26","North Lancaster",95,36,0,2,0,5,138,345
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 27","Glen Norman",107,63,5,6,1,1,183,383
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 28","Brown House Corner",113,50,1,6,0,0,170,370
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 29","Glenroy",126,82,3,5,0,2,218,351
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 30","Glenroy",95,73,4,3,0,1,176,428
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 31","Curry Hill",78,58,0,3,2,0,141,293
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 32","South Glengarry",52,48,4,2,2,0,108,291
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 33","South Glengarry",57,87,0,1,0,2,147,286
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 34","Bainsville",56,49,1,5,0,2,113,308
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 35","Tayside",60,41,3,2,0,1,107,340
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 36","Tayside",112,54,0,5,0,1,172,416
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 37","Moose Creek",80,36,3,4,2,0,125,366
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 38","Gravel Hill",121,50,1,3,0,0,175,388
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 39","Monkland",162,52,4,4,0,0,222,459
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 40","Lodi",107,43,0,1,1,0,152,349
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 41","Avonmore",114,42,1,2,1,2,162,319
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 42","Avonmore",151,58,2,9,0,1,221,365
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 43","Williamstown",93,67,2,3,1,0,166,436
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 44","Williamstown",90,66,2,3,0,1,162,421
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 45","Summerstown Station",77,36,1,4,0,1,119,336
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 46","Avondale",96,62,1,4,1,1,165,360
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 47","Martintown",130,74,4,2,0,1,211,363
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 48","Martintown",117,63,2,2,0,1,185,361
