Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Donovan Eckstrom,Elliot McDavid,Shawn McLean,Maureen Mcleod,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Grande Prairie/Grande Prairie"," 32","Woking",0,1,3,12,4,188,0,208,333
48026,"Grande Prairie/Grande Prairie"," 33","Valhalla Centre",1,0,7,25,8,270,1,312,579
48026,"Grande Prairie/Grande Prairie"," 34","Horse Lakes 152B",0,1,2,28,5,13,0,49,214
48026,"Grande Prairie/Grande Prairie"," 35","Hythe",2,2,7,11,3,130,2,157,355
48026,"Grande Prairie/Grande Prairie"," 36","Hythe",0,2,5,27,10,211,0,255,425
48026,"Grande Prairie/Grande Prairie"," 37","La Glace",6,2,7,28,9,216,2,270,461
48026,"Grande Prairie/Grande Prairie"," 38","Goodfare",0,1,2,13,5,155,0,176,292
48026,"Grande Prairie/Grande Prairie"," 39","Rio Grande",1,0,1,2,4,112,1,121,205
48026,"Grande Prairie/Grande Prairie"," 40","Albright",2,1,4,17,9,172,0,205,506
48026,"Grande Prairie/Grande Prairie"," 41","Beaverlodge",0,2,6,18,3,111,2,142,492
48026,"Grande Prairie/Grande Prairie"," 42","Beaverlodge",2,3,2,18,4,144,0,173,524
48026,"Grande Prairie/Grande Prairie"," 43","Beaverlodge",3,0,1,14,5,141,0,164,369
48026,"Grande Prairie/Grande Prairie"," 44","Beaverlodge",1,0,1,21,5,163,5,196,491
48026,"Grande Prairie/Grande Prairie"," 45","Webster",1,0,4,13,13,163,0,194,400
48026,"Grande Prairie/Grande Prairie"," 46","Webster",0,0,2,12,3,173,0,190,409
48026,"Grande Prairie/Grande Prairie"," 47","Sexsmith",0,0,2,9,3,169,0,183,458
48026,"Grande Prairie/Grande Prairie"," 48","Niobe",1,0,4,10,1,160,0,176,403
48026,"Grande Prairie/Grande Prairie"," 49","Sexsmith",0,1,4,13,8,180,1,207,590
48026,"Grande Prairie/Grande Prairie"," 50","Sexsmith",0,0,4,19,5,135,0,163,443
48026,"Grande Prairie/Grande Prairie"," 51","Sexsmith",1,1,3,13,2,133,1,154,444
48026,"Grande Prairie/Grande Prairie"," 52","Sexsmith",2,0,1,3,4,77,0,87,239
48026,"Grande Prairie/Grande Prairie"," 53","Sexsmith",3,0,5,17,9,136,0,170,435
48026,"Grande Prairie/Grande Prairie"," 54","Beaverlodge",4,0,5,15,6,149,0,179,377
48026,"Grande Prairie/Grande Prairie"," 55","Lake Saskatoon",0,3,3,9,27,239,2,283,434
48026,"Grande Prairie/Grande Prairie"," 56","Sexsmith",1,1,6,8,7,212,0,235,417
48026,"Grande Prairie/Grande Prairie"," 57","Teepee Creek",3,0,4,10,7,215,2,241,377
48026,"Grande Prairie/Grande Prairie"," 58","Grande Prairie County No. 1",2,2,0,10,5,112,0,131,455
48026,"Grande Prairie/Grande Prairie"," 59","Grande Prairie County No. 1",0,0,3,11,16,111,0,141,459
48026,"Grande Prairie/Grande Prairie"," 60","Clairmont",0,0,0,28,7,158,0,193,507
48026,"Grande Prairie/Grande Prairie"," 61","Grande Prairie County No. 1",0,0,0,22,8,207,1,238,643
48026,"Grande Prairie/Grande Prairie"," 62","Grande Prairie County No. 1",0,1,2,7,6,102,0,118,403
48026,"Grande Prairie/Grande Prairie"," 63","Clairmont",1,0,2,10,8,103,0,124,444
48026,"Grande Prairie/Grande Prairie"," 64","Grande Prairie",2,1,0,15,5,160,0,183,552
48026,"Grande Prairie/Grande Prairie"," 65","Grande Prairie",0,0,3,25,15,223,0,266,776
48026,"Grande Prairie/Grande Prairie"," 66","Hermit Lake",0,2,1,13,6,167,0,189,489
48026,"Grande Prairie/Grande Prairie"," 67","Hermit Lake",0,0,2,7,3,140,1,153,471
48026,"Grande Prairie/Grande Prairie"," 68","Dimsdale",3,4,0,19,2,171,1,200,366
48026,"Grande Prairie/Grande Prairie"," 69","Dimsdale",0,3,2,25,6,193,1,230,428
48026,"Grande Prairie/Grande Prairie"," 70","Elmworth",1,0,5,14,5,237,0,262,427
48026,"Grande Prairie/Grande Prairie"," 71","Wembley",2,1,1,16,14,212,2,248,392
48026,"Grande Prairie/Grande Prairie"," 72","Wembley",1,2,5,10,8,210,2,238,415
48026,"Grande Prairie/Grande Prairie"," 73","Wembley",1,1,6,10,6,227,0,251,414
48026,"Grande Prairie/Grande Prairie"," 74","Huallen",0,0,6,19,14,220,1,260,472
48026,"Grande Prairie/Grande Prairie"," 75","Grande Prairie",1,0,3,44,9,177,0,234,627
48026,"Grande Prairie/Grande Prairie"," 76","Grande Prairie",1,1,0,20,4,133,1,160,423
48026,"Grande Prairie/Grande Prairie"," 77","Grande Prairie",1,0,1,28,8,184,1,223,511
48026,"Grande Prairie/Grande Prairie"," 78","Grande Prairie",1,1,1,24,7,120,2,156,508
48026,"Grande Prairie/Grande Prairie"," 79","Grande Prairie",0,2,2,25,6,131,1,167,533
48026,"Grande Prairie/Grande Prairie"," 80","Grande Prairie",3,1,1,20,11,148,2,186,530
48026,"Grande Prairie/Grande Prairie"," 81","Grande Prairie",0,1,2,23,2,104,5,137,466
48026,"Grande Prairie/Grande Prairie"," 82","Grande Prairie",0,0,3,21,5,110,1,140,453
48026,"Grande Prairie/Grande Prairie"," 83","Grande Prairie",1,1,2,17,5,84,1,111,389
48026,"Grande Prairie/Grande Prairie"," 84","Grande Prairie",0,0,1,19,10,132,1,163,474
48026,"Grande Prairie/Grande Prairie"," 85","Grande Prairie",2,1,2,20,11,123,7,166,502
48026,"Grande Prairie/Grande Prairie"," 86","Grande Prairie",2,0,0,26,8,95,1,132,386
48026,"Grande Prairie/Grande Prairie"," 87","Grande Prairie",1,1,3,25,11,118,3,162,428
48026,"Grande Prairie/Grande Prairie"," 88","Grande Prairie",0,0,2,17,0,137,0,156,426
48026,"Grande Prairie/Grande Prairie"," 89","Grande Prairie",0,2,0,9,7,136,0,154,453
48026,"Grande Prairie/Grande Prairie"," 90","Grande Prairie",1,0,2,20,10,150,0,183,532
48026,"Grande Prairie/Grande Prairie"," 91","Grande Prairie",1,0,4,22,4,79,0,110,400
48026,"Grande Prairie/Grande Prairie"," 92","Grande Prairie",3,0,4,20,6,158,4,195,477
48026,"Grande Prairie/Grande Prairie"," 93","Grande Prairie",0,0,4,12,9,128,1,154,500
48026,"Grande Prairie/Grande Prairie"," 94","Grande Prairie",1,0,0,20,4,94,0,119,422
48026,"Grande Prairie/Grande Prairie"," 95","Grande Prairie",0,0,4,30,11,98,4,147,463
48026,"Grande Prairie/Grande Prairie"," 96","Grande Prairie",0,4,3,19,5,92,0,123,434
48026,"Grande Prairie/Grande Prairie"," 97","Grande Prairie",5,2,0,17,10,124,1,159,465
48026,"Grande Prairie/Grande Prairie"," 98","Grande Prairie",0,0,4,22,8,108,2,144,509
48026,"Grande Prairie/Grande Prairie"," 99","Grande Prairie",1,2,1,19,13,69,0,105,457
48026,"Grande Prairie/Grande Prairie"," 100","Grande Prairie",0,0,1,17,6,82,2,108,471
48026,"Grande Prairie/Grande Prairie"," 101","Grande Prairie",1,0,0,6,9,126,3,145,366
48026,"Grande Prairie/Grande Prairie"," 102","Grande Prairie",0,0,0,17,12,121,0,150,416
48026,"Grande Prairie/Grande Prairie"," 103","Grande Prairie",0,0,4,19,4,155,0,182,473
48026,"Grande Prairie/Grande Prairie"," 104","Grande Prairie",2,0,7,22,9,121,4,165,433
48026,"Grande Prairie/Grande Prairie"," 105","Grande Prairie",1,3,2,20,11,163,0,200,543
48026,"Grande Prairie/Grande Prairie"," 106","Grande Prairie",0,3,6,17,8,96,0,130,357
48026,"Grande Prairie/Grande Prairie"," 107","Grande Prairie",0,1,3,7,8,113,0,132,438
48026,"Grande Prairie/Grande Prairie"," 108","Grande Prairie",0,1,6,17,4,86,0,114,378
48026,"Grande Prairie/Grande Prairie"," 109","Grande Prairie",1,1,3,10,11,83,0,109,401
48026,"Grande Prairie/Grande Prairie"," 110","Grande Prairie",0,0,4,33,3,183,3,226,544
48026,"Grande Prairie/Grande Prairie"," 111","Grande Prairie",0,0,0,19,9,150,3,181,442
48026,"Grande Prairie/Grande Prairie"," 112","Grande Prairie",0,0,1,32,11,171,4,219,486
48026,"Grande Prairie/Grande Prairie"," 113","Grande Prairie",1,0,2,28,6,169,1,207,482
48026,"Grande Prairie/Grande Prairie"," 114","Grande Prairie",0,0,0,23,12,117,1,153,431
48026,"Grande Prairie/Grande Prairie"," 115","Grande Prairie",0,0,1,15,3,108,0,127,393
48026,"Grande Prairie/Grande Prairie"," 116","Grande Prairie",1,2,1,18,14,147,0,183,422
48026,"Grande Prairie/Grande Prairie"," 117","Grande Prairie",1,0,3,26,12,136,2,180,422
48026,"Grande Prairie/Grande Prairie"," 118","Grande Prairie",0,1,2,19,11,62,2,97,392
48026,"Grande Prairie/Grande Prairie"," 119","Grande Prairie",0,1,4,23,14,106,0,148,393
48026,"Grande Prairie/Grande Prairie"," 120","Grande Prairie",0,2,5,25,18,126,2,178,516
48026,"Grande Prairie/Grande Prairie"," 121","Grande Prairie",6,3,4,30,7,119,0,169,409
48026,"Grande Prairie/Grande Prairie"," 122","Grande Prairie",1,0,3,28,10,167,0,209,489
48026,"Grande Prairie/Grande Prairie"," 123","Grande Prairie",2,0,5,18,7,136,0,168,466
48026,"Grande Prairie/Grande Prairie"," 124","Grande Prairie",1,0,0,26,6,156,1,190,500
48026,"Grande Prairie/Grande Prairie"," 125","Grande Prairie",1,1,2,23,10,126,0,163,481
48026,"Grande Prairie/Grande Prairie"," 126","Grande Prairie",2,0,3,41,15,106,0,167,425
48026,"Grande Prairie/Grande Prairie"," 127","Grande Prairie",0,1,1,24,2,153,0,181,497
48026,"Grande Prairie/Grande Prairie"," 128","Grande Prairie",1,2,1,32,8,96,1,141,534
48026,"Grande Prairie/Grande Prairie"," 129","Grande Prairie",3,0,3,22,9,121,10,168,603
48026,"Grande Prairie/Grande Prairie"," 130","Grande Prairie",0,0,3,26,10,84,0,123,407
48026,"Grande Prairie/Grande Prairie"," 131","Grande Prairie",1,1,2,19,8,119,1,151,427
48026,"Grande Prairie/Grande Prairie"," 132","Grande Prairie",3,3,6,22,9,141,1,185,499
48026,"Grande Prairie/Grande Prairie"," 133","Grande Prairie",0,0,5,31,5,149,1,191,521
48026,"Grande Prairie/Grande Prairie"," 134","Grande Prairie",1,1,1,32,5,141,2,183,452
48026,"Grande Prairie/Grande Prairie"," 135","Grande Prairie",0,1,5,27,4,137,0,174,522
48026,"Grande Prairie/Grande Prairie"," 136","Grande Prairie",0,1,3,34,6,124,2,170,474
48026,"Grande Prairie/Grande Prairie"," 137","Grande Prairie",0,1,2,26,11,163,0,203,449
48026,"Grande Prairie/Grande Prairie"," 138","Grande Prairie",2,0,2,12,4,76,1,97,407
48026,"Grande Prairie/Grande Prairie"," 139","Grande Prairie",0,1,2,28,12,144,2,189,417
48026,"Grande Prairie/Grande Prairie"," 140","Grande Prairie",3,0,0,33,20,141,0,197,515
48026,"Grande Prairie/Grande Prairie"," 141","Grande Prairie",0,2,4,19,14,130,0,169,463
48026,"Grande Prairie/Grande Prairie"," 142","Grande Prairie",0,0,5,12,6,130,0,153,407
48026,"Grande Prairie/Grande Prairie"," 143","Grande Prairie",1,0,1,22,8,113,0,145,407
48026,"Grande Prairie/Grande Prairie"," 144","Grande Prairie",0,0,3,22,4,96,1,126,377
48026,"Grande Prairie/Grande Prairie"," 145","Grande Prairie",0,0,3,45,16,231,1,296,607
48026,"Grande Prairie/Grande Prairie"," 146","Grande Prairie",1,0,4,22,13,136,1,177,442
48026,"Grande Prairie/Grande Prairie"," 147","Grande Prairie",0,1,3,23,8,162,0,197,484
48026,"Grande Prairie/Grande Prairie"," 148","Grande Prairie",3,1,3,34,11,196,1,249,595
48026,"Grande Prairie/Grande Prairie"," 149","Grande Prairie",0,1,1,18,7,126,2,155,466
48026,"Grande Prairie/Grande Prairie"," 150","Grande Prairie",0,0,1,13,9,77,1,101,283
48026,"Grande Prairie/Grande Prairie"," 151","Grande Prairie",1,0,2,27,15,110,1,156,397
48026,"Grande Prairie/Grande Prairie"," 152","Grande Prairie",1,1,3,20,5,102,1,133,367
48026,"Grande Prairie/Grande Prairie"," 153","Grande Prairie",0,1,4,22,8,62,1,98,303
48026,"Grande Prairie/Grande Prairie"," 154","Grande Prairie",2,0,0,28,12,156,0,198,461
48026,"Grande Prairie/Grande Prairie"," 155","Grande Prairie",1,2,3,21,10,130,0,167,468
48026,"Grande Prairie/Grande Prairie"," 156","Grande Prairie",1,2,1,24,10,181,1,220,491
48026,"Grande Prairie/Grande Prairie"," 157","Grande Prairie",0,1,2,17,4,111,0,135,447
48026,"Grande Prairie/Grande Prairie"," 158","Grande Prairie",0,0,2,11,5,95,0,113,361
48026,"Grande Prairie/Grande Prairie"," 159","Grande Prairie",0,0,1,14,7,124,0,146,447
48026,"Grande Prairie/Grande Prairie"," 160","Grande Prairie",0,1,0,20,4,94,0,119,447
48026,"Grande Prairie/Grande Prairie"," 161","DeBolt",0,0,2,0,5,80,0,87,235
48026,"Grande Prairie/Grande Prairie"," 162","DeBolt",1,0,1,12,5,89,0,108,257
48026,"Grande Prairie/Grande Prairie"," 163","Grande Prairie",2,0,4,35,10,165,0,216,518
48026,"Grande Prairie/Grande Prairie"," 164","Grande Prairie",0,0,0,18,10,114,0,142,417
48026,"Grande Prairie/Grande Prairie"," 165","Grande Prairie",2,0,3,34,16,148,0,203,445
48026,"Grande Prairie/Grande Prairie"," 166","Grande Prairie",0,2,2,36,13,163,0,216,513
48026,"Grande Prairie/Grande Prairie"," 167","Grande Prairie",0,0,2,17,5,91,0,115,450
48026,"Grande Prairie/Grande Prairie"," 168","Grande Prairie",1,1,4,37,10,96,1,150,476
48026,"Grande Prairie/Grande Prairie"," 169","Grande Prairie",1,0,0,32,17,127,0,177,544
48026,"Grande Prairie/Grande Prairie"," 170","Grande Prairie",1,0,0,19,8,129,0,157,432
48026,"Grande Prairie/Grande Prairie"," 171","Grande Prairie",1,0,0,16,6,123,0,146,357
48026,"Grande Prairie/Grande Prairie"," 172","Grande Prairie",0,0,2,6,1,94,0,103,355
48026,"Grande Prairie/Grande Prairie"," 173","Grande Prairie",1,0,1,15,6,135,0,158,428
48026,"Grande Prairie/Grande Prairie"," 174","Grande Prairie",0,0,4,10,5,143,0,162,510
48026,"Grande Prairie/Grande Prairie"," 175","Grande Prairie",1,2,5,31,5,209,3,256,556
48026,"Grande Prairie/Grande Prairie"," 176","Flyingshot Lake Settlement",1,0,4,17,7,157,2,188,472
48026,"Grande Prairie/Grande Prairie"," 177","Flyingshot Lake Settlement",0,1,3,11,3,175,1,194,511
48026,"Grande Prairie/Grande Prairie"," 178","Grande Prairie",1,0,0,29,20,126,0,176,436
48026,"Grande Prairie/Grande Prairie"," 179","Grande Prairie",2,0,8,25,12,120,0,167,506
48026,"Grande Prairie/Grande Prairie"," 180","Grande Prairie",2,0,4,39,16,170,1,232,449
48026,"Grande Prairie/Grande Prairie"," 181","Kleskun Hill",1,1,4,10,1,195,0,212,432
48026,"Grande Prairie/Grande Prairie"," 182","Bezanson",2,1,2,10,9,257,0,281,491
48026,"Grande Prairie/Grande Prairie"," 183","Grande Prairie County No. 1",0,1,3,24,5,168,1,202,453
