Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peggy Askin,Tom Becker,Addison Fach,Ahmed Khan,Michelle Rempel Garner,Vanessa Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Calgary Nose Hill/Calgary Nose Hill"," 1","Calgary",1,81,0,3,126,0,1,212,769
48011,"Calgary Nose Hill/Calgary Nose Hill"," 2","Calgary",0,80,2,7,139,0,0,228,779
48011,"Calgary Nose Hill/Calgary Nose Hill"," 3","Calgary",0,100,0,23,138,0,0,261,795
48011,"Calgary Nose Hill/Calgary Nose Hill"," 4","Calgary",0,94,1,16,162,1,1,275,762
48011,"Calgary Nose Hill/Calgary Nose Hill"," 5","Calgary",1,119,2,5,184,1,0,312,871
48011,"Calgary Nose Hill/Calgary Nose Hill"," 6","Calgary",0,102,1,12,177,1,1,294,842
48011,"Calgary Nose Hill/Calgary Nose Hill"," 7","Calgary",1,57,0,4,153,0,0,215,824
48011,"Calgary Nose Hill/Calgary Nose Hill"," 8","Calgary",0,43,4,3,87,2,1,140,549
48011,"Calgary Nose Hill/Calgary Nose Hill"," 9","Calgary",0,61,0,2,124,0,0,187,694
48011,"Calgary Nose Hill/Calgary Nose Hill"," 10","Calgary",1,70,3,6,89,1,0,170,636
48011,"Calgary Nose Hill/Calgary Nose Hill"," 11","Calgary",2,80,1,6,146,1,1,237,704
48011,"Calgary Nose Hill/Calgary Nose Hill"," 12","Calgary",0,72,0,2,126,0,0,200,749
48011,"Calgary Nose Hill/Calgary Nose Hill"," 13","Calgary",0,58,0,6,97,1,0,162,706
48011,"Calgary Nose Hill/Calgary Nose Hill"," 14","Calgary",0,77,3,11,168,1,1,261,687
48011,"Calgary Nose Hill/Calgary Nose Hill"," 15","Calgary",0,86,3,12,157,1,2,261,634
48011,"Calgary Nose Hill/Calgary Nose Hill"," 16","Calgary",4,104,1,6,184,1,0,300,670
48011,"Calgary Nose Hill/Calgary Nose Hill"," 17","Calgary",0,93,0,14,191,1,2,301,704
48011,"Calgary Nose Hill/Calgary Nose Hill"," 18","Calgary",0,68,1,2,146,0,1,218,549
48011,"Calgary Nose Hill/Calgary Nose Hill"," 19","Calgary",1,74,1,7,138,2,0,223,461
48011,"Calgary Nose Hill/Calgary Nose Hill"," 20","Calgary",2,103,3,8,199,1,3,319,697
48011,"Calgary Nose Hill/Calgary Nose Hill"," 21","Calgary",1,82,1,13,177,0,1,275,655
48011,"Calgary Nose Hill/Calgary Nose Hill"," 22","Calgary",0,72,6,16,143,0,1,238,617
48011,"Calgary Nose Hill/Calgary Nose Hill"," 23","Calgary",0,83,1,8,130,1,1,224,758
48011,"Calgary Nose Hill/Calgary Nose Hill"," 24","Calgary",0,65,3,2,106,1,0,177,687
48011,"Calgary Nose Hill/Calgary Nose Hill"," 25","Calgary",0,121,2,7,149,1,2,282,584
48011,"Calgary Nose Hill/Calgary Nose Hill"," 26","Calgary",0,92,5,14,180,0,0,291,655
48011,"Calgary Nose Hill/Calgary Nose Hill"," 27","Calgary",0,67,0,15,146,0,0,228,655
48011,"Calgary Nose Hill/Calgary Nose Hill"," 28","Calgary",2,65,1,2,134,0,2,206,588
48011,"Calgary Nose Hill/Calgary Nose Hill"," 29","Calgary",0,85,1,5,145,2,0,238,628
48011,"Calgary Nose Hill/Calgary Nose Hill"," 30","Calgary",2,37,1,2,63,0,0,105,425
48011,"Calgary Nose Hill/Calgary Nose Hill"," 31","Calgary",0,49,0,4,71,0,1,125,446
48011,"Calgary Nose Hill/Calgary Nose Hill"," 32","Calgary",0,71,1,6,106,0,2,186,596
48011,"Calgary Nose Hill/Calgary Nose Hill"," 33","Calgary",2,38,0,7,80,1,0,128,472
48011,"Calgary Nose Hill/Calgary Nose Hill"," 34","Calgary",0,72,4,10,114,2,2,204,738
48011,"Calgary Nose Hill/Calgary Nose Hill"," 35","Calgary",0,73,1,2,141,0,1,218,670
48011,"Calgary Nose Hill/Calgary Nose Hill"," 36","Calgary",0,78,2,9,127,2,0,218,635
48011,"Calgary Nose Hill/Calgary Nose Hill"," 37","Calgary",1,69,1,8,127,1,4,211,596
48011,"Calgary Nose Hill/Calgary Nose Hill"," 38","Calgary",0,75,2,10,120,1,0,208,646
48011,"Calgary Nose Hill/Calgary Nose Hill"," 39","Calgary",1,50,0,2,66,0,0,119,464
48011,"Calgary Nose Hill/Calgary Nose Hill"," 40","Calgary",0,47,0,6,100,0,0,153,546
48011,"Calgary Nose Hill/Calgary Nose Hill"," 41","Calgary",1,51,0,3,117,0,1,173,461
48011,"Calgary Nose Hill/Calgary Nose Hill"," 42","Calgary",0,43,0,4,77,0,1,125,365
48011,"Calgary Nose Hill/Calgary Nose Hill"," 43","Calgary",0,45,0,1,69,0,2,117,467
48011,"Calgary Nose Hill/Calgary Nose Hill"," 44","Calgary",0,50,1,6,70,0,0,127,432
48011,"Calgary Nose Hill/Calgary Nose Hill"," 45","Calgary",1,56,0,3,86,0,0,146,462
48011,"Calgary Nose Hill/Calgary Nose Hill"," 46","Calgary",1,80,2,7,158,1,1,250,634
48011,"Calgary Nose Hill/Calgary Nose Hill"," 47","Calgary",0,99,1,12,177,2,0,291,750
48011,"Calgary Nose Hill/Calgary Nose Hill"," 48","Calgary",0,75,1,1,141,0,0,218,684
48011,"Calgary Nose Hill/Calgary Nose Hill"," 49","Calgary",0,77,2,15,169,0,1,264,599
48011,"Calgary Nose Hill/Calgary Nose Hill"," 50","Calgary",1,120,1,16,170,0,3,311,676
48011,"Calgary Nose Hill/Calgary Nose Hill"," 51","Calgary",1,76,1,8,131,0,1,218,567
48011,"Calgary Nose Hill/Calgary Nose Hill"," 52","Calgary",0,102,3,9,155,1,0,270,705
48011,"Calgary Nose Hill/Calgary Nose Hill"," 53","Calgary",0,44,0,9,98,1,2,154,463
48011,"Calgary Nose Hill/Calgary Nose Hill"," 54","Calgary",1,77,1,3,114,2,3,201,695
48011,"Calgary Nose Hill/Calgary Nose Hill"," 55","Calgary",0,65,1,10,116,2,0,194,421
48011,"Calgary Nose Hill/Calgary Nose Hill"," 56","Calgary",1,65,0,4,121,0,3,194,524
48011,"Calgary Nose Hill/Calgary Nose Hill"," 57","Calgary",0,73,2,7,109,1,1,193,635
48011,"Calgary Nose Hill/Calgary Nose Hill"," 58","Calgary",0,80,3,5,97,5,1,191,543
48011,"Calgary Nose Hill/Calgary Nose Hill"," 59","Calgary",1,68,2,13,177,0,0,261,652
48011,"Calgary Nose Hill/Calgary Nose Hill"," 60","Calgary",0,86,0,5,139,0,2,232,615
48011,"Calgary Nose Hill/Calgary Nose Hill"," 61","Calgary",0,92,1,3,176,0,4,276,703
48011,"Calgary Nose Hill/Calgary Nose Hill"," 62","Calgary",0,82,0,9,170,0,1,262,701
48011,"Calgary Nose Hill/Calgary Nose Hill"," 63","Calgary",0,76,2,7,151,3,1,240,578
48011,"Calgary Nose Hill/Calgary Nose Hill"," 64","Calgary",0,64,1,9,151,2,0,227,544
