Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luke Markowski,Darrell Teske,Landen Tischer,Arnold Viersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48032,"Peace River--Westlock/Peace River--Westlock"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,11
48032,"Peace River--Westlock/Peace River--Westlock"," 506","Mobile poll/Bureau itinérant",3,1,2,16,0,22,32
48032,"Peace River--Westlock/Peace River--Westlock"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,23
48032,"Peace River--Westlock/Peace River--Westlock"," 508","Mobile poll/Bureau itinérant",4,0,5,23,5,37,54
48032,"Peace River--Westlock/Peace River--Westlock"," 509","Mobile poll/Bureau itinérant",8,1,2,18,2,31,39
48032,"Peace River--Westlock/Peace River--Westlock"," 510","Mobile poll/Bureau itinérant",10,3,4,47,3,67,69
48032,"Peace River--Westlock/Peace River--Westlock"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,43
48032,"Peace River--Westlock/Peace River--Westlock"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°97B,,,,,,11
48032,"Peace River--Westlock/Peace River--Westlock"," 513","Mobile poll/Bureau itinérant",10,0,2,39,0,51,67
48032,"Peace River--Westlock/Peace River--Westlock"," 514","High Prairie",Combined with No./Résultats combinés à ceux du n°98,,,,,,6
48032,"Peace River--Westlock/Peace River--Westlock"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,8
48032,"Peace River--Westlock/Peace River--Westlock"," 516","Mobile poll/Bureau itinérant",4,1,4,31,4,44,57
48032,"Peace River--Westlock/Peace River--Westlock"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,1
48032,"Peace River--Westlock/Peace River--Westlock"," 518","Mobile poll/Bureau itinérant",9,2,2,36,1,50,81
48032,"Peace River--Westlock/Peace River--Westlock"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,20
48032,"Peace River--Westlock/Peace River--Westlock"," 520","Mobile poll/Bureau itinérant",3,0,3,10,1,17,13
48032,"Peace River--Westlock/Peace River--Westlock"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,17
48032,"Peace River--Westlock/Peace River--Westlock"," 522","Mobile poll/Bureau itinérant",6,0,7,42,2,57,36
