Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sean Fraser,Brycen Jenkins,Jesiah MacDonald,Charlie MacEachern,Alexander MacKenzie,Gerald Romsa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Central Nova/Nova-Centre"," 1","Pictou Island",20,6,0,0,1,0,0,27,29
12003,"Central Nova/Nova-Centre"," 2","Lismore",143,74,6,1,1,3,1,229,398
12003,"Central Nova/Nova-Centre"," 3","Caribou Island",72,33,3,3,2,2,0,115,314
12003,"Central Nova/Nova-Centre"," 4","Central Caribou",52,79,0,2,0,0,0,133,296
12003,"Central Nova/Nova-Centre"," 5","Cape John",42,65,1,1,3,1,1,114,328
12003,"Central Nova/Nova-Centre"," 6","Caribou",39,49,3,1,0,1,2,95,254
12003,"Central Nova/Nova-Centre"," 7","Bay View",76,42,4,0,3,0,0,125,260
12003,"Central Nova/Nova-Centre"," 8","Toney River",128,88,5,1,1,2,0,225,420
12003,"Central Nova/Nova-Centre"," 9","Merigomish",60,68,4,0,0,3,0,135,247
12003,"Central Nova/Nova-Centre"," 9-1","Merigomish Harbour 31",Void/Supprimé,,,,,,,,
12003,"Central Nova/Nova-Centre"," 10","Little Harbour",78,42,2,0,1,0,4,127,343
12003,"Central Nova/Nova-Centre"," 11","Little Harbour",63,45,3,0,0,1,0,112,400
12003,"Central Nova/Nova-Centre"," 12","Little Harbour",43,77,3,0,0,0,0,123,334
12003,"Central Nova/Nova-Centre"," 13","Kenzieville",63,100,1,0,4,4,0,172,378
12003,"Central Nova/Nova-Centre"," 14","Fisher's Grant 24",48,5,0,0,3,0,0,56,305
12003,"Central Nova/Nova-Centre"," 15","Pictou",64,52,2,2,2,0,1,123,290
12003,"Central Nova/Nova-Centre"," 16","Pictou",45,52,2,1,0,3,0,103,312
12003,"Central Nova/Nova-Centre"," 17","Pictou",51,58,11,3,0,3,0,126,375
12003,"Central Nova/Nova-Centre"," 18","Pictou",76,60,4,0,0,0,0,140,431
12003,"Central Nova/Nova-Centre"," 19","Pictou",70,71,8,0,0,0,1,150,448
