Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Christopher Hadubiak,Randy Hoback,Virginia Kutzan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Prince Albert/Prince Albert"," 1","Big River No. 555",25,221,8,0,254,378
47005,"Prince Albert/Prince Albert"," 2","Doré Lake",Combined with No./Résultats combinés à ceux du n°1,,,,,6
47005,"Prince Albert/Prince Albert"," 3","Big River",19,181,12,0,212,352
47005,"Prince Albert/Prince Albert"," 4","Big River",18,123,4,1,146,267
47005,"Prince Albert/Prince Albert"," 5","Big River No. 555",16,170,15,0,201,288
47005,"Prince Albert/Prince Albert"," 6","Waskesiu Lake",21,47,11,0,79,147
47005,"Prince Albert/Prince Albert"," 7","Big River 118",435,25,10,8,478,725
47005,"Prince Albert/Prince Albert"," 8","Lakeland",58,220,16,3,297,511
47005,"Prince Albert/Prince Albert"," 9","Christopher Lake",25,87,19,1,132,535
47005,"Prince Albert/Prince Albert"," 10","Christopher Lake",Combined with No./Résultats combinés à ceux du n°8,,,,,253
47005,"Prince Albert/Prince Albert"," 11","Debden",21,160,8,3,192,418
47005,"Prince Albert/Prince Albert"," 12A","Debden",26,90,8,1,125,418
47005,"Prince Albert/Prince Albert"," 12B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,19
47005,"Prince Albert/Prince Albert"," 13","Candle Lake",39,235,18,0,292,403
47005,"Prince Albert/Prince Albert"," 14","Candle Lake",26,150,10,0,186,270
47005,"Prince Albert/Prince Albert"," 15","Victoire",Combined with No./Résultats combinés à ceux du n°12A,,,,,125
47005,"Prince Albert/Prince Albert"," 16","Victoire",Combined with No./Résultats combinés à ceux du n°7,,,,,5
47005,"Prince Albert/Prince Albert"," 17","Ahtahkakoop 104",178,25,10,1,214,625
47005,"Prince Albert/Prince Albert"," 18","Deer Ridge",7,108,14,0,129,249
47005,"Prince Albert/Prince Albert"," 19","Paddockwood",30,163,10,3,206,415
47005,"Prince Albert/Prince Albert"," 20","Montreal Lake 106B",Combined with No./Résultats combinés à ceux du n°20-1,,,,,65
47005,"Prince Albert/Prince Albert"," 20-1","Little Red River 106C",101,5,10,0,116,172
47005,"Prince Albert/Prince Albert"," 21","Candle Lake",4,48,2,0,54,124
47005,"Prince Albert/Prince Albert"," 22","Canwood",12,183,10,0,205,415
47005,"Prince Albert/Prince Albert"," 23","Canwood",13,182,8,1,204,337
47005,"Prince Albert/Prince Albert"," 24","Sturgeon Lake 101",124,8,21,3,156,734
47005,"Prince Albert/Prince Albert"," 25","Love",13,184,6,1,204,342
47005,"Prince Albert/Prince Albert"," 26","Spruce Home",7,108,14,1,130,335
47005,"Prince Albert/Prince Albert"," 27","Albertville",11,133,3,1,148,345
47005,"Prince Albert/Prince Albert"," 28","Shell Lake",Combined with No./Résultats combinés à ceux du n°29,,,,,177
47005,"Prince Albert/Prince Albert"," 29","Mistawasis 103",146,58,21,5,230,346
47005,"Prince Albert/Prince Albert"," 30","Meath Park",30,183,17,1,231,419
47005,"Prince Albert/Prince Albert"," 31","Kalyna",29,146,8,0,183,319
47005,"Prince Albert/Prince Albert"," 32","Shellbrook",41,309,27,3,380,485
47005,"Prince Albert/Prince Albert"," 33","Holbein",Combined with No./Résultats combinés à ceux du n°32,,,,,429
