Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Inderjeetsingh Ailsinghani,Iqwinder Singh Gaheer,Nathan Quinlan,Jaspreet Sandhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Mississauga--Malton/Mississauga--Malton"," 1","Mississauga",3,73,5,74,0,155,394
35065,"Mississauga--Malton/Mississauga--Malton"," 2","Mississauga",7,72,8,68,0,155,503
35065,"Mississauga--Malton/Mississauga--Malton"," 3","Mississauga",3,47,6,37,0,93,340
35065,"Mississauga--Malton/Mississauga--Malton"," 4","Mississauga",4,50,4,56,1,115,321
35065,"Mississauga--Malton/Mississauga--Malton"," 5","Mississauga",3,77,4,41,1,126,368
35065,"Mississauga--Malton/Mississauga--Malton"," 6","Mississauga",5,82,1,23,0,111,371
35065,"Mississauga--Malton/Mississauga--Malton"," 7","Mississauga",5,79,3,67,3,157,461
35065,"Mississauga--Malton/Mississauga--Malton"," 8","Mississauga",7,49,3,33,0,92,509
35065,"Mississauga--Malton/Mississauga--Malton"," 9","Mississauga",8,87,2,60,2,159,444
35065,"Mississauga--Malton/Mississauga--Malton"," 10","Mississauga",2,54,6,47,2,111,370
35065,"Mississauga--Malton/Mississauga--Malton"," 11","Mississauga",2,104,4,60,1,171,580
35065,"Mississauga--Malton/Mississauga--Malton"," 12","Mississauga",5,69,4,41,2,121,492
35065,"Mississauga--Malton/Mississauga--Malton"," 13","Mississauga",2,137,13,79,3,234,542
35065,"Mississauga--Malton/Mississauga--Malton"," 14","Mississauga",11,80,2,63,0,156,343
35065,"Mississauga--Malton/Mississauga--Malton"," 15","Mississauga",1,81,5,56,1,144,402
35065,"Mississauga--Malton/Mississauga--Malton"," 16","Mississauga",3,122,10,74,0,209,557
35065,"Mississauga--Malton/Mississauga--Malton"," 17","Mississauga",8,71,1,29,1,110,419
35065,"Mississauga--Malton/Mississauga--Malton"," 18","Mississauga",3,76,5,67,0,151,425
35065,"Mississauga--Malton/Mississauga--Malton"," 19","Mississauga",3,76,1,48,2,130,381
35065,"Mississauga--Malton/Mississauga--Malton"," 20","Mississauga",4,77,3,54,2,140,484
35065,"Mississauga--Malton/Mississauga--Malton"," 21","Mississauga",2,56,2,28,0,88,320
35065,"Mississauga--Malton/Mississauga--Malton"," 22","Mississauga",6,65,3,50,2,126,379
35065,"Mississauga--Malton/Mississauga--Malton"," 23","Mississauga",0,52,1,45,1,99,492
35065,"Mississauga--Malton/Mississauga--Malton"," 24","Mississauga",8,143,3,64,5,223,557
35065,"Mississauga--Malton/Mississauga--Malton"," 25","Mississauga",16,115,7,71,3,212,553
35065,"Mississauga--Malton/Mississauga--Malton"," 26","Mississauga",9,101,6,50,0,166,339
35065,"Mississauga--Malton/Mississauga--Malton"," 27","Mississauga",5,147,2,75,0,229,494
35065,"Mississauga--Malton/Mississauga--Malton"," 28","Mississauga",13,94,1,104,0,212,403
35065,"Mississauga--Malton/Mississauga--Malton"," 29","Mississauga",1,82,4,55,0,142,518
35065,"Mississauga--Malton/Mississauga--Malton"," 30","Mississauga",3,49,2,31,1,86,497
35065,"Mississauga--Malton/Mississauga--Malton"," 31","Mississauga",2,23,3,28,0,56,333
35065,"Mississauga--Malton/Mississauga--Malton"," 32","Mississauga",6,71,4,33,1,115,374
35065,"Mississauga--Malton/Mississauga--Malton"," 33","Mississauga",1,50,0,23,0,74,388
35065,"Mississauga--Malton/Mississauga--Malton"," 34","Mississauga",3,28,0,17,2,50,388
35065,"Mississauga--Malton/Mississauga--Malton"," 35","Mississauga",6,79,2,46,1,134,458
35065,"Mississauga--Malton/Mississauga--Malton"," 36","Mississauga",4,66,2,50,0,122,445
35065,"Mississauga--Malton/Mississauga--Malton"," 37","Mississauga",9,83,1,55,1,149,471
35065,"Mississauga--Malton/Mississauga--Malton"," 38","Mississauga",5,58,2,57,0,122,488
