Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Shahzad Ahmed,Serena Cheung,René de Vries,Helena Jaczek,Niran Jeyanesan,Myles O'Brien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Markham--Stouffville/Markham--Stouffville"," 1","Whitchurch-Stouffville",0,0,3,82,161,0,0,246,592
35056,"Markham--Stouffville/Markham--Stouffville"," 2","Whitchurch-Stouffville",0,8,2,90,154,2,3,259,597
35056,"Markham--Stouffville/Markham--Stouffville"," 3","Whitchurch-Stouffville",2,4,0,105,121,2,0,234,496
35056,"Markham--Stouffville/Markham--Stouffville"," 4","Whitchurch-Stouffville",1,7,1,104,120,6,0,239,529
35056,"Markham--Stouffville/Markham--Stouffville"," 5","Whitchurch-Stouffville",5,5,0,88,118,2,0,218,546
35056,"Markham--Stouffville/Markham--Stouffville"," 6","Whitchurch-Stouffville",1,3,3,93,80,3,0,183,448
35056,"Markham--Stouffville/Markham--Stouffville"," 7","Whitchurch-Stouffville",0,5,0,124,140,3,2,274,558
35056,"Markham--Stouffville/Markham--Stouffville"," 8","Whitchurch-Stouffville",0,5,0,91,114,2,0,212,433
35056,"Markham--Stouffville/Markham--Stouffville"," 9","Whitchurch-Stouffville",0,2,1,104,80,1,0,188,495
35056,"Markham--Stouffville/Markham--Stouffville"," 10","Whitchurch-Stouffville",0,1,1,87,100,0,1,190,450
35056,"Markham--Stouffville/Markham--Stouffville"," 11","Whitchurch-Stouffville",0,0,3,91,145,0,0,239,563
35056,"Markham--Stouffville/Markham--Stouffville"," 12","Whitchurch-Stouffville",1,1,1,81,122,3,0,209,442
35056,"Markham--Stouffville/Markham--Stouffville"," 13","Whitchurch-Stouffville",0,7,1,57,85,0,1,151,436
35056,"Markham--Stouffville/Markham--Stouffville"," 14","Whitchurch-Stouffville",1,4,3,112,129,3,1,253,584
35056,"Markham--Stouffville/Markham--Stouffville"," 15","Whitchurch-Stouffville",0,6,1,96,139,0,2,244,597
35056,"Markham--Stouffville/Markham--Stouffville"," 16","Whitchurch-Stouffville",0,4,6,104,143,3,2,262,456
35056,"Markham--Stouffville/Markham--Stouffville"," 17","Whitchurch-Stouffville",0,2,1,122,115,4,0,244,536
35056,"Markham--Stouffville/Markham--Stouffville"," 18","Whitchurch-Stouffville",0,3,3,67,81,2,0,156,465
35056,"Markham--Stouffville/Markham--Stouffville"," 19","Whitchurch-Stouffville",0,1,2,70,116,1,3,193,513
35056,"Markham--Stouffville/Markham--Stouffville"," 20","Whitchurch-Stouffville",1,4,2,57,89,3,1,157,458
35056,"Markham--Stouffville/Markham--Stouffville"," 21","Whitchurch-Stouffville",0,3,1,81,83,5,0,173,499
35056,"Markham--Stouffville/Markham--Stouffville"," 22","Whitchurch-Stouffville",0,2,2,63,68,1,1,137,414
35056,"Markham--Stouffville/Markham--Stouffville"," 23","Whitchurch-Stouffville",1,6,0,83,128,0,1,219,580
35056,"Markham--Stouffville/Markham--Stouffville"," 24","Whitchurch-Stouffville",0,4,0,72,80,0,2,158,402
35056,"Markham--Stouffville/Markham--Stouffville"," 25","Whitchurch-Stouffville",1,3,0,111,63,2,0,180,350
35056,"Markham--Stouffville/Markham--Stouffville"," 26","Whitchurch-Stouffville",0,5,0,96,114,3,0,218,490
35056,"Markham--Stouffville/Markham--Stouffville"," 27","Whitchurch-Stouffville",0,3,2,79,89,2,0,175,446
35056,"Markham--Stouffville/Markham--Stouffville"," 28","Whitchurch-Stouffville",0,1,1,96,118,1,0,217,489
35056,"Markham--Stouffville/Markham--Stouffville"," 29","Whitchurch-Stouffville",0,0,1,98,137,1,2,239,569
35056,"Markham--Stouffville/Markham--Stouffville"," 30","Whitchurch-Stouffville",0,5,1,76,91,3,2,178,509
35056,"Markham--Stouffville/Markham--Stouffville"," 31","Whitchurch-Stouffville",0,3,3,74,129,1,0,210,576
35056,"Markham--Stouffville/Markham--Stouffville"," 32","Whitchurch-Stouffville",0,5,3,80,125,1,0,214,547
35056,"Markham--Stouffville/Markham--Stouffville"," 33","Whitchurch-Stouffville",0,7,2,114,104,2,3,232,569
35056,"Markham--Stouffville/Markham--Stouffville"," 34","Whitchurch-Stouffville",0,5,0,121,125,1,1,253,665
35056,"Markham--Stouffville/Markham--Stouffville"," 35A","Whitchurch-Stouffville",0,4,0,116,124,5,1,250,665
35056,"Markham--Stouffville/Markham--Stouffville"," 35B","Whitchurch-Stouffville",0,3,1,74,107,2,12,199,511
35056,"Markham--Stouffville/Markham--Stouffville"," 36","Whitchurch-Stouffville",1,4,3,106,54,1,2,171,86
35056,"Markham--Stouffville/Markham--Stouffville"," 37","Whitchurch-Stouffville",0,1,1,97,111,0,0,210,583
35056,"Markham--Stouffville/Markham--Stouffville"," 38A","Whitchurch-Stouffville",1,5,4,63,104,2,2,181,450
35056,"Markham--Stouffville/Markham--Stouffville"," 38B","Whitchurch-Stouffville",Combined with No./Résultats combinés à ceux du n°36,,,,,,,,143
35056,"Markham--Stouffville/Markham--Stouffville"," 39","Whitchurch-Stouffville",0,5,0,87,119,4,0,215,590
35056,"Markham--Stouffville/Markham--Stouffville"," 40","Whitchurch-Stouffville",1,5,1,66,83,0,2,158,499
35056,"Markham--Stouffville/Markham--Stouffville"," 41A","Whitchurch-Stouffville",0,2,1,53,59,0,0,115,368
35056,"Markham--Stouffville/Markham--Stouffville"," 41B","Whitchurch-Stouffville",0,0,0,56,50,0,0,106,381
35056,"Markham--Stouffville/Markham--Stouffville"," 42","Whitchurch-Stouffville",0,3,2,81,71,6,0,163,464
35056,"Markham--Stouffville/Markham--Stouffville"," 43","Whitchurch-Stouffville",1,3,2,84,82,1,1,174,466
35056,"Markham--Stouffville/Markham--Stouffville"," 44","Whitchurch-Stouffville",0,6,0,86,109,3,0,204,551
35056,"Markham--Stouffville/Markham--Stouffville"," 45","Whitchurch-Stouffville",0,4,0,79,106,1,0,190,574
35056,"Markham--Stouffville/Markham--Stouffville"," 46","Markham",1,1,2,89,133,2,0,228,635
35056,"Markham--Stouffville/Markham--Stouffville"," 47","Whitchurch-Stouffville",0,2,0,82,85,2,1,172,451
35056,"Markham--Stouffville/Markham--Stouffville"," 48","Whitchurch-Stouffville",0,3,0,74,94,1,1,173,517
35056,"Markham--Stouffville/Markham--Stouffville"," 49A","Whitchurch-Stouffville",0,5,1,52,70,0,0,128,332
35056,"Markham--Stouffville/Markham--Stouffville"," 49B","Whitchurch-Stouffville",0,3,1,57,75,0,0,136,432
35056,"Markham--Stouffville/Markham--Stouffville"," 50","Whitchurch-Stouffville",0,1,1,76,58,0,1,137,529
35056,"Markham--Stouffville/Markham--Stouffville"," 51","Whitchurch-Stouffville",1,1,1,74,88,1,0,166,408
35056,"Markham--Stouffville/Markham--Stouffville"," 52","Whitchurch-Stouffville",0,2,1,43,95,1,0,142,318
35056,"Markham--Stouffville/Markham--Stouffville"," 53","Whitchurch-Stouffville",0,4,2,104,94,2,0,206,569
35056,"Markham--Stouffville/Markham--Stouffville"," 54","Whitchurch-Stouffville",0,3,1,124,90,5,0,223,557
