Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Valerie Bradford,Lorne Bruce,Kathleen Dueck,Ethan Russell,Matt Strauss,Randall Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 120","Kitchener",87,15,3,8,150,1,1,265,504
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 121","Kitchener",93,16,3,3,116,0,0,231,531
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 122","Kitchener",50,8,0,5,59,8,0,130,364
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 123","Kitchener",73,5,0,7,53,0,0,138,363
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 124","Kitchener",81,4,2,2,97,1,1,188,397
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 125","Kitchener",89,10,0,7,108,3,3,220,429
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 126","Kitchener",77,3,0,4,70,6,0,160,405
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 127","Kitchener",62,0,0,3,68,1,0,134,358
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 128","Kitchener",101,13,1,10,100,1,2,228,499
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 129","Kitchener",85,9,1,4,52,2,0,153,356
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 130","Kitchener",84,4,0,1,59,2,0,150,377
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 131","Kitchener",84,12,0,6,99,2,1,204,519
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 132","Kitchener",152,5,0,3,140,4,0,304,591
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 133","Kitchener",46,5,1,4,44,2,0,102,402
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 134","Kitchener",45,5,0,4,65,0,1,120,403
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 135","Kitchener",52,3,0,0,57,0,0,112,346
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 136","Kitchener",76,7,0,3,92,3,1,182,377
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 137","Kitchener",64,5,0,1,88,0,2,160,462
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 138","Kitchener",83,5,1,7,87,1,3,187,395
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 139","Kitchener",55,10,0,3,74,1,0,143,393
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 140","Kitchener",91,3,0,2,86,0,1,183,498
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 141","Kitchener",63,5,0,1,88,2,0,159,412
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 142","Kitchener",45,8,0,1,50,0,1,105,374
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 143","Kitchener",50,3,0,6,90,2,0,151,379
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 144","Kitchener",57,5,0,1,72,0,0,135,401
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 145","Kitchener",75,5,0,0,99,0,0,179,436
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 146","Kitchener",77,4,0,1,99,0,0,181,425
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 147","Kitchener",72,2,0,2,123,0,0,199,466
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 148","Kitchener",98,5,2,1,132,5,1,244,607
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 149","Kitchener",70,13,1,5,77,1,0,167,415
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 150","Kitchener",69,8,1,12,92,1,0,183,511
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 151","Kitchener",70,4,1,6,81,0,0,162,483
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 152","Kitchener",62,4,0,3,53,2,0,124,371
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 153","Kitchener",95,3,6,9,71,3,0,187,393
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 154","Kitchener",121,5,1,4,122,2,0,255,609
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 155","Kitchener",87,7,0,3,131,1,1,230,575
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 156","Kitchener",87,7,0,10,122,0,3,229,544
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 157","Kitchener",79,12,0,2,83,0,0,176,413
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 158","Kitchener",69,4,1,1,96,2,1,174,566
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 159","Kitchener",106,5,0,3,130,0,1,245,570
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 160","Kitchener",98,6,0,7,129,2,0,242,544
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 161","Kitchener",70,8,0,2,129,0,0,209,508
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 162","Kitchener",60,4,0,3,66,1,1,135,382
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 163","Kitchener",92,4,0,1,56,0,0,153,423
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 164","Kitchener",82,8,0,1,100,2,1,194,569
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 165","Kitchener",96,2,0,2,146,1,2,249,608
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 166","Kitchener",66,2,0,1,109,0,1,179,465
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 167","Kitchener",85,3,1,5,91,1,1,187,482
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 168","Kitchener",117,4,0,7,113,0,0,241,653
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 169","Kitchener",122,2,0,1,133,0,2,260,585
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 170","Kitchener",84,3,0,6,119,0,1,213,571
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 171","Kitchener",79,3,1,11,84,0,0,178,511
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 172","Kitchener",83,2,0,2,118,0,0,205,612
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 173","Kitchener",97,3,0,3,94,1,2,200,455
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 174","Kitchener",90,4,0,2,91,0,3,190,568
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 175","Kitchener",111,6,0,1,115,1,0,234,627
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 176A","Kitchener",81,7,0,5,77,0,0,170,542
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 176B","Kitchener",80,4,0,6,119,0,1,210,556
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 177","Kitchener",105,2,0,3,146,2,3,261,622
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 178","Kitchener",113,9,0,3,129,0,0,254,523
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 179","Kitchener",60,3,0,5,87,1,2,158,512
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 400A","Kitchener",Combined with No./Résultats combinés à ceux du n°77A,,,,,,,,153
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 400B","Kitchener",Combined with No./Résultats combinés à ceux du n°77B,,,,,,,,139
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 401A","Kitchener",Combined with No./Résultats combinés à ceux du n°66A,,,,,,,,190
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 401B","Kitchener",Combined with No./Résultats combinés à ceux du n°66B,,,,,,,,168
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 402A","Kitchener",Combined with No./Résultats combinés à ceux du n°66A,,,,,,,,165
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 402B","Kitchener",Combined with No./Résultats combinés à ceux du n°66B,,,,,,,,149
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 403","Kitchener",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,258
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,35
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 501","Mobile poll/Bureau itinérant",62,8,3,4,46,0,1,124,133
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,36
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 503","Mobile poll/Bureau itinérant",42,4,1,4,32,0,0,83,92
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 504","Mobile poll/Bureau itinérant",114,13,5,6,71,5,0,214,273
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,47
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 506","Mobile poll/Bureau itinérant",42,1,1,0,6,3,3,56,93
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 600","Cambridge",997,45,3,15,907,7,0,1974,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 601","Cambridge",893,33,0,11,895,4,4,1840,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 602","Cambridge",780,55,0,17,840,9,7,1708,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 603","Cambridge",832,37,1,23,855,3,6,1757,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 604","Kitchener",727,37,0,30,624,10,5,1433,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 605","Kitchener",424,29,1,14,346,4,5,823,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 606","Kitchener",559,42,5,36,526,8,8,1184,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 607","Kitchener",812,53,2,26,509,24,11,1437,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 608","Kitchener",644,59,1,26,509,6,1,1246,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 609","Kitchener",543,45,3,24,535,6,5,1161,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 610","Kitchener",580,21,1,11,441,11,1,1066,
35050,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 611","Kitchener",690,31,0,19,637,6,5,1388,
