Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Raphaël Émond,Yves Laporte,Richard Martel,Stéphane Proulx,François Sabourin,Marc St-Hilaire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 1","Saint-David-de-Falardeau",1,3,74,66,3,46,3,196,378
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 2","Saint-David-de-Falardeau",2,1,73,62,1,45,0,184,391
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 3","Saint-David-de-Falardeau",3,1,76,29,0,43,4,156,351
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 4","Saint-David-de-Falardeau",6,2,98,63,0,80,3,252,475
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 5","Saint-David-de-Falardeau",0,4,85,69,5,65,1,229,458
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 6","Saint-David-de-Falardeau",2,3,71,57,1,65,0,199,394
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 7","Saint-Fulgence",6,2,88,36,2,67,5,206,376
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 8","Saint-Fulgence",2,3,66,34,1,70,2,178,375
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 9","Saint-Fulgence",3,1,57,44,0,77,6,188,382
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 10","Saint-Fulgence",10,1,57,35,0,67,4,174,369
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 11","Saint-Fulgence",6,1,58,39,4,48,4,160,376
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 12","Saint-Honoré",4,2,56,38,3,45,2,150,357
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 13","Saint-Honoré",5,4,90,36,1,51,0,187,383
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 14","Saint-Honoré",7,2,150,45,0,70,3,277,566
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 15","Saint-Honoré",2,1,64,20,1,59,0,147,333
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 16","Saint-Honoré",3,2,67,23,3,55,5,158,377
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 17","Saint-Honoré",3,1,100,42,1,51,2,200,404
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 18","Saint-Honoré",3,3,65,32,0,42,6,151,360
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 19","Saint-Honoré",6,4,96,31,0,47,4,188,443
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 20","Saint-Honoré",6,4,97,52,1,65,3,228,449
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 21","Saint-Honoré",4,1,134,58,0,61,0,258,506
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 22","Saint-Honoré",0,1,84,39,0,61,1,186,387
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 23","Saint-Honoré",1,4,55,29,0,59,1,149,336
24018,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 24","Saint-Honoré",5,2,85,27,2,45,1,167,428
