Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Clint Cole,Julie Dietrich,Bridget Girard,Pranay Gunti,Ghuzna Imam,Jamil Jivani,Elenor Marano,Adam Smith,Thomas Zekveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 1","Clarington",0,6,73,0,0,141,11,0,0,0,231,535
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 2","Clarington",0,3,35,1,1,108,6,0,0,0,154,399
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 3","Clarington",0,4,55,0,0,111,6,0,3,1,180,462
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 4","Clarington",3,1,65,0,0,99,3,0,0,0,171,420
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 5","Clarington",0,3,43,0,0,102,3,1,8,0,160,372
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 6","Clarington",0,5,44,4,0,99,11,0,1,1,165,342
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 7","Oshawa",0,2,51,0,1,83,3,0,1,1,142,330
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 8","Oshawa",1,0,54,0,0,117,4,1,0,0,177,436
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 9","Oshawa",0,3,26,1,0,46,2,0,0,1,79,157
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 10","Clarington",1,1,65,0,0,85,3,0,1,0,156,276
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 11","Clarington",0,1,85,0,0,117,4,0,0,0,207,350
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 12","Clarington",2,3,66,0,0,72,5,0,1,0,149,306
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 13","Clarington",0,4,103,0,0,158,9,0,0,2,276,451
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 14","Clarington",0,5,67,0,0,99,8,0,2,0,181,417
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 15","Clarington",0,0,77,0,0,146,8,0,3,1,235,461
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 16","Oshawa",3,0,54,0,1,73,1,0,0,0,132,289
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 17","Oshawa",0,0,82,0,0,109,5,0,0,1,197,541
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 18","Oshawa",0,1,89,0,2,77,3,0,2,0,174,477
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 19","Oshawa",0,4,77,0,0,79,4,0,0,0,164,491
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 20","Clarington",2,0,83,0,0,111,5,0,0,1,202,619
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 21","Clarington",0,1,117,3,0,91,9,1,0,3,225,641
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 22","Clarington",1,1,69,2,0,107,6,0,0,1,187,559
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 23","Clarington",0,2,59,1,0,110,9,0,0,1,182,449
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 24","Clarington",0,3,79,1,0,125,6,0,0,0,214,594
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 25","Clarington",1,2,103,0,1,155,12,0,1,0,275,630
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 26","Clarington",0,1,104,6,0,147,9,1,0,2,270,680
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 27","Clarington",0,2,103,0,0,138,6,0,0,1,250,599
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 28","Clarington",0,1,70,0,0,84,2,0,1,0,158,503
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 29","Clarington",0,0,91,3,2,129,6,0,1,1,233,510
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 30","Clarington",0,3,75,1,0,109,6,0,0,0,194,376
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 31","Clarington",1,1,71,0,0,135,6,0,0,1,215,441
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 32","Clarington",0,0,54,0,0,87,3,0,1,2,147,536
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 33","Clarington",0,0,50,1,0,65,2,0,0,0,118,358
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 34A","Oshawa",0,0,93,0,1,107,2,0,0,2,205,529
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 34B","Oshawa",1,5,95,1,1,118,2,0,0,1,224,584
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 34C","Oshawa",0,0,85,2,0,130,6,1,1,1,226,599
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 35","Oshawa",0,0,111,3,4,120,6,0,0,0,244,540
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 36","Oshawa",0,0,112,0,0,86,8,1,1,0,208,603
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 37","Oshawa",0,1,81,1,1,76,1,0,2,1,164,459
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 38","Oshawa",0,1,88,1,1,71,3,0,0,19,184,535
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 39","Oshawa",0,0,94,0,0,84,3,0,2,16,199,501
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 40","Oshawa",0,0,121,3,1,103,6,2,1,1,238,604
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 41","Oshawa",1,2,84,0,0,84,5,0,0,0,176,596
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 42","Oshawa",1,0,101,0,1,70,4,0,1,0,178,470
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 43","Oshawa",2,1,110,1,6,100,4,0,0,1,225,505
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 44","Oshawa",0,2,112,0,0,107,9,0,0,2,232,579
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 45","Oshawa",0,3,107,0,1,85,7,0,0,2,205,566
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 46","Oshawa",2,5,71,0,0,93,4,0,0,0,175,488
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 47","Oshawa",0,2,101,0,0,82,7,0,0,1,193,525
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 48","Oshawa",0,2,126,2,1,116,12,0,0,0,259,714
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 49","Oshawa",0,2,100,1,2,108,4,0,0,0,217,595
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 50","Oshawa",0,1,97,2,0,97,7,0,0,0,204,568
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 51","Oshawa",3,0,88,1,0,83,4,1,0,1,181,519
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 52","Oshawa",0,0,99,4,0,94,2,0,0,1,200,498
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 53","Oshawa",0,0,97,1,2,113,3,0,0,1,217,465
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 54","Oshawa",0,3,127,0,2,88,8,0,0,0,228,597
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 55","Oshawa",0,0,93,0,1,133,4,0,0,0,231,575
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 56","Oshawa",0,4,56,0,0,42,8,0,0,1,111,362
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 57","Clarington",2,3,60,0,0,97,5,0,1,1,169,393
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 58","Clarington",0,1,81,1,0,78,9,0,0,0,170,373
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 59","Clarington",1,2,92,1,0,115,6,2,0,2,221,487
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 60","Clarington",0,5,65,0,0,69,7,1,0,0,147,367
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 61","Clarington",1,1,59,1,0,87,2,0,0,1,152,359
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 62","Clarington",0,2,49,0,0,64,4,1,1,0,121,367
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 63","Clarington",1,1,45,0,0,62,7,1,2,0,119,382
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 64","Clarington",1,1,34,0,0,68,4,1,0,0,109,349
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 65","Clarington",2,3,104,0,0,127,7,0,2,1,246,575
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 66","Clarington",0,0,77,1,0,103,5,0,0,1,187,422
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 67","Clarington",0,3,72,1,0,110,1,0,0,1,188,377
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 68","Clarington",1,4,84,0,0,102,9,1,0,0,201,450
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 69","Clarington",1,3,65,0,0,61,10,0,0,0,140,329
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 70","Clarington",0,8,65,1,0,66,7,0,0,0,147,374
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 71","Clarington",0,3,73,0,0,87,6,0,0,0,169,432
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 72","Oshawa",0,1,101,0,0,91,5,0,0,0,198,565
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 73","Oshawa",0,2,59,2,0,74,6,0,0,0,143,404
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 74","Oshawa",0,2,97,0,2,61,4,0,0,2,168,526
