Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rosemarie Falk,Larry Ingram,Darrell Patan,William Petryk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 1","Northern Pine",167,34,2,0,2,205,496
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 2","Big Island Lake Cree Territory",59,38,2,12,1,112,301
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 3","Pierceland",281,26,2,11,2,322,710
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 4","Goodsoil",79,14,0,1,1,95,334
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 5","Peerless",80,8,0,6,1,95,260
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 6","Waterhen Lake",Combined with No./Résultats combinés à ceux du n°6-1,,,,,,67
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 6-1","Waterhen 130",6,68,0,25,0,99,246
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 7","Dorintosh--Greig Lake",139,41,4,16,4,204,382
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 8","Mudie Lake",Combined with No./Résultats combinés à ceux du n°8-1,,,,,,34
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 8-1","Ministikwan 161",No poll held/Pas de scrutin,,,,,,113
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 9","Rapid View",145,14,2,2,0,163,337
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 10","Loon Lake",36,4,0,0,0,40,133
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 11","Four Corners",154,16,2,8,0,180,482
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 12","Meadow Lake",46,29,0,7,1,83,333
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 13","Whelan",Combined with No./Résultats combinés à ceux du n°16,,,,,,99
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 14","Meadow Lake No. 588",Combined with No./Résultats combinés à ceux du n°14-1,,,,,,247
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 14-1","Flying Dust First Nation 105 (Meadow Lake 105)",246,107,3,18,2,376,599
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 15","Makwa Lake 129",20,173,1,14,3,211,286
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 16","Loon Lake",74,17,2,9,0,102,626
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 17","Meadow Lake",80,36,0,12,0,128,451
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 18","Meadow Lake",84,33,1,11,0,129,429
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 19","Meadow Lake",61,18,0,2,1,82,395
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 20","Meadow Lake",65,30,0,7,1,103,493
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 21","Meadow Lake",83,26,0,2,2,113,361
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 22","Makwa",121,9,0,2,1,133,218
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 23","Barthel",33,4,0,3,0,40,118
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 24","Onion Lake",29,380,2,29,13,453,1933
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 25","Meadow Lake",73,30,0,9,1,113,436
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 26","Meadow Lake",115,37,1,11,3,167,436
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 27","Meadow Lake No. 588",79,9,1,5,1,95,230
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 27-1","Eagles Lake 165C",3,6,0,0,0,9,30
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 28","Fort Pitt",151,4,2,1,1,159,296
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 29","Meadow Lake",87,27,0,6,1,121,377
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 30","Meadow Lake No. 588",Combined with No./Résultats combinés à ceux du n°14-1,,,,,,374
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 31","Paradise Hill",372,15,0,10,0,397,610
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 32","St. Walburg",106,15,0,3,1,125,383
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 33","St. Walburg",123,12,0,3,0,138,425
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 34","Spruce Lake",75,6,0,1,0,82,271
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 35","Thunderchild First Nation 115B",14,79,0,6,1,100,137
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 36","Turtleford",161,47,2,7,0,217,669
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 37","Chitek Lake",87,21,0,2,0,110,166
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 38","Livelong",334,45,2,22,3,406,698
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 39","Northminster",109,8,1,3,0,121,242
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 40","Hillmond",243,11,1,0,2,257,470
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 41","Northminster",71,1,0,1,0,73,221
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 42","Lloydminster",134,6,1,3,0,144,425
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 43","Spiritwood",13,147,0,11,0,171,14
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 43-1","Chitek Lake",Combined with No./Résultats combinés à ceux du n°43,,,,,,330
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 44","Lloydminster (Part)",100,1,5,0,0,106,271
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 45","Lloydminster (Part)",96,13,0,3,1,113,452
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 46","Lloydminster (Part)",86,8,0,7,2,103,388
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 47","Lloydminster (Part)",127,20,2,7,2,158,528
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 48","Lloydminster (Part)",73,11,1,6,2,93,331
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 49","Lloydminster (Part)",69,14,2,9,4,98,399
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 50","Lloydminster (Part)",99,17,1,6,1,124,378
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 51","Lloydminster (Part)",94,8,0,3,0,105,327
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 52","Lloydminster (Part)",156,16,2,6,6,186,563
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 53","Lloydminster (Part)",132,23,1,3,0,159,417
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 54","Lloydminster (Part)",163,45,2,9,1,220,605
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 55","Lloydminster (Part)",145,16,2,2,1,166,497
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 56","Lloydminster (Part)",135,22,2,4,3,166,578
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 57","Lloydminster (Part)",172,22,3,18,6,221,640
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 58","Chitek Lake",Combined with No./Résultats combinés à ceux du n°37,,,,,,37
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 59","Lloydminster (Part)",106,17,0,4,2,129,350
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 60","Lloydminster (Part)",118,13,1,2,0,134,493
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 61","Lloydminster (Part)",136,32,1,8,0,177,466
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 62","Lloydminster (Part)",115,22,1,0,2,140,446
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 63","Lloydminster (Part)",118,15,1,9,2,145,440
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 64","Mervin",43,3,0,1,0,47,160
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 65","Mervin",185,16,3,7,0,211,320
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 66","Ranger",Combined with No./Résultats combinés à ceux du n°68,,,,,,74
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 66-1","Saulteaux 159A",Combined with No./Résultats combinés à ceux du n°68,,,,,,1
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 67","Leoville",125,37,3,3,1,169,428
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 68","Leoville",93,6,1,3,1,104,123
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 69","Lloydminster",182,16,2,6,0,206,346
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 70","Marshall",157,18,1,4,0,180,281
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 71","Marshall",194,9,3,7,2,215,334
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 72","Glaslyn",107,10,1,0,0,118,235
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 73","Glaslyn",131,5,0,2,1,139,366
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 74","Witchekan Lake 117",9,67,0,6,1,83,196
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 75","Lashburn",222,22,1,17,1,263,420
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 76","Lashburn",174,15,0,6,0,195,301
