Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 1","Nanaimo",27,44,75,28,3,0,177,576
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 2","Nanaimo",31,60,43,22,0,0,156,587
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 3","Nanaimo",36,56,87,20,2,2,203,605
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 4","Nanaimo",24,54,93,30,1,0,202,599
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 5","Nanaimo",31,53,121,47,2,1,255,627
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 6","Extension",28,34,79,27,1,0,169,377
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 7","Nanaimo",42,54,119,58,1,1,275,578
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 8","Nanaimo",51,43,107,37,2,0,240,623
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 9","Cinnabar Valley",61,31,91,58,3,0,244,541
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 10","Nanaimo",17,66,84,32,4,0,203,632
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 11","Nanaimo",35,47,55,47,0,0,184,570
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 12","Nanaimo",37,61,95,61,0,0,254,616
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 13","Nanaimo",23,65,105,46,0,0,239,640
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 14","Nanaimo",30,61,66,44,1,1,203,668
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 15","Nanaimo",25,50,69,54,0,0,198,584
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 16","Nanaimo",26,46,82,40,1,1,196,615
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 17","Nanaimo",23,44,24,19,0,0,110,560
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 18","Nanaimo",22,37,65,39,1,1,165,471
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 19","Nanaimo",26,46,62,44,0,0,178,610
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 20","Nanaimo",21,36,43,25,0,1,126,441
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 21","Nanaimo",33,70,71,47,2,1,224,590
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 22","Nanaimo",40,45,81,26,4,0,196,660
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 23","Nanaimo",23,53,70,54,0,0,200,756
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 24","Nanaimo",14,45,58,15,0,0,132,551
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 25","Nanaimo",40,41,96,30,0,0,207,601
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 26","Nanaimo",15,34,51,24,0,1,125,552
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 27","Nanaimo",26,52,75,39,2,1,195,656
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 28","Nanaimo",27,46,67,33,1,0,174,524
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 29","Nanaimo",27,42,71,40,0,1,181,624
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 30A","Nanaimo",33,33,85,56,1,0,208,438
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 30B","Nanaimo",23,51,67,50,0,0,191,384
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 31A","Nanaimo",Combined with No./Résultats combinés à ceux du n°30A,,,,,,,189
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 31B","Nanaimo",Combined with No./Résultats combinés à ceux du n°30B,,,,,,,145
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 32","Nanaimo",43,49,99,49,0,0,240,722
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 33","Nanaimo",26,47,39,6,0,0,118,489
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 34","Nanaimo",27,32,47,31,0,0,137,468
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 35","Nanaimo",29,39,78,46,2,0,194,596
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 36","Nanaimo",36,50,103,28,0,1,218,678
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 37","Nanaimo",27,44,79,37,0,0,187,612
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 38","Nanaimo",25,34,63,41,2,0,165,536
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 39","Nanaimo",24,17,68,22,0,0,131,507
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 40","Nanaimo",47,52,55,54,1,0,209,610
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 41","Nanaimo",23,44,64,34,0,1,166,638
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 42","Nanaimo",22,61,70,39,0,0,192,644
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 43A","Nanaimo",41,57,91,38,1,1,229,786
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 43B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,26
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 44","Nanaimo",28,41,59,38,0,0,166,501
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 45","Nanaimo",38,47,79,40,0,0,204,686
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 46","Nanaimo",43,41,76,24,0,0,184,628
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 47","Nanaimo",43,41,92,39,0,0,215,655
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 48","Nanaimo",30,24,63,30,1,1,149,476
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 49","Nanaimo",34,64,77,81,2,0,258,624
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 50","Nanaimo",67,62,112,74,0,0,315,830
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 51","Nanaimo",36,64,69,66,0,0,235,623
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 52","Nanaimo",83,71,89,57,0,1,301,623
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 53","Nanaimo",34,65,73,51,3,0,226,607
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 54","Nanaimo",32,51,68,57,2,0,210,639
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 55","Nanaimo",20,57,84,55,1,0,217,573
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 56","Nanaimo",35,56,75,59,1,0,226,630
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 57","Nanaimo",70,64,70,61,0,1,266,635
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 58","Nanaimo",47,50,57,84,0,0,238,605
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 59","Nanaimo",28,59,48,56,2,0,193,607
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 60","Nanaimo",33,36,74,39,0,0,182,610
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 61","Nanaimo",46,48,81,29,1,0,205,566
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 62","Nanaimo",35,43,76,36,0,1,191,619
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 63","Nanaimo",47,46,82,45,1,0,221,554
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 64","Nanaimo",43,37,77,63,0,0,220,652
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 65","Wellington",25,55,145,48,0,0,273,620
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 66","East Wellington",27,43,116,26,1,1,214,564
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 67","East Wellington",14,39,77,33,0,1,164,404
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 68","Nanaimo",42,59,121,55,1,2,280,780
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 69","Nanaimo",45,55,95,32,0,1,228,572
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 70","Nanaimo",44,50,92,57,1,0,244,637
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 71","Nanaimo",34,67,98,42,0,1,242,616
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 72","Nanaimo",47,40,72,30,1,0,190,606
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 73","Nanaimo",58,53,95,45,0,1,252,593
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 74","Nanaimo",40,52,74,67,1,0,234,549
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 75","Nanaimo",52,62,88,59,1,0,262,593
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 76","Nanaimo",60,39,113,48,2,0,262,614
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 77","Nanaimo",29,25,62,31,3,2,152,617
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 78","Nanaimo",39,55,64,77,2,1,238,602
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 79","Nanaimo",57,87,100,86,1,4,335,749
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 80","Nanaimo",52,29,84,63,2,2,232,611
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 81","Nanaimo",52,51,84,55,2,2,246,614
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 82","Nanaimo",49,57,48,58,0,0,212,615
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 83","Nanaimo",34,57,47,32,2,0,172,596
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 84A","Nanaimo",Combined with No./Résultats combinés à ceux du n°87A,,,,,,,77
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 84B","Nanaimo",Combined with No./Résultats combinés à ceux du n°87B,,,,,,,91
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 85","Nanaimo",46,42,42,32,0,0,162,603
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 86A","Nanaimo",Combined with No./Résultats combinés à ceux du n°87A,,,,,,,114
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 86B","Nanaimo",Combined with No./Résultats combinés à ceux du n°87B,,,,,,,147
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 87A","Nanaimo",22,29,50,23,0,0,124,172
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 87B","Nanaimo",30,31,55,24,0,0,140,193
