Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,William Cooper,Nira Dookeran,Hena Masjedee,David McGuinty,Alex Perrier,John Redins,Blair Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Ottawa South/Ottawa-Sud"," 1","Ottawa",1,3,10,101,0,0,43,2,160,507
35080,"Ottawa South/Ottawa-Sud"," 2","Ottawa",1,2,10,81,0,0,36,1,131,392
35080,"Ottawa South/Ottawa-Sud"," 3","Ottawa",0,2,7,110,2,0,39,2,162,400
35080,"Ottawa South/Ottawa-Sud"," 4","Ottawa",3,5,12,120,0,0,27,1,168,396
35080,"Ottawa South/Ottawa-Sud"," 5","Ottawa",0,4,7,67,3,0,42,1,124,398
35080,"Ottawa South/Ottawa-Sud"," 6","Ottawa",1,1,6,83,0,0,27,0,118,409
35080,"Ottawa South/Ottawa-Sud"," 7","Ottawa",0,2,9,97,0,0,52,1,161,449
35080,"Ottawa South/Ottawa-Sud"," 8","Ottawa",0,4,7,96,2,0,47,2,158,463
35080,"Ottawa South/Ottawa-Sud"," 9","Ottawa",0,4,22,131,3,0,57,5,222,671
35080,"Ottawa South/Ottawa-Sud"," 10","Ottawa",2,2,9,111,2,0,22,1,149,368
35080,"Ottawa South/Ottawa-Sud"," 11","Ottawa",1,4,17,146,2,0,34,3,207,477
35080,"Ottawa South/Ottawa-Sud"," 12","Ottawa",0,4,9,100,4,0,43,1,161,417
35080,"Ottawa South/Ottawa-Sud"," 13","Ottawa",0,4,10,76,1,0,19,0,110,358
35080,"Ottawa South/Ottawa-Sud"," 14","Ottawa",0,1,5,97,0,1,70,1,175,570
35080,"Ottawa South/Ottawa-Sud"," 15","Ottawa",0,0,4,52,1,0,27,0,84,337
35080,"Ottawa South/Ottawa-Sud"," 16","Ottawa",0,3,18,117,2,1,64,1,206,545
35080,"Ottawa South/Ottawa-Sud"," 17","Ottawa",0,1,12,64,0,0,39,1,117,462
35080,"Ottawa South/Ottawa-Sud"," 18","Ottawa",1,2,16,107,1,0,45,1,173,534
35080,"Ottawa South/Ottawa-Sud"," 19","Ottawa",0,4,13,102,3,0,35,0,157,490
35080,"Ottawa South/Ottawa-Sud"," 20","Ottawa",1,5,11,145,2,0,46,1,211,363
35080,"Ottawa South/Ottawa-Sud"," 21","Ottawa",0,7,22,207,3,1,74,6,320,541
