Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Pierre-Augustin Allard,Thierry Bilodeau,François-Philippe Champagne,Dji-Pé Frazer,Nathalie Garceau,Marie-Claude Gaudet,David Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 1","Obedjiwan 28",3,3,56,1,1,3,0,0,67,606
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 2","Obedjiwan 28",Combined with No./Résultats combinés à ceux du n°1,,,,,,,,,886
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 3","Communauté de Wemotaci",9,2,83,3,6,1,0,4,108,424
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 4","Communauté de Wemotaci",Combined with No./Résultats combinés à ceux du n°3,,,,,,,,,442
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 5","La Tuque",6,3,6,0,0,0,0,0,15,35
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 6","Lac-Édouard",29,29,40,1,0,1,0,0,100,167
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 7","La Tuque",65,68,64,2,2,0,6,4,211,546
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 8","La Bostonnais",36,20,41,0,2,5,5,0,109,235
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 9","La Bostonnais",34,45,39,0,1,0,1,2,122,277
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 10","La Tuque",29,44,47,4,1,3,1,4,133,274
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 11","La Tuque",39,51,42,0,3,0,4,0,139,383
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 12","La Tuque",15,26,27,1,4,1,0,5,79,361
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 13","La Tuque",20,23,33,0,3,0,0,1,80,310
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 14","La Tuque",15,9,29,1,0,0,0,1,55,314
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 15","La Tuque",35,49,53,0,1,1,0,0,139,352
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 16","La Tuque",43,47,53,0,2,1,3,2,151,390
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 17","La Tuque",24,25,32,0,3,1,3,2,90,352
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 18","La Tuque",28,22,48,0,0,2,1,0,101,338
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 19","La Tuque",23,35,23,0,1,1,4,1,88,317
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 20","La Tuque",25,25,42,0,2,1,0,4,99,302
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 21","La Tuque",22,31,32,1,0,3,0,3,92,320
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 22","La Tuque",19,27,49,0,1,0,1,2,99,328
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 23","La Tuque",42,45,62,0,1,2,0,0,152,427
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 24","La Tuque",47,44,62,0,3,0,3,1,160,432
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 25","La Tuque",38,32,33,0,2,3,2,5,115,382
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 26","La Tuque",42,34,48,0,0,1,0,2,127,389
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 27","La Tuque",29,25,47,0,0,1,0,0,102,383
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 28","La Tuque",32,51,65,0,5,1,0,1,155,342
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 29","La Tuque",35,71,71,1,1,2,1,0,182,357
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 30","La Tuque",37,47,64,0,0,1,0,1,150,460
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 31","La Tuque",20,18,23,0,0,0,1,2,64,263
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 32","La Tuque",70,48,76,0,0,1,4,4,203,484
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 33","Hervey-Jonction",47,40,63,0,3,0,1,1,155,325
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 34","Notre-Dame-de-Montauban",26,59,74,2,3,8,2,1,175,297
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 35","Notre-Dame-de-Montauban",41,40,67,1,3,4,2,1,159,268
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 36","Grande Anse",15,16,28,0,4,1,0,0,64,130
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 37","Saint-Joseph-de-Mékinac",36,31,91,1,0,1,4,7,171,285
