Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Bascombe,Syl Carle,Sean Carscadden,Michael Chong,Liam Stiles,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 79","Halton Hills",1,1,69,91,0,0,162,443
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 80","Halton Hills",4,0,64,98,1,1,168,408
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 81","Halton Hills",7,3,64,131,2,2,209,475
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 82","Halton Hills",6,1,80,218,7,0,312,601
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 83","Halton Hills",7,1,57,116,4,0,185,412
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 84","Halton Hills",8,1,72,119,3,1,204,521
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 85","Halton Hills",9,1,74,107,2,0,193,464
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 86","Halton Hills",7,3,65,138,8,0,221,500
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 87","Halton Hills",3,1,54,92,0,0,150,370
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 88","Halton Hills",2,0,57,104,2,0,165,390
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 89","Halton Hills",9,3,72,109,4,0,197,474
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 90","Halton Hills",2,2,38,104,4,0,150,405
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 91","Centre Wellington",3,2,44,83,2,0,134,421
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 92","Centre Wellington",5,2,69,136,6,2,220,290
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 93","Centre Wellington",3,2,70,65,2,0,142,437
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 94","Centre Wellington",Combined with No./Résultats combinés à ceux du n°92,,,,,,,277
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 95","Centre Wellington",11,1,54,100,3,0,169,465
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 96","Centre Wellington",3,0,53,57,5,1,119,348
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 97","Centre Wellington",4,2,56,75,7,0,144,434
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 98","Centre Wellington",4,2,96,83,8,1,194,501
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 99A","Centre Wellington",4,2,67,109,3,2,187,329
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 99B","Centre Wellington",1,2,74,86,3,0,166,321
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 100A","Centre Wellington",Combined with No./Résultats combinés à ceux du n°99A,,,,,,,139
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 100B","Centre Wellington",Combined with No./Résultats combinés à ceux du n°99B,,,,,,,159
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 101","Guelph/Eramosa",5,0,52,104,11,0,172,432
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 102","Guelph/Eramosa",3,3,63,127,6,0,202,496
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 103","Guelph/Eramosa",6,1,61,129,2,2,201,464
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 104","Guelph/Eramosa",5,1,35,65,5,0,111,379
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 105","Guelph/Eramosa",0,3,40,57,4,0,104,346
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 106","Guelph/Eramosa",1,0,67,36,1,0,105,316
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 107","Guelph/Eramosa",0,0,71,116,3,0,190,289
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 108","Guelph/Eramosa",Combined with No./Résultats combinés à ceux du n°107,,,,,,,232
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 109","Guelph/Eramosa",3,3,42,87,6,0,141,328
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 110","Puslinch",2,1,34,58,1,0,96,434
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 111","Puslinch",3,0,22,33,1,0,59,505
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 112","Erin",4,1,70,166,7,1,249,536
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 113","Halton Hills",5,2,56,90,3,0,156,379
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 114","Halton Hills",4,2,49,85,3,1,144,403
