Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ava Duffy,Michael Holbrook,Shelby Kramp-Neuman,Tracey Sweeney Schenk,Zaid Yusufani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 1","Bangor",12,3,144,66,7,0,232,494
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 2","Carlow",11,5,169,64,4,1,254,416
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 3","Maynooth",10,2,82,43,1,0,138,422
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 4","Lake St. Peter",8,1,62,44,2,3,120,414
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 5","Monteagle",11,2,109,44,2,0,168,374
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 6","Monteagle",8,2,103,38,1,0,152,417
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 7","Musclow",3,1,57,29,0,0,90,357
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 8","Herschel",4,1,80,42,3,0,130,396
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 9","Denbigh--Slate Falls",8,5,213,87,0,0,313,508
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 10","Mayo",3,0,143,60,3,0,209,390
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 11","Birds Creek",3,3,108,79,1,0,194,402
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 12","Birds Creek",2,2,102,28,0,0,134,418
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 13","Baptiste",6,3,72,51,0,2,134,378
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 14","Bancroft",4,3,87,41,1,1,137,454
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 15","Bancroft",9,2,91,32,1,0,135,461
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 16","Bancroft",2,0,49,22,0,0,73,286
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 17","Bancroft",6,0,66,45,0,1,118,393
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 18","Bancroft",7,4,75,50,1,1,138,393
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 19","Bancroft",3,3,57,30,1,2,96,335
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 20","Bancroft",6,2,36,33,1,1,79,307
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 21","Faraday",5,3,90,32,3,0,133,363
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 22","Dungannon",9,4,136,59,2,1,211,471
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 23","Bancroft",10,2,132,72,1,2,219,405
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 24","Massanoga",3,0,81,59,2,1,146,404
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 25","Faraday",3,1,79,41,0,1,125,436
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 26","Faraday",6,0,85,35,1,1,128,334
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 27","Faraday",5,0,119,56,4,0,184,403
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 28","Tudor and Cashel",2,1,65,28,1,1,98,241
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 29","Tudor and Cashel",14,3,89,26,1,2,135,447
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 30","Limerick",3,2,116,83,2,1,207,373
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 31","Wollaston",22,6,139,75,9,1,252,453
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 32","Wollaston",12,6,112,85,2,0,217,460
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 33","Northbrook",0,3,52,11,1,0,67,246
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 34","Northbrook",7,5,59,19,0,0,90,302
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 35","Kaladar",5,0,37,10,1,1,54,211
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 36","Flinton",3,0,86,25,1,0,115,296
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 37","Flinton",2,0,53,26,0,0,81,217
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 38","Queensborough",7,6,125,41,3,0,182,283
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 39","Cooper",4,6,139,60,6,0,215,452
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 40","Eldorado",8,2,132,38,0,1,181,384
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 41","Eldorado",8,4,153,62,2,4,233,446
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 42","Madoc",4,2,108,66,0,1,181,453
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 43","Deloro",4,4,56,14,1,2,81,393
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 44","Bellheck",6,8,76,60,0,2,152,377
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 45","Tamworth",3,3,73,48,1,1,129,342
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 46","Tamworth",1,2,66,35,1,1,106,348
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 47","Actinolite",4,2,90,52,3,0,151,472
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 48","Hungerford",5,3,76,44,1,0,129,400
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 49","Cosy Cove",0,2,70,35,0,0,107,414
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 50","Erinsville",4,1,48,53,0,1,107,288
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 51","Erinsville",5,2,61,37,0,1,106,232
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 52","Sulphide",8,0,101,33,1,1,144,380
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 53","Tweed",5,5,125,32,2,1,170,414
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 54","Tweed",3,1,55,32,1,0,92,359
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 55","Tweed",9,4,102,47,2,0,164,449
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 56","Moscow",6,1,63,59,0,0,129,223
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 57","Moscow",6,5,83,90,1,0,185,315
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 58","Marmora and Lake",9,1,107,65,3,0,185,461
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 59","Marmora and Lake",2,3,112,41,1,1,160,374
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 60","Marmora and Lake",11,3,82,45,0,1,142,392
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 61","Chippewa",12,3,141,75,2,1,234,379
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 62","Enterprise",12,1,156,51,4,1,225,415
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 63","Milsap",7,3,94,73,0,0,177,454
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 64","Stone Mills",3,1,81,55,3,0,143,456
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 65","Madoc",9,1,54,20,1,0,85,336
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 66","Deloro",7,4,74,32,2,0,119,332
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 67","Centre Hastings",9,3,84,39,1,1,137,487
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 68","Centre Hastings",4,1,67,33,0,1,106,447
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 69","Centre Hastings",6,2,79,28,1,1,117,419
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 70","Madoc",3,0,48,33,0,0,84,360
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 71","Centre Hastings",3,0,54,20,0,0,77,345
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 72","Marlbank",14,7,154,80,5,1,261,464
