Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bernard Généreux,Iseult L'Heureux Hubert,Rémi Massé,Thibaud Mony,Jean-François Morin,Alexie Plourde,Diane Sénécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 1","Lac-des-Aigles",45,1,57,2,2,8,88,5,208,420
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 2","Biencourt",72,2,72,1,2,1,62,3,215,393
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 3","L'Isle-Verte",71,4,61,0,3,4,46,1,190,360
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 4","L'Isle-Verte",59,4,54,1,3,4,37,0,162,314
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 5","L'Isle-Verte",110,3,53,0,3,4,43,2,218,409
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 6","Saint-Michel-du-Squatec",2,2,14,0,0,0,18,0,36,51
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 7","Notre-Dame-des-Sept-Douleurs",31,1,41,0,1,1,29,1,105,283
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 8","Saint-Michel-du-Squatec",22,1,35,1,2,0,14,0,75,277
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 9","Saint-Michel-du-Squatec",34,3,40,0,1,2,36,5,121,315
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 10","Saint-Paul-de-la-Croix",80,0,46,0,3,2,26,2,159,272
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 11","Saint-Cyprien",42,4,42,0,4,7,22,4,125,211
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 12","Saint-Cyprien",87,2,51,2,2,5,38,1,188,293
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 13","Saint-Cyprien",61,2,38,2,0,3,43,2,151,264
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 14","Saint-Cyprien",55,1,34,0,2,3,43,0,138,247
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 15","Saint-Épiphane",61,6,52,4,2,3,55,4,187,366
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 16","Saint-Clément",65,4,35,0,2,5,17,0,128,359
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 17","Auclair",54,1,32,0,2,0,20,1,110,293
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 18","Cacouna",47,1,66,1,0,0,28,0,143,320
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 19","Saint-Épiphane",64,4,43,2,0,4,19,1,137,294
