Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Julie Bergeron,Madeleine Chenette,Marie-Noëlle Closson-Duquette,Michel Lacroix,Chantal Lavoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 1","Terrebonne",63,134,88,5,3,1,294,592
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 2","Terrebonne",43,144,72,2,0,7,268,578
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 3","Terrebonne",46,96,50,7,0,3,202,468
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 4","Terrebonne",64,144,84,8,1,9,310,606
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 5","Terrebonne",45,75,47,6,0,3,176,381
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 6","Terrebonne",56,130,54,4,1,3,248,496
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 7","Terrebonne",55,135,83,6,0,4,283,556
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 8","Terrebonne",56,98,72,3,4,5,238,546
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 9","Blainville",61,132,45,2,2,0,242,448
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 10","Blainville",56,110,71,2,0,1,240,456
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 11","Blainville",34,34,26,2,0,4,100,226
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 12","Blainville",47,119,79,2,2,2,251,445
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 13","Blainville",54,83,50,4,1,3,195,352
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 14","Blainville",55,135,94,6,1,1,292,484
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 15","Blainville",45,82,43,1,1,1,173,384
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 16","Blainville",41,92,54,4,0,2,193,355
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 17","Blainville",65,91,92,7,6,4,265,519
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 18","Lorraine",78,110,100,6,1,2,297,587
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 19","Lorraine",46,102,78,6,4,1,237,479
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 20","Lorraine",28,85,93,3,2,2,213,407
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 21","Lorraine",41,89,63,4,0,1,198,422
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 22","Bois-des-Filion",30,59,65,2,3,0,159,333
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 23","Bois-des-Filion",58,80,76,7,5,2,228,498
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 24","Bois-des-Filion",43,69,72,6,3,3,196,351
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 25","Bois-des-Filion",67,88,71,18,6,5,255,458
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 26","Bois-des-Filion",45,82,73,7,2,2,211,421
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 27","Bois-des-Filion",56,54,66,4,1,4,185,425
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 28","Blainville",64,109,47,1,1,3,225,604
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 29","Blainville",41,89,52,3,0,4,189,397
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 30","Blainville",49,62,64,7,3,0,185,367
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 31","Blainville",57,90,52,3,1,3,206,499
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 32","Blainville",60,132,76,6,2,4,280,494
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 33","Blainville",75,113,81,6,1,5,281,556
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 34","Blainville",52,83,55,10,3,1,204,424
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 35","Blainville",63,86,62,3,0,5,219,465
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 36","Blainville",34,73,120,1,1,5,234,535
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 37","Blainville",43,82,119,6,3,2,255,539
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 38","Blainville",54,87,82,14,1,4,242,500
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 39","Bois-des-Filion",53,79,72,3,0,3,210,504
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 40","Bois-des-Filion",48,96,63,5,2,6,220,555
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 41","Bois-des-Filion",44,66,65,10,2,5,192,499
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 42","Bois-des-Filion",76,73,52,11,0,2,214,472
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 43","Bois-des-Filion",61,75,54,1,0,1,192,447
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 44","Bois-des-Filion",40,75,54,11,0,2,182,475
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 45","Bois-des-Filion",50,86,90,7,2,7,242,508
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 46A","Bois-des-Filion",44,74,65,10,2,5,200,489
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 46B","Bois-des-Filion",2,12,15,3,2,2,36,72
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 47","Bois-des-Filion",34,61,61,3,2,1,162,433
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 48","Bois-des-Filion",52,58,74,4,5,4,197,501
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 49","Bois-des-Filion",38,81,72,9,2,3,205,449
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 50","Lorraine",20,83,63,1,0,2,169,334
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 51","Lorraine",49,73,18,1,1,1,143,416
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 52","Lorraine",37,72,43,3,1,3,159,375
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 53","Lorraine",36,129,70,2,3,1,241,518
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 54","Lorraine",55,110,57,6,3,2,233,524
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 55","Lorraine",32,89,35,2,0,3,161,469
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 56","Lorraine",56,108,39,3,0,4,210,524
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 57","Lorraine",28,89,52,4,2,1,176,481
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 58","Lorraine",56,136,69,6,3,2,272,504
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 59","Lorraine",44,109,44,6,3,2,208,353
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 60","Lorraine",62,108,99,6,1,3,279,473
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 61","Lorraine",31,88,46,2,0,1,168,316
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 62","Lorraine",22,64,41,2,1,3,133,330
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 63","Blainville",51,68,53,3,2,4,181,365
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 64","Blainville",84,114,45,1,2,0,246,500
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 65","Blainville",50,99,46,3,1,3,202,344
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 66","Blainville",80,146,53,2,3,2,286,576
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 67","Blainville",73,147,57,1,1,1,280,501
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 68","Blainville",48,121,40,0,0,0,209,401
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 69","Blainville",72,162,50,0,2,3,289,516
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 70","Blainville",56,134,39,3,0,2,234,450
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 71","Blainville",35,78,30,2,0,2,147,361
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 72","Blainville",50,151,32,0,3,0,236,489
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 73","Blainville",59,117,90,8,3,32,309,573
