Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jocelyn Johnson,Glen Motz,Tom Rooke,Andy Shadrack,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 1","Ralston",7,150,29,4,0,190,351
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 2","Schuler",1,143,6,0,2,152,416
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 3","Cypress County",4,156,12,1,2,175,449
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 4","Redcliff",7,139,14,2,2,164,493
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 5","Redcliff",6,159,27,0,0,192,544
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 6","Redcliff",13,137,47,4,1,202,638
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 7","Medicine Hat",13,142,38,2,2,197,415
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 8","Medicine Hat",16,113,36,3,1,169,439
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 9","Medicine Hat",8,139,43,3,0,193,545
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 10","Medicine Hat",8,107,33,2,1,151,479
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 11","Medicine Hat",10,106,35,1,0,152,416
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 12","Medicine Hat",11,183,45,4,1,244,566
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 13","Medicine Hat",7,117,37,1,0,162,421
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 14","Medicine Hat",9,122,24,1,0,156,477
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 15","Medicine Hat",4,122,26,0,0,152,424
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 16","Medicine Hat",7,65,15,0,1,88,217
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 17","Medicine Hat",11,148,21,1,0,181,482
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 18","Medicine Hat",13,116,25,1,2,157,435
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 19","Medicine Hat",15,97,27,4,1,144,406
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 20","Medicine Hat",8,153,47,0,0,208,519
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 21","Medicine Hat",10,150,50,4,1,215,561
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 22","Medicine Hat",16,110,30,4,0,160,425
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 23","Medicine Hat",10,107,32,0,0,149,425
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 24","Medicine Hat",11,100,19,2,1,133,375
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 25","Medicine Hat",6,130,28,1,0,165,380
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 26","Medicine Hat",4,69,35,1,0,109,303
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 27","Redcliff",15,134,44,4,0,197,444
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 28","Redcliff",12,125,33,1,1,172,469
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 29","Redcliff",12,148,39,2,1,202,574
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 30","Redcliff",16,166,36,6,1,225,563
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 31","Redcliff",4,103,16,1,0,124,226
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 32A","Medicine Hat",6,90,32,1,0,129,393
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 32B","Medicine Hat",9,84,42,3,0,138,379
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 33","Medicine Hat",8,81,16,1,0,106,382
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 34","Medicine Hat",12,101,43,0,1,157,366
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 35","Medicine Hat",13,131,42,1,1,188,449
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 36","Medicine Hat",22,121,43,3,1,190,441
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 37","Medicine Hat",11,133,53,1,1,199,456
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 38","Medicine Hat",12,188,57,2,1,260,580
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 39","Medicine Hat",16,115,61,2,0,194,424
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 40","Medicine Hat",7,124,52,1,0,184,399
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 41","Medicine Hat",11,103,52,2,0,168,446
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 42","Medicine Hat",8,79,46,1,1,135,389
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 43","Medicine Hat",15,87,43,0,0,145,379
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 44","Medicine Hat",22,88,48,6,3,167,403
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 45","Medicine Hat",6,98,16,1,0,121,446
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 46","Seven Persons",6,120,9,3,0,138,346
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 47","Medicine Hat",8,70,25,2,2,107,453
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 48","Seven Persons",3,103,17,0,0,123,282
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 49","Medicine Hat",4,142,26,0,1,173,441
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 50","Medicine Hat",9,113,33,2,1,158,409
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 51","Medicine Hat",5,146,38,1,0,190,474
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 52","Medicine Hat",16,123,45,1,1,186,485
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 53","Medicine Hat",4,83,41,4,0,132,388
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 54","Medicine Hat",13,133,43,3,4,196,465
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 55","Medicine Hat",14,120,35,3,0,172,430
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 56","Medicine Hat",10,75,43,4,0,132,352
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 57","Medicine Hat",19,99,26,2,0,146,373
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 58","Medicine Hat",10,115,40,3,3,171,396
