Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Aitchison,Heather Hay,Isabel Pereira,Geordie Sabbagh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 1","Restoule",204,12,9,100,2,327,528
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 2","Loring",58,1,3,22,1,85,233
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 3","Arnstein",120,3,5,42,5,175,505
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 4","Port Loring",80,7,2,42,0,131,387
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 5","Britt",82,9,8,41,1,141,471
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 6","Pointe au Baril",113,6,0,88,0,207,349
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 7","Carling",114,6,4,67,0,191,431
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 8","Carling",111,8,3,90,0,212,421
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 9","Carling",79,9,6,85,0,179,394
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 10","Dunchurch",114,8,6,73,2,203,353
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 11","Dunchurch",112,11,4,76,2,205,356
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 12","Dunchurch",120,10,2,79,4,215,383
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 13","McKellar",107,1,0,41,1,150,332
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14","McKellar",99,8,2,96,0,205,353
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 15","McKellar",86,5,3,93,0,187,351
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 16","Waubamik",121,15,5,56,2,199,375
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 17","Waubamik",94,9,9,58,0,170,369
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 18","Hurdville",114,3,2,87,2,208,412
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 19","McDougall",135,5,6,57,0,203,419
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 20","McDougall",57,0,2,67,1,127,417
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 21","McDougall",120,10,5,36,2,173,457
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 22","McDougall",108,7,4,80,0,199,463
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 23","Parry Sound",61,7,1,59,0,128,424
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 24","Parry Sound",54,8,2,45,2,111,381
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 25","Parry Sound",57,5,5,79,2,148,414
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 26","Parry Sound",75,9,0,47,0,131,446
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 27","Parry Sound",54,7,8,59,1,129,413
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 28","Parry Sound",76,6,3,53,1,139,456
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 29","Parry Sound",51,4,3,57,1,116,395
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 30","Parry Sound",54,5,3,54,1,117,404
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 31","Parry Sound",64,3,2,81,1,151,447
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 32","Parry Island First Nation",43,5,6,53,1,108,390
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 33","Parry Sound",71,15,6,41,0,133,462
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 34","Parry Sound",64,5,3,33,2,107,370
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 35","Parry Sound",47,7,1,37,3,95,351
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 36","Sans Souci",87,7,5,47,0,146,393
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 37","Seguin",73,13,2,62,0,150,365
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 38","Seguin",66,6,4,60,1,137,263
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 39","Seguin",122,6,3,76,1,208,312
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 40","Seguin",135,6,2,83,1,227,446
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 41","Orrville",129,8,7,91,0,235,371
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 42","Orrville",102,5,2,85,0,194,336
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 43","Seguin",103,5,3,74,0,185,328
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 44","Seguin",92,3,3,71,0,169,341
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 45","Seguin",94,5,4,72,0,175,353
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 46","Rosseau",174,8,9,77,0,268,451
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 47","Rosseau",140,3,7,104,2,256,440
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 48","MacTier",138,4,5,78,1,226,379
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 49","MacTier",139,7,6,59,1,212,431
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 50","MacTier",106,5,5,66,0,182,397
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 51","Minett",80,3,3,96,0,182,424
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 52","Brackenrig",85,2,0,56,0,143,425
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 53","Port Carling",110,3,3,63,0,179,449
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 54","Port Carling",98,3,2,68,1,172,467
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 55","Dudley",139,5,1,78,0,223,388
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 56","Bala",110,8,6,93,0,217,423
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 57","Bala",133,10,0,90,2,235,451
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 58","Georgian Bay--Crooked Bay",89,2,2,51,1,145,504
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 59","Georgian Bay--Bayview Park",80,11,0,67,1,159,506
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 60","Honey Harbour",119,9,2,48,0,178,497
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 61","Georgian Bay--Port Severn",136,3,0,59,0,198,579
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 62","Machar",87,5,5,56,1,154,402
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 63","Machar",89,9,5,52,1,156,473
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 64","South River",85,7,3,44,1,140,378
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 65","South River",85,12,7,45,0,149,423
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 66","South River",75,9,1,36,0,121,357
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 67","South River",92,13,6,38,1,150,325
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 68","Sundridge",77,4,6,34,0,121,402
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 69","Sundridge",84,4,5,30,0,123,409
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 70","Sundridge",62,8,1,39,2,112,413
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 71","Sundridge",47,4,3,38,1,93,416
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 72","Lake Bernard",120,15,3,64,0,202,506
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 73","Sundridge",77,6,3,30,4,120,336
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 74","Magnetawan",169,13,12,82,3,279,574
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 75","Magnetawan",131,14,3,87,1,236,401
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 76","Magnetawan",153,7,7,64,0,231,389
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 77","Ryerson",109,10,4,61,1,185,487
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 78","Burk's Falls",103,6,1,55,1,166,468
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 79","Burk's Falls",90,8,5,38,1,142,460
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 80","Burk's Falls",102,2,7,31,1,143,467
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 81","Burk's Falls",105,6,4,41,1,157,460
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 82","Kearney",133,10,4,47,0,194,380
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 83","Kearney",143,7,5,80,1,236,413
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 84","Kearney",102,8,12,68,2,192,357
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 85","Katrine",75,8,3,51,0,137,325
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 86","Emsdale",150,8,4,53,1,216,395
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 87","Emsdale",133,3,8,52,1,197,379
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 88","Emsdale",112,7,2,48,0,169,356
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 89","Emsdale",126,10,4,36,1,177,353
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 90","Sprucedale",184,9,10,57,0,260,493
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 91","Sprucedale",139,7,8,66,1,221,398
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 92","Novar",190,8,2,66,0,266,429
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 93","Clear Lake",117,7,0,63,0,187,365
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 94","Perry",138,15,4,57,1,215,382
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 95","Huntsville",91,6,3,47,0,147,402
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 96","Huntsville",105,5,1,54,0,165,465
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 97","Huntsville",95,2,5,53,0,155,438
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 98","Huntsville",76,3,2,66,0,147,368
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 99","Huntsville",81,5,2,53,2,143,463
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 100","Huntsville",66,5,1,54,2,128,449
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 101","Huntsville",118,8,3,74,0,203,471
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 102","Huntsville",58,6,2,51,1,118,460
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 103","Huntsville",60,1,5,54,1,121,425
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 104","Huntsville",85,5,4,47,0,141,506
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 105","Huntsville",84,6,1,61,2,154,521
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 106","Huntsville",65,4,1,58,0,128,408
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 107","Huntsville",85,0,3,58,0,146,467
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 108A","Huntsville",47,7,1,65,0,120,478
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 108B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,86
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 109","Huntsville",56,9,0,53,3,121,454
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 110","Huntsville",49,10,2,42,0,103,396
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 111","Huntsville",49,1,2,38,1,91,381
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 112","Huntsville",68,3,7,41,2,121,399
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 113","Huntsville",68,4,1,65,0,138,491
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 114","Huntsville",100,7,3,67,3,180,505
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 115","Huntsville",51,1,2,59,0,113,382
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 116","Huntsville",59,3,2,65,0,129,424
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 117","Huntsville",89,9,1,56,0,155,471
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 118","Huntsville",76,9,3,44,1,133,417
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 119","Huntsville",89,12,3,76,0,180,496
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 120","Huntsville",71,7,8,66,3,155,424
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 121","Huntsville",66,11,1,44,1,123,463
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 122","Huntsville",96,0,4,39,1,140,417
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 123","Huntsville",102,1,4,32,0,139,442
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 124","Huntsville",86,4,0,40,0,130,444
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 125","Huntsville",80,3,2,56,1,142,457
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 126","Huntsville",72,4,2,67,1,146,404
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 127","Huntsville",124,7,4,67,0,202,468
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 128","Huntsville",144,6,6,48,0,204,469
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 129","Huntsville",139,2,4,44,1,190,469
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 130","Huntsville",153,9,5,95,1,263,459
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 131","Huntsville",153,4,4,73,2,236,426
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 132","Huntsville",137,9,4,101,3,254,466
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 133","Huntsville",180,12,8,72,2,274,523
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 134","Huntsville",155,9,2,102,3,271,493
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 135","Huntsville",106,8,1,107,0,222,394
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 136","Brooks Mill",42,3,1,45,1,92,359
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 137","Dwight",118,5,1,60,1,185,374
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 138","Dwight",53,2,1,48,0,104,304
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 139","Dwight",83,0,3,77,1,164,327
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 140","Dwight",102,11,1,60,1,175,331
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 141","Dorset",103,7,2,82,6,200,423
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 142","Lake of Bays",100,6,0,85,1,192,328
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 143","Lake of Bays",92,6,5,65,0,168,377
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 144","Lake of Bays",128,10,5,94,1,238,336
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 145","Bent River",72,8,0,71,0,151,273
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 146","Raymond",122,7,8,76,1,214,405
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 147","Ufford",107,9,1,64,2,183,356
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 148","Ufford",71,3,1,52,0,127,307
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 149","Milford Bay",104,7,4,72,1,188,316
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 150","Milford Bay",108,3,2,51,0,164,302
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 151","Bracebridge",87,3,4,41,1,136,340
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 152","Bracebridge",88,8,1,60,1,158,406
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153","Bracebridge",124,4,7,65,1,201,512
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 154","Bracebridge",81,5,4,78,0,168,469
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 155","Bracebridge",66,3,0,44,0,113,307
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 156","Bracebridge",101,5,2,60,0,168,375
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 157","Bracebridge",123,2,3,60,1,189,427
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 158","Bracebridge",70,3,6,64,2,145,431
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 159","Bracebridge",62,2,0,54,1,119,410
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 160","Bracebridge",81,4,4,59,0,148,428
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 161","Bracebridge",75,4,2,63,2,146,425
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 162","Bracebridge",80,8,4,66,0,158,475
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 163","Bracebridge",124,6,3,64,0,197,534
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 164","Bracebridge",83,4,1,67,1,156,378
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 165A","Bracebridge",104,4,4,91,0,203,647
