Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elias Assefa,Burton Bailey,Ayaz Bangash,Kyla Courte,Ashley MacDonald,Brandon Pringle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Red Deer/Red Deer"," 1","Red Deer County",6,154,33,3,1,1,0,198,606
48034,"Red Deer/Red Deer"," 2","Red Deer",9,217,55,5,2,1,3,292,644
48034,"Red Deer/Red Deer"," 3","Red Deer",6,239,51,2,1,1,0,300,644
48034,"Red Deer/Red Deer"," 4","Red Deer",8,209,60,1,1,0,0,279,658
48034,"Red Deer/Red Deer"," 5A","Red Deer",5,130,31,1,3,1,1,172,413
48034,"Red Deer/Red Deer"," 5B","Red Deer",2,120,30,0,0,0,3,155,385
48034,"Red Deer/Red Deer"," 6","Red Deer",11,231,65,2,3,0,5,317,740
48034,"Red Deer/Red Deer"," 7","Red Deer",11,177,58,0,2,3,5,256,643
48034,"Red Deer/Red Deer"," 8","Red Deer",14,188,57,5,3,1,1,269,670
48034,"Red Deer/Red Deer"," 9","Red Deer",8,195,43,2,2,0,1,251,710
48034,"Red Deer/Red Deer"," 10","Red Deer",9,133,54,3,0,2,3,204,565
48034,"Red Deer/Red Deer"," 11","Red Deer",6,229,46,2,1,1,0,285,711
48034,"Red Deer/Red Deer"," 12","Red Deer",11,129,23,2,3,0,0,168,516
48034,"Red Deer/Red Deer"," 13","Red Deer",10,168,48,4,1,3,4,238,624
48034,"Red Deer/Red Deer"," 14","Red Deer",10,123,30,4,2,1,1,171,521
48034,"Red Deer/Red Deer"," 15","Red Deer",7,131,20,3,5,3,2,171,536
48034,"Red Deer/Red Deer"," 16","Red Deer",8,155,38,0,6,1,0,208,550
48034,"Red Deer/Red Deer"," 17","Red Deer",16,130,59,4,0,0,0,209,598
48034,"Red Deer/Red Deer"," 18A","Red Deer",3,75,16,4,3,1,0,102,400
48034,"Red Deer/Red Deer"," 18B","Red Deer",7,68,21,2,3,0,0,101,349
48034,"Red Deer/Red Deer"," 19","Red Deer",15,197,47,2,1,4,1,267,729
48034,"Red Deer/Red Deer"," 20","Red Deer",9,181,42,5,6,2,2,247,670
48034,"Red Deer/Red Deer"," 21","Red Deer",23,141,46,4,3,1,0,218,597
48034,"Red Deer/Red Deer"," 22","Red Deer",16,147,43,6,1,3,0,216,626
48034,"Red Deer/Red Deer"," 23","Red Deer",24,145,52,3,1,4,4,233,686
48034,"Red Deer/Red Deer"," 24","Red Deer",10,182,51,4,5,1,0,253,564
48034,"Red Deer/Red Deer"," 25","Red Deer",11,113,46,10,1,0,3,184,568
48034,"Red Deer/Red Deer"," 26","Red Deer",19,125,39,4,3,0,1,191,539
48034,"Red Deer/Red Deer"," 27","Red Deer",14,149,52,4,3,0,1,223,535
48034,"Red Deer/Red Deer"," 28","Red Deer",12,174,49,2,1,0,2,240,652
48034,"Red Deer/Red Deer"," 29","Red Deer",6,177,47,4,6,0,1,241,554
48034,"Red Deer/Red Deer"," 30","Red Deer",13,207,54,12,6,1,0,293,581
48034,"Red Deer/Red Deer"," 31A","Red Deer",2,124,46,1,1,0,0,174,459
48034,"Red Deer/Red Deer"," 31B","Red Deer",5,137,38,5,2,1,1,189,412
48034,"Red Deer/Red Deer"," 32","Red Deer County",5,248,56,6,1,1,0,317,675
48034,"Red Deer/Red Deer"," 33A","Red Deer",4,172,45,5,4,0,0,230,494
48034,"Red Deer/Red Deer"," 33B","Red Deer",3,131,36,2,2,0,0,174,432
48034,"Red Deer/Red Deer"," 34","Red Deer",14,240,68,1,1,0,0,324,682
48034,"Red Deer/Red Deer"," 35A","Red Deer",11,135,45,2,2,0,1,196,366
48034,"Red Deer/Red Deer"," 35B","Red Deer",5,142,51,0,0,0,1,199,408
48034,"Red Deer/Red Deer"," 36","Red Deer",16,235,84,1,2,0,3,341,675
48034,"Red Deer/Red Deer"," 37","Red Deer",14,227,85,2,1,2,0,331,651
48034,"Red Deer/Red Deer"," 38","Red Deer",13,213,84,7,1,1,1,320,722
48034,"Red Deer/Red Deer"," 39","Red Deer",10,240,69,2,2,0,1,324,649
48034,"Red Deer/Red Deer"," 40","Red Deer",13,186,41,1,3,1,1,246,497
48034,"Red Deer/Red Deer"," 41","Red Deer",20,138,46,2,10,1,0,217,655
48034,"Red Deer/Red Deer"," 42","Red Deer",14,150,62,8,8,5,0,247,630
48034,"Red Deer/Red Deer"," 43","Red Deer",6,133,67,2,4,5,0,217,646
48034,"Red Deer/Red Deer"," 44","Red Deer",15,200,64,4,5,4,1,293,703
48034,"Red Deer/Red Deer"," 45","Red Deer",21,182,100,9,8,0,0,320,710
48034,"Red Deer/Red Deer"," 46","Red Deer",13,95,44,1,4,2,4,163,607
48034,"Red Deer/Red Deer"," 47","Red Deer",10,74,39,2,1,2,0,128,498
48034,"Red Deer/Red Deer"," 48","Red Deer",10,209,70,3,5,1,0,298,609
48034,"Red Deer/Red Deer"," 49","Red Deer",18,144,51,4,4,0,0,221,659
48034,"Red Deer/Red Deer"," 50","Red Deer",10,213,101,0,4,0,0,328,682
48034,"Red Deer/Red Deer"," 51A","Red Deer",3,111,37,2,0,0,1,154,380
48034,"Red Deer/Red Deer"," 51B","Red Deer",3,116,39,2,1,0,0,161,386
48034,"Red Deer/Red Deer"," 52","Red Deer",18,191,73,7,6,2,1,298,706
48034,"Red Deer/Red Deer"," 53","Red Deer",12,179,58,6,3,0,4,262,658
48034,"Red Deer/Red Deer"," 54","Red Deer",11,142,59,1,3,2,1,219,494
48034,"Red Deer/Red Deer"," 55","Red Deer",13,94,47,1,5,0,0,160,624
48034,"Red Deer/Red Deer"," 56","Red Deer",24,198,68,2,5,1,3,301,695
48034,"Red Deer/Red Deer"," 57","Red Deer",16,180,59,2,4,1,4,266,645
48034,"Red Deer/Red Deer"," 58","Red Deer",11,149,61,3,3,2,1,230,692
48034,"Red Deer/Red Deer"," 59","Red Deer",22,180,75,7,3,2,1,290,722
48034,"Red Deer/Red Deer"," 60","Red Deer",16,168,75,3,2,1,0,265,647
48034,"Red Deer/Red Deer"," 61","Red Deer",8,108,42,2,3,2,0,165,509
48034,"Red Deer/Red Deer"," 62","Red Deer",15,110,64,3,4,3,2,201,465
48034,"Red Deer/Red Deer"," 63","Red Deer",7,65,25,2,3,0,0,102,593
48034,"Red Deer/Red Deer"," 64","Red Deer",14,181,80,3,2,1,1,282,698
48034,"Red Deer/Red Deer"," 65","Red Deer",10,145,44,8,2,1,1,211,507
48034,"Red Deer/Red Deer"," 66","Red Deer",13,169,70,3,7,1,1,264,564
48034,"Red Deer/Red Deer"," 67","Red Deer",22,115,43,2,2,0,0,184,592
48034,"Red Deer/Red Deer"," 68A","Red Deer",8,98,34,6,0,2,0,148,382
48034,"Red Deer/Red Deer"," 68B","Red Deer",7,92,43,6,1,2,0,151,343
48034,"Red Deer/Red Deer"," 69","Red Deer",13,80,39,3,0,0,0,135,443
48034,"Red Deer/Red Deer"," 70","Red Deer",11,155,54,2,1,0,2,225,480
48034,"Red Deer/Red Deer"," 71","Red Deer",10,227,76,2,1,1,1,318,700
48034,"Red Deer/Red Deer"," 72","Red Deer",8,141,46,4,3,0,1,203,515
48034,"Red Deer/Red Deer"," 73","Red Deer",15,210,66,5,3,1,1,301,678
48034,"Red Deer/Red Deer"," 74","Red Deer",10,206,76,5,2,0,3,302,700
48034,"Red Deer/Red Deer"," 75","Red Deer",12,230,66,6,8,0,0,322,696
48034,"Red Deer/Red Deer"," 76","Red Deer",8,221,93,3,3,1,1,330,701
48034,"Red Deer/Red Deer"," 77","Red Deer",12,215,86,3,2,0,1,319,711
48034,"Red Deer/Red Deer"," 78","Red Deer",19,248,71,4,4,2,0,348,713
48034,"Red Deer/Red Deer"," 79","Red Deer",11,168,65,8,4,0,0,256,548
48034,"Red Deer/Red Deer"," 80","Red Deer",10,145,61,0,3,1,0,220,445
48034,"Red Deer/Red Deer"," 81","Red Deer",13,179,59,5,5,1,0,262,570
48034,"Red Deer/Red Deer"," 82","Red Deer",17,177,63,3,1,1,2,264,562
48034,"Red Deer/Red Deer"," 83","Red Deer",16,210,62,4,2,1,0,295,638
48034,"Red Deer/Red Deer"," 84","Red Deer",13,179,63,5,2,0,2,264,497
48034,"Red Deer/Red Deer"," 85","Red Deer",15,192,71,0,2,0,4,284,672
48034,"Red Deer/Red Deer"," 86","Red Deer",4,190,58,1,2,1,1,257,596
48034,"Red Deer/Red Deer"," 87","Red Deer",5,189,64,5,3,0,4,270,626
48034,"Red Deer/Red Deer"," 88","Red Deer",17,201,58,1,6,1,1,285,536
48034,"Red Deer/Red Deer"," 89","Red Deer",11,236,104,6,5,2,1,365,716
48034,"Red Deer/Red Deer"," 90","Red Deer",5,128,31,1,1,0,0,166,438
48034,"Red Deer/Red Deer"," 91","Red Deer",14,172,94,4,4,0,0,288,509
48034,"Red Deer/Red Deer"," 92","Red Deer",10,169,81,5,8,0,0,273,603
48034,"Red Deer/Red Deer"," 93","Red Deer",3,151,43,1,1,0,0,199,538
48034,"Red Deer/Red Deer"," 94","Red Deer",9,67,35,5,3,1,2,122,440
48034,"Red Deer/Red Deer"," 95A","Red Deer",5,87,38,3,4,0,0,137,473
48034,"Red Deer/Red Deer"," 95B","Mobile poll/Bureau itinérant",10,94,36,6,2,0,0,148,93
48034,"Red Deer/Red Deer"," 96","Red Deer",6,130,50,3,2,2,1,194,519
48034,"Red Deer/Red Deer"," 97","Red Deer",12,196,57,6,1,4,1,277,592
48034,"Red Deer/Red Deer"," 98","Red Deer",8,209,47,2,4,1,2,273,614
48034,"Red Deer/Red Deer"," 99","Red Deer",8,198,56,5,1,0,2,270,625
48034,"Red Deer/Red Deer"," 100","Red Deer",10,200,75,2,0,6,0,293,642
48034,"Red Deer/Red Deer"," 101","Red Deer",15,222,83,4,3,0,0,327,719
48034,"Red Deer/Red Deer"," 102","Red Deer",16,223,81,2,5,0,3,330,682
48034,"Red Deer/Red Deer"," 103A","Red Deer",9,175,52,1,0,1,2,240,466
48034,"Red Deer/Red Deer"," 103B","Red Deer",9,97,38,2,2,0,2,150,306
48034,"Red Deer/Red Deer"," 104","Red Deer",10,146,48,1,0,0,1,206,538
48034,"Red Deer/Red Deer"," 105","Red Deer",5,177,57,6,8,1,1,255,613
48034,"Red Deer/Red Deer"," 106","Red Deer",10,152,49,3,2,1,3,220,612
48034,"Red Deer/Red Deer"," 107","Red Deer",4,137,37,2,0,0,1,181,492
48034,"Red Deer/Red Deer"," 108","Red Deer",7,138,54,3,0,0,0,202,570
48034,"Red Deer/Red Deer"," 109","Red Deer",12,182,52,2,3,0,2,253,629
48034,"Red Deer/Red Deer"," 110","Red Deer",14,167,48,5,1,1,1,237,562
48034,"Red Deer/Red Deer"," 111A","Red Deer",6,120,31,1,1,1,0,160,373
48034,"Red Deer/Red Deer"," 111B","Red Deer",3,103,27,2,1,0,2,138,382
48034,"Red Deer/Red Deer"," 112","Red Deer",13,202,63,6,5,0,4,293,677
48034,"Red Deer/Red Deer"," 113","Red Deer",15,241,55,4,4,1,3,323,704
48034,"Red Deer/Red Deer"," 114A","Red Deer",4,151,33,0,2,0,1,191,442
48034,"Red Deer/Red Deer"," 114B","Red Deer",6,106,29,1,0,1,0,143,321
48034,"Red Deer/Red Deer"," 115","Red Deer",7,189,73,5,1,2,0,277,659
48034,"Red Deer/Red Deer"," 116","Red Deer",5,184,59,4,0,1,0,253,654
48034,"Red Deer/Red Deer"," 117","Red Deer",13,181,43,1,2,0,0,240,658
48034,"Red Deer/Red Deer"," 118","Red Deer County",3,162,29,2,1,0,1,198,454
48034,"Red Deer/Red Deer"," 119","Red Deer",7,135,26,0,2,0,0,170,548
48034,"Red Deer/Red Deer"," 120","Tuttle",6,155,37,3,2,1,0,204,583
48034,"Red Deer/Red Deer"," 121","Red Deer County",10,152,44,3,1,0,1,211,536
48034,"Red Deer/Red Deer"," 122","Red Deer County",15,176,46,3,3,0,1,244,546
48034,"Red Deer/Red Deer"," 123","Red Deer",8,139,25,4,2,0,1,179,595
48034,"Red Deer/Red Deer"," 124","Red Deer County",6,251,45,9,0,3,0,314,661
48034,"Red Deer/Red Deer"," 125","Penhold",3,246,29,6,1,2,1,288,710
48034,"Red Deer/Red Deer"," 126","Penhold",11,191,31,6,3,0,0,242,637
48034,"Red Deer/Red Deer"," 127","Penhold",16,216,50,2,4,0,1,289,709
48034,"Red Deer/Red Deer"," 128","Penhold",7,142,28,3,1,0,0,181,561
48034,"Red Deer/Red Deer"," 129","Penhold",4,187,31,4,0,2,0,228,523
48034,"Red Deer/Red Deer"," 130","Penhold",5,259,18,5,3,4,0,294,560
48034,"Red Deer/Red Deer"," 131","Delburne",4,199,18,2,2,1,1,227,523
48034,"Red Deer/Red Deer"," 132","Delburne",9,132,24,6,5,0,1,177,447
48034,"Red Deer/Red Deer"," 133","Delburne",6,195,14,7,5,0,0,227,498
48034,"Red Deer/Red Deer"," 134","Red Deer",9,244,62,0,3,0,0,318,726
48034,"Red Deer/Red Deer"," 135","Red Deer",6,231,45,3,1,0,1,287,616
48034,"Red Deer/Red Deer"," 136","Red Deer",7,222,44,5,1,0,1,280,582
48034,"Red Deer/Red Deer"," 137","Pine Lake",1,172,8,6,3,2,0,192,511
48034,"Red Deer/Red Deer"," 138","Pine Lake",10,313,28,2,0,4,1,358,562
48034,"Red Deer/Red Deer"," 139","Pine Lake",5,220,43,3,3,0,0,274,392
48034,"Red Deer/Red Deer"," 140","Lousana",9,330,20,7,2,1,3,372,637
48034,"Red Deer/Red Deer"," 400","Red Deer",0,21,7,0,0,0,0,28,35
48034,"Red Deer/Red Deer"," 401","Red Deer",2,46,20,1,1,0,1,71,91
48034,"Red Deer/Red Deer"," 500","Mobile poll/Bureau itinérant",5,90,19,2,2,0,0,118,26
48034,"Red Deer/Red Deer"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,99
48034,"Red Deer/Red Deer"," 502","Mobile poll/Bureau itinérant",15,87,30,2,3,1,3,141,23
48034,"Red Deer/Red Deer"," 503","Mobile poll/Bureau itinérant",5,86,27,3,5,1,3,130,66
48034,"Red Deer/Red Deer"," 504","Mobile poll/Bureau itinérant",5,91,23,0,2,0,2,123,70
48034,"Red Deer/Red Deer"," 505","Mobile poll/Bureau itinérant",8,66,25,2,2,0,1,104,96
48034,"Red Deer/Red Deer"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,17
48034,"Red Deer/Red Deer"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,90
48034,"Red Deer/Red Deer"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,177
48034,"Red Deer/Red Deer"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,65
48034,"Red Deer/Red Deer"," 510","Mobile poll/Bureau itinérant",2,102,36,1,4,2,0,147,135
48034,"Red Deer/Red Deer"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,73
48034,"Red Deer/Red Deer"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,100
48034,"Red Deer/Red Deer"," 513","Mobile poll/Bureau itinérant",7,116,53,2,3,1,1,183,108
48034,"Red Deer/Red Deer"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,152
48034,"Red Deer/Red Deer"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°95B,,,,,,,,100
48034,"Red Deer/Red Deer"," 600","Red Deer County",19,629,140,14,5,0,3,810,
48034,"Red Deer/Red Deer"," 601","Red Deer",24,571,142,5,4,3,3,752,
48034,"Red Deer/Red Deer"," 602","Red Deer",33,645,228,2,10,1,6,925,
48034,"Red Deer/Red Deer"," 603","Red Deer",39,568,157,6,8,3,1,782,
48034,"Red Deer/Red Deer"," 604","Red Deer",32,471,160,16,15,5,1,700,
48034,"Red Deer/Red Deer"," 605","Red Deer",38,716,180,22,10,3,1,970,
48034,"Red Deer/Red Deer"," 606","Red Deer",28,643,196,9,11,3,1,891,
48034,"Red Deer/Red Deer"," 607","Red Deer",34,451,227,17,12,1,1,743,
48034,"Red Deer/Red Deer"," 608","Red Deer",20,772,290,10,4,3,1,1100,
48034,"Red Deer/Red Deer"," 609","Red Deer",26,724,249,12,4,1,1,1017,
48034,"Red Deer/Red Deer"," 610","Red Deer",28,653,225,5,4,2,0,917,
48034,"Red Deer/Red Deer"," 611","Red Deer",22,491,205,7,4,1,0,730,
48034,"Red Deer/Red Deer"," 612","Red Deer",16,477,222,6,8,3,1,733,
48034,"Red Deer/Red Deer"," 613","Red Deer",41,558,314,8,9,6,1,937,
48034,"Red Deer/Red Deer"," 614","Red Deer",29,545,226,9,12,3,6,830,
48034,"Red Deer/Red Deer"," 615","Red Deer",23,538,221,15,5,2,0,804,
48034,"Red Deer/Red Deer"," 616","Red Deer County",26,819,302,9,6,1,6,1169,
48034,"Red Deer/Red Deer"," 617","Red Deer",17,632,202,7,9,1,3,871,
48034,"Red Deer/Red Deer"," 618","Red Deer",33,836,232,6,5,1,4,1117,
48034,"Red Deer/Red Deer"," 619","Red Deer",25,687,201,11,11,6,8,949,
48034,"Red Deer/Red Deer"," 620","Red Deer",33,807,192,17,7,0,2,1058,
48034,"Red Deer/Red Deer"," 621","Red Deer",29,705,129,8,3,4,4,882,
48034,"Red Deer/Red Deer"," 622","Penhold",34,855,150,15,7,8,6,1075,
48034,"Red Deer/Red Deer"," 623","Penhold",8,381,50,8,4,0,0,451,
48034,"Red Deer/Red Deer"," 624","Delburne",9,550,61,8,0,2,1,631,
48034,"Red Deer/Red Deer",,Group 1/Groupe 1, 51,405,245,9,9,3,41,763,272
48034,"Red Deer/Red Deer",,Group 2/Groupe 2, 65,1745,483,25,16,6,44,2384,
