Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Anita Anand,Alicia Bedford,Ron Chhinzer,Hailey Ford,Henry Karabela,Bruno Sousa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Oakville East/Oakville-Est"," 1","Oakville",70,0,75,1,1,0,0,147,426
35075,"Oakville East/Oakville-Est"," 2","Oakville",61,0,93,4,0,2,3,163,411
35075,"Oakville East/Oakville-Est"," 3","Oakville",112,0,142,6,1,0,0,261,564
35075,"Oakville East/Oakville-Est"," 4","Oakville",54,0,74,1,0,0,1,130,375
35075,"Oakville East/Oakville-Est"," 5","Oakville",63,0,90,5,0,0,1,159,508
35075,"Oakville East/Oakville-Est"," 6A","Oakville",113,0,138,18,0,0,3,272,747
35075,"Oakville East/Oakville-Est"," 6B","Oakville",124,0,143,21,0,0,1,289,769
35075,"Oakville East/Oakville-Est"," 7","Oakville",54,1,102,5,1,0,0,163,460
35075,"Oakville East/Oakville-Est"," 8","Oakville",70,0,81,8,1,1,0,161,509
35075,"Oakville East/Oakville-Est"," 9A","Oakville",78,0,123,16,0,1,0,218,591
35075,"Oakville East/Oakville-Est"," 9B","Oakville",85,1,120,8,3,0,1,218,633
35075,"Oakville East/Oakville-Est"," 10","Oakville",96,0,108,15,0,0,0,219,533
35075,"Oakville East/Oakville-Est"," 11","Oakville",102,1,98,11,2,0,2,216,591
35075,"Oakville East/Oakville-Est"," 12","Oakville",105,0,94,8,0,1,1,209,448
35075,"Oakville East/Oakville-Est"," 13","Oakville",93,0,101,5,0,0,1,200,380
35075,"Oakville East/Oakville-Est"," 14","Oakville",102,0,79,10,2,2,0,195,368
35075,"Oakville East/Oakville-Est"," 15","Oakville",108,0,97,5,2,1,3,216,393
35075,"Oakville East/Oakville-Est"," 16","Oakville",74,0,87,6,1,1,1,170,414
35075,"Oakville East/Oakville-Est"," 17","Oakville",84,0,92,3,0,1,0,180,370
35075,"Oakville East/Oakville-Est"," 18","Oakville",51,0,63,6,2,0,1,123,374
35075,"Oakville East/Oakville-Est"," 19","Oakville",60,0,73,3,1,1,0,138,389
35075,"Oakville East/Oakville-Est"," 20","Oakville",52,0,86,3,0,1,1,143,470
35075,"Oakville East/Oakville-Est"," 21","Oakville",81,1,95,11,1,2,0,191,514
35075,"Oakville East/Oakville-Est"," 22","Oakville",113,0,95,17,0,4,1,230,613
35075,"Oakville East/Oakville-Est"," 23","Oakville",71,1,92,1,0,0,0,165,449
35075,"Oakville East/Oakville-Est"," 24","Oakville",110,0,81,16,1,1,0,209,427
35075,"Oakville East/Oakville-Est"," 25","Oakville",72,0,60,8,1,1,0,142,369
35075,"Oakville East/Oakville-Est"," 26","Oakville",90,0,76,3,5,0,0,174,357
35075,"Oakville East/Oakville-Est"," 27","Oakville",79,0,79,5,1,0,2,166,343
35075,"Oakville East/Oakville-Est"," 28","Oakville",84,0,69,2,0,1,1,157,345
35075,"Oakville East/Oakville-Est"," 29","Oakville",89,0,121,0,1,0,1,212,415
35075,"Oakville East/Oakville-Est"," 30","Oakville",84,0,65,4,4,0,0,157,369
35075,"Oakville East/Oakville-Est"," 31","Oakville",92,0,94,4,1,2,0,193,514
35075,"Oakville East/Oakville-Est"," 32","Oakville",49,0,79,2,0,0,0,130,335
35075,"Oakville East/Oakville-Est"," 33","Oakville",68,0,75,3,0,2,1,149,385
35075,"Oakville East/Oakville-Est"," 34","Oakville",88,0,69,3,1,2,0,163,387
35075,"Oakville East/Oakville-Est"," 35","Oakville",83,0,82,2,2,1,0,170,386
35075,"Oakville East/Oakville-Est"," 36","Oakville",58,0,86,21,4,1,0,170,470
35075,"Oakville East/Oakville-Est"," 37","Oakville",99,0,118,11,0,0,2,230,576
35075,"Oakville East/Oakville-Est"," 38A","Oakville",83,0,84,11,0,2,0,180,491
35075,"Oakville East/Oakville-Est"," 38B","Oakville",86,1,96,12,0,0,1,196,511
35075,"Oakville East/Oakville-Est"," 39","Oakville",76,0,108,8,3,1,2,198,535
35075,"Oakville East/Oakville-Est"," 40A","Oakville",94,0,103,26,1,1,0,225,365
35075,"Oakville East/Oakville-Est"," 40B","Oakville",91,0,129,10,2,3,0,235,359
35075,"Oakville East/Oakville-Est"," 41","Oakville",96,0,148,7,2,2,0,255,676
35075,"Oakville East/Oakville-Est"," 42","Oakville",93,0,93,4,0,0,0,190,473
35075,"Oakville East/Oakville-Est"," 43","Oakville",99,0,74,2,4,0,0,179,441
35075,"Oakville East/Oakville-Est"," 44","Oakville",72,0,69,7,0,2,0,150,387
35075,"Oakville East/Oakville-Est"," 45","Oakville",73,0,63,2,0,2,0,140,385
35075,"Oakville East/Oakville-Est"," 46","Oakville",68,0,104,2,0,1,0,175,420
35075,"Oakville East/Oakville-Est"," 47","Oakville",52,0,57,8,0,0,0,117,356
35075,"Oakville East/Oakville-Est"," 48","Oakville",81,1,119,14,0,2,1,218,463
35075,"Oakville East/Oakville-Est"," 49","Oakville",131,0,110,2,1,2,0,246,546
