Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Aaron Gunn,Tanille Johnston,Jennifer Lash,Paul Macknight,Glen Staples,Jessica Wegg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Island--Powell River/North Island--Powell River"," 224","Comox",35,44,29,1,0,6,0,115,500
59021,"North Island--Powell River/North Island--Powell River"," 225","Comox",40,65,47,1,0,9,1,163,473
59021,"North Island--Powell River/North Island--Powell River"," 226","Comox",50,43,48,2,1,2,0,146,431
59021,"North Island--Powell River/North Island--Powell River"," 227","Powell River",44,43,29,1,0,2,0,119,387
59021,"North Island--Powell River/North Island--Powell River"," 228","Powell River",29,32,26,0,0,2,0,89,352
59021,"North Island--Powell River/North Island--Powell River"," 229","Powell River",48,36,40,1,0,2,0,127,435
59021,"North Island--Powell River/North Island--Powell River"," 230","Powell River",31,41,32,0,0,4,1,109,417
59021,"North Island--Powell River/North Island--Powell River"," 231","Powell River",59,47,38,1,1,2,0,148,532
59021,"North Island--Powell River/North Island--Powell River"," 232","Lang Bay",58,67,36,4,1,5,0,171,380
59021,"North Island--Powell River/North Island--Powell River"," 233","Saltery Bay",63,69,43,2,0,10,1,188,323
59021,"North Island--Powell River/North Island--Powell River"," 233-1","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°233,,,,,,,,13
59021,"North Island--Powell River/North Island--Powell River"," 234","Brew Bay",79,54,35,0,1,2,1,172,423
59021,"North Island--Powell River/North Island--Powell River"," 235","Brew Bay",59,77,59,0,1,7,0,203,446
59021,"North Island--Powell River/North Island--Powell River"," 236","Saltery Bay",68,61,38,0,0,6,0,173,383
59021,"North Island--Powell River/North Island--Powell River"," 237","Powell River",46,27,39,0,0,1,0,113,507
59021,"North Island--Powell River/North Island--Powell River"," 238","Powell River",60,50,27,3,0,5,0,145,430
59021,"North Island--Powell River/North Island--Powell River"," 239","Powell River",67,52,41,0,1,3,0,164,477
59021,"North Island--Powell River/North Island--Powell River"," 240","Powell River",67,47,38,0,1,4,1,158,426
59021,"North Island--Powell River/North Island--Powell River"," 241","Powell River",63,54,45,1,0,4,0,167,427
59021,"North Island--Powell River/North Island--Powell River"," 242","Myrtle Point",86,46,28,1,0,4,0,165,550
59021,"North Island--Powell River/North Island--Powell River"," 243","Powell River",86,50,38,1,1,7,0,183,445
59021,"North Island--Powell River/North Island--Powell River"," 244","Powell River",53,69,32,1,0,4,0,159,433
59021,"North Island--Powell River/North Island--Powell River"," 245","Myrtle Point",81,41,40,0,0,3,0,165,481
59021,"North Island--Powell River/North Island--Powell River"," 246","Myrtle Point",57,44,34,0,0,6,0,141,449
59021,"North Island--Powell River/North Island--Powell River"," 247","Comox",50,72,25,0,0,4,0,151,484
59021,"North Island--Powell River/North Island--Powell River"," 248","Comox",26,39,39,2,0,5,0,111,425
59021,"North Island--Powell River/North Island--Powell River"," 249","Comox",32,52,31,0,0,2,1,118,394
59021,"North Island--Powell River/North Island--Powell River"," 250","Comox",35,56,35,0,0,3,0,129,421
59021,"North Island--Powell River/North Island--Powell River"," 251","Comox",34,62,47,0,0,4,1,148,447
59021,"North Island--Powell River/North Island--Powell River"," 252","Comox",56,75,57,1,0,3,0,192,468
59021,"North Island--Powell River/North Island--Powell River"," 253","Comox",23,41,53,3,0,1,0,121,391
59021,"North Island--Powell River/North Island--Powell River"," 254","Comox Valley B (Lazo North)",54,52,25,0,1,4,0,136,408
59021,"North Island--Powell River/North Island--Powell River"," 255","Comox",44,44,29,0,0,5,0,122,378
59021,"North Island--Powell River/North Island--Powell River"," 256","Van Anda",104,87,50,3,2,9,1,256,420
59021,"North Island--Powell River/North Island--Powell River"," 257","Gillies Bay",66,72,55,0,0,3,0,196,301
59021,"North Island--Powell River/North Island--Powell River"," 258","Gillies Bay",58,88,46,0,0,8,0,200,321
59021,"North Island--Powell River/North Island--Powell River"," 500","Mobile poll/Bureau itinérant",20,25,13,3,1,8,2,72,88
59021,"North Island--Powell River/North Island--Powell River"," 501","Mobile poll/Bureau itinérant",14,18,17,1,1,3,3,57,38
59021,"North Island--Powell River/North Island--Powell River"," 502","Mobile poll/Bureau itinérant",39,30,63,4,2,3,5,146,137
59021,"North Island--Powell River/North Island--Powell River"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,33
59021,"North Island--Powell River/North Island--Powell River"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,33
59021,"North Island--Powell River/North Island--Powell River"," 505","Campbell River",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,55
59021,"North Island--Powell River/North Island--Powell River"," 506","Mobile poll/Bureau itinérant",32,30,38,1,4,4,7,116,123
59021,"North Island--Powell River/North Island--Powell River"," 507","Courtenay",28,26,42,2,1,0,0,99,140
59021,"North Island--Powell River/North Island--Powell River"," 508","Mobile poll/Bureau itinérant",15,20,28,0,0,3,5,71,62
59021,"North Island--Powell River/North Island--Powell River"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,44
59021,"North Island--Powell River/North Island--Powell River"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,53
59021,"North Island--Powell River/North Island--Powell River"," 511","Mobile poll/Bureau itinérant",14,15,17,0,2,5,0,53,87
59021,"North Island--Powell River/North Island--Powell River"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,33
59021,"North Island--Powell River/North Island--Powell River"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,6
59021,"North Island--Powell River/North Island--Powell River"," 514","Mobile poll/Bureau itinérant",20,23,28,2,1,2,2,78,31
59021,"North Island--Powell River/North Island--Powell River"," 515","Comox",25,55,53,2,0,2,5,142,165
59021,"North Island--Powell River/North Island--Powell River"," 600","Dawsons Landing",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 601","Katit 1",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 602","Quaee 7",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 603","Hopetown 10A",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 604","Echo Bay",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 605","Gwayasdums 1",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 606","Port Hardy--Port Alice",492,378,207,4,2,13,0,1096,
59021,"North Island--Powell River/North Island--Powell River"," 607","Kippase 2--Fort Rupert 1 ",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 608","Quatsino Subdivision 18",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 609","Tsulquate 4",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 610","Hope Island 1",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 611","Holberg",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 612","Winter Harbour",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 613","Kyuquot",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 614","Port McNeill",371,160,181,2,1,11,0,726,
59021,"North Island--Powell River/North Island--Powell River"," 615","Thompson Sound",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 616","Minstrel Island",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 617","Dead Point 5",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 618","Alert Bay",17,104,18,1,0,8,0,148,
59021,"North Island--Powell River/North Island--Powell River"," 619","Oclucje 7",1,2,0,0,1,0,1,5,
59021,"North Island--Powell River/North Island--Powell River"," 620","Ehatis 11",6,17,8,1,0,1,0,33,
59021,"North Island--Powell River/North Island--Powell River"," 621","Tahsis",Combined with No./Résultats combinés à ceux du n°623,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 622","Yuquot",Combined with No./Résultats combinés à ceux du n°623,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 623","Gold River",196,67,133,0,0,5,0,401,
59021,"North Island--Powell River/North Island--Powell River"," 624","Ahaminaquus 12",Combined with No./Résultats combinés à ceux du n°623,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 625","Tsa Xana 18",1,24,0,1,0,0,0,26,
59021,"North Island--Powell River/North Island--Powell River"," 626","Campell River--Sayward",471,194,147,2,1,7,3,825,
59021,"North Island--Powell River/North Island--Powell River"," 627","Hardwicke Island",Combined with No./Résultats combinés à ceux du n°626,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 628","Stuart Island",53,79,19,0,0,4,0,155,
59021,"North Island--Powell River/North Island--Powell River"," 629","Blind Channel",Combined with No./Résultats combinés à ceux du n°636,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 630","Big Bay",Combined with No./Résultats combinés à ceux du n°636,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 631","Surge Narrows--Read Island",Combined with No./Résultats combinés à ceux du n°636,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 632","Tork 7",31,110,46,1,1,5,1,195,
59021,"North Island--Powell River/North Island--Powell River"," 633","Quinsam 12",10,50,12,2,0,0,0,74,
59021,"North Island--Powell River/North Island--Powell River"," 634","Campbell River 11",Combined with No./Résultats combinés à ceux du n°636,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 635","Cape Mudge 10",4,43,4,0,0,0,0,51,
59021,"North Island--Powell River/North Island--Powell River"," 636","Campbell River",736,361,380,3,3,10,1,1494,
59021,"North Island--Powell River/North Island--Powell River"," 637","Campbell River",595,446,368,4,1,21,6,1441,
59021,"North Island--Powell River/North Island--Powell River"," 638","Campbell River",595,366,332,5,0,9,0,1307,
59021,"North Island--Powell River/North Island--Powell River"," 639","Campbell River",550,421,423,3,1,16,4,1418,
59021,"North Island--Powell River/North Island--Powell River"," 640","Campbell River",696,349,424,4,0,13,1,1487,
