Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Aaron Gunn,Tanille Johnston,Jennifer Lash,Paul Macknight,Glen Staples,Jessica Wegg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Island--Powell River/North Island--Powell River"," 23","Port Alice",124,43,42,3,0,5,0,217,359
59021,"North Island--Powell River/North Island--Powell River"," 24","Port McNeill",3,165,8,2,0,1,2,181,419
59021,"North Island--Powell River/North Island--Powell River"," 25","Alert Bay",27,140,26,1,0,7,0,201,462
59021,"North Island--Powell River/North Island--Powell River"," 26","Gwayasdums 1",0,9,1,0,0,0,0,10,13
59021,"North Island--Powell River/North Island--Powell River"," 27","Echo Bay",1,9,3,0,0,0,0,13,6
59021,"North Island--Powell River/North Island--Powell River"," 28","Port McNeill",50,21,24,0,0,2,1,98,375
59021,"North Island--Powell River/North Island--Powell River"," 29","Port McNeill",59,28,26,0,1,2,0,116,402
59021,"North Island--Powell River/North Island--Powell River"," 30","Port McNeill",58,40,21,0,1,2,0,122,361
59021,"North Island--Powell River/North Island--Powell River"," 31","Port McNeill",65,37,29,1,0,4,1,137,389
59021,"North Island--Powell River/North Island--Powell River"," 32","Port McNeill",77,46,26,2,0,5,0,156,457
59021,"North Island--Powell River/North Island--Powell River"," 33","Port McNeill",69,36,32,0,0,5,0,142,435
59021,"North Island--Powell River/North Island--Powell River"," 34","Kyuquot",7,52,21,0,0,0,0,80,148
59021,"North Island--Powell River/North Island--Powell River"," 35","Stuart Island",Void/Supprimé,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 35-1","Blind Channel",3,4,3,0,0,0,0,10,10
59021,"North Island--Powell River/North Island--Powell River"," 35-2","Big Bay",Combined with No./Résultats combinés à ceux du n°35-1,,,,,,,,2
59021,"North Island--Powell River/North Island--Powell River"," 36","Woss",83,20,22,1,2,9,0,137,201
59021,"North Island--Powell River/North Island--Powell River"," 37","Zeballos",23,13,16,0,0,2,1,55,119
59021,"North Island--Powell River/North Island--Powell River"," 37-1","Ehatis 11",0,13,1,0,0,0,0,14,44
59021,"North Island--Powell River/North Island--Powell River"," 37-2","Oclucje 7",Combined with No./Résultats combinés à ceux du n°37-1,,,,,,,,7
59021,"North Island--Powell River/North Island--Powell River"," 38","Sayward",123,80,31,3,0,3,0,240,417
59021,"North Island--Powell River/North Island--Powell River"," 38-1","Hardwicke Island",Void/Supprimé,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 39","Sayward",110,83,61,0,0,3,0,257,442
59021,"North Island--Powell River/North Island--Powell River"," 40","Tahsis",96,62,41,3,3,9,0,214,336
59021,"North Island--Powell River/North Island--Powell River"," 40-1","Yuquot",Combined with No./Résultats combinés à ceux du n°40,,,,,,,,2
59021,"North Island--Powell River/North Island--Powell River"," 41","Surge Narrows--Read Island",11,29,5,0,0,5,0,50,56
59021,"North Island--Powell River/North Island--Powell River"," 42","Campbell River",83,26,38,1,0,5,1,154,353
59021,"North Island--Powell River/North Island--Powell River"," 43","Campbell River",104,35,33,0,1,5,0,178,441
59021,"North Island--Powell River/North Island--Powell River"," 44","Campbell River",79,40,25,0,0,2,0,146,345
59021,"North Island--Powell River/North Island--Powell River"," 45","Campbell River",71,53,37,0,2,7,0,170,476
59021,"North Island--Powell River/North Island--Powell River"," 46","Campbell River",95,42,33,0,0,3,0,173,474
59021,"North Island--Powell River/North Island--Powell River"," 47","Quadra Island",53,132,29,1,0,12,0,227,372
59021,"North Island--Powell River/North Island--Powell River"," 48","Qhathiaski Cove",47,170,39,1,0,9,0,266,406
59021,"North Island--Powell River/North Island--Powell River"," 49","Heriot Bay",56,192,29,0,1,5,0,283,408
59021,"North Island--Powell River/North Island--Powell River"," 50","Qhathiaski Cove",55,148,33,2,1,7,1,247,385
59021,"North Island--Powell River/North Island--Powell River"," 51","Heriot Bay",73,176,33,1,2,5,2,292,434
59021,"North Island--Powell River/North Island--Powell River"," 52","Cape Mudge",10,16,2,0,0,0,0,28,105
59021,"North Island--Powell River/North Island--Powell River"," 53","Qhathiaski Cove",52,180,38,1,1,10,1,283,418
59021,"North Island--Powell River/North Island--Powell River"," 54","Campbell River 11",26,90,14,1,0,3,0,134,383
59021,"North Island--Powell River/North Island--Powell River"," 55","Campbell River",68,66,45,0,0,3,1,183,593
59021,"North Island--Powell River/North Island--Powell River"," 56","Campbell River",68,37,45,0,0,5,1,156,547
59021,"North Island--Powell River/North Island--Powell River"," 57","Campbell River",46,38,34,1,1,4,0,124,455
59021,"North Island--Powell River/North Island--Powell River"," 58","Campbell River",62,67,28,1,0,2,2,162,477
59021,"North Island--Powell River/North Island--Powell River"," 59","Campbell River",36,37,26,1,0,1,0,101,333
59021,"North Island--Powell River/North Island--Powell River"," 60","Campbell River",51,56,27,1,0,4,0,139,468
59021,"North Island--Powell River/North Island--Powell River"," 61","Campbell River",34,41,34,0,1,4,0,114,319
59021,"North Island--Powell River/North Island--Powell River"," 62","Larsons Landing",42,97,26,0,0,8,0,173,411
59021,"North Island--Powell River/North Island--Powell River"," 63","Sliammon 1",37,104,32,1,0,4,2,180,368
59021,"North Island--Powell River/North Island--Powell River"," 64","Sliammon 1",11,141,2,0,0,0,2,156,324
59021,"North Island--Powell River/North Island--Powell River"," 65","Powell River",68,63,36,0,1,3,1,172,357
59021,"North Island--Powell River/North Island--Powell River"," 66","Powell River",88,104,46,0,1,10,1,250,605
59021,"North Island--Powell River/North Island--Powell River"," 67","Refuge Cove",25,91,20,0,0,8,0,144,268
59021,"North Island--Powell River/North Island--Powell River"," 67-1","Tork 7",Combined with No./Résultats combinés à ceux du n°67,,,,,,,,45
59021,"North Island--Powell River/North Island--Powell River"," 68","Cortes Island",33,86,41,2,0,9,2,173,378
59021,"North Island--Powell River/North Island--Powell River"," 69","Cortes Bay",31,97,35,1,0,6,0,170,339
59021,"North Island--Powell River/North Island--Powell River"," 70","Tsa Xana 18",Combined with No./Résultats combinés à ceux du n°71,,,,,,,,113
59021,"North Island--Powell River/North Island--Powell River"," 71","Gold River",55,57,20,0,0,2,1,135,360
59021,"North Island--Powell River/North Island--Powell River"," 72","Gold River",65,33,28,0,1,1,0,128,382
59021,"North Island--Powell River/North Island--Powell River"," 73","Gold River",57,28,17,2,0,0,0,104,334
59021,"North Island--Powell River/North Island--Powell River"," 73-1","Ahaminaquus 12",Void/Supprimé,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 74","Campbell River",72,44,20,1,0,3,0,140,401
59021,"North Island--Powell River/North Island--Powell River"," 75","Campbell River",33,28,18,2,0,2,0,83,315
59021,"North Island--Powell River/North Island--Powell River"," 76","Quinsam 12",15,54,12,0,1,3,0,85,328
59021,"North Island--Powell River/North Island--Powell River"," 77","Campbell River",132,66,92,0,0,5,1,296,820
59021,"North Island--Powell River/North Island--Powell River"," 78","Campbell River",100,46,40,2,0,1,0,189,529
59021,"North Island--Powell River/North Island--Powell River"," 79","Campbell River",78,51,45,2,1,8,1,186,592
59021,"North Island--Powell River/North Island--Powell River"," 80","Campbell River",145,62,52,1,0,4,1,265,754
59021,"North Island--Powell River/North Island--Powell River"," 81","Campbell River",103,50,52,0,0,4,0,209,552
59021,"North Island--Powell River/North Island--Powell River"," 82","Campbell River",57,29,25,0,0,1,0,112,376
59021,"North Island--Powell River/North Island--Powell River"," 83","Campbell River",70,68,36,0,0,4,0,178,555
59021,"North Island--Powell River/North Island--Powell River"," 84","Campbell River",67,55,41,0,0,3,0,166,474
