Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Barrett,Lorna Jean Edmonds,Paul Lancione,Randi Ramdeen,Hailey Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 1","North Grenville",73,49,5,1,3,2,133,390
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 2","North Grenville",53,44,1,0,3,2,103,349
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 3","North Grenville",80,56,11,2,3,1,153,460
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 4","North Grenville",116,71,2,3,1,3,196,476
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 5","North Grenville",95,46,1,3,0,0,145,391
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 6","North Grenville",89,70,7,1,4,0,171,523
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 7","North Grenville",52,54,4,1,0,2,113,414
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 8","North Grenville",67,48,4,0,0,0,119,366
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 9","North Grenville",80,71,7,4,0,1,163,407
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 10","North Grenville",59,52,10,1,2,0,124,422
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 11","North Grenville",69,50,9,1,0,3,132,454
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 12","North Grenville",25,23,1,1,1,0,51,319
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 13","North Grenville",54,47,8,0,0,0,109,438
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 14","North Grenville",67,43,7,7,2,0,126,408
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 15","North Grenville",109,66,7,4,1,0,187,485
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 16","North Grenville",59,56,8,2,1,0,126,371
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 17","North Grenville",42,62,4,3,0,0,111,380
