Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Bator,Michael Beauchemin,Emily Brown,Karina Gould,Paul Harper,Kyle Hutton,Ocean Marshall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Burlington/Burlington"," 1","Burlington",1,3,97,84,0,1,1,3,190,422
35017,"Burlington/Burlington"," 2","Burlington",0,7,107,100,0,1,0,2,217,470
35017,"Burlington/Burlington"," 3","Burlington",3,4,123,116,0,1,2,0,249,538
35017,"Burlington/Burlington"," 4","Burlington",4,2,77,108,0,0,0,0,191,419
35017,"Burlington/Burlington"," 5","Burlington",4,6,118,99,1,2,1,0,231,518
35017,"Burlington/Burlington"," 6","Burlington",0,2,104,105,0,4,0,1,216,495
35017,"Burlington/Burlington"," 7","Burlington",3,3,132,162,1,4,0,0,305,581
35017,"Burlington/Burlington"," 8","Burlington",2,3,136,130,1,3,0,0,275,501
35017,"Burlington/Burlington"," 9","Burlington",4,9,153,114,0,1,1,0,282,542
35017,"Burlington/Burlington"," 10","Burlington",1,3,146,132,0,3,0,0,285,557
35017,"Burlington/Burlington"," 11","Burlington",0,2,71,94,0,1,0,0,168,351
35017,"Burlington/Burlington"," 12","Burlington",5,2,74,123,0,3,0,0,207,548
35017,"Burlington/Burlington"," 13A","Burlington",2,4,66,80,0,4,0,1,157,365
35017,"Burlington/Burlington"," 13B","Burlington",Combined with No./Résultats combinés à ceux du n°20,,,,,,,,,148
35017,"Burlington/Burlington"," 14","Burlington",1,8,102,109,1,1,0,1,223,515
35017,"Burlington/Burlington"," 15","Burlington",0,6,92,84,1,0,1,0,184,537
35017,"Burlington/Burlington"," 16","Burlington",1,12,77,81,0,1,0,0,172,461
35017,"Burlington/Burlington"," 17","Burlington",1,1,76,86,0,3,0,0,167,480
35017,"Burlington/Burlington"," 18","Burlington",0,2,87,74,0,2,0,1,166,431
35017,"Burlington/Burlington"," 19","Burlington",2,10,66,58,0,5,1,1,143,375
35017,"Burlington/Burlington"," 20","Burlington",2,7,97,205,0,1,0,1,313,313
35017,"Burlington/Burlington"," 21","Burlington",2,10,87,94,0,3,0,1,197,456
35017,"Burlington/Burlington"," 22","Burlington",2,5,81,54,0,2,0,7,151,418
35017,"Burlington/Burlington"," 23","Burlington",1,4,118,104,0,4,2,3,236,556
