Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peyman Askari,Lauren Greenlaw,Gordon Jeffrey,Jäger Rosenberg,Keith Roy,Patrick Weiler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 1","Pemberton Meadows",0,7,0,5,73,95,2,182,408
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 2","Pemberton",2,17,0,10,68,96,0,193,443
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 3","Pemberton",0,12,1,7,88,113,0,221,475
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 4","Pemberton",1,16,0,18,73,150,0,258,542
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 5","Pemberton",0,16,1,2,82,167,2,270,522
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 6","Pemberton",0,11,1,13,43,147,0,215,473
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 7","Pemberton",0,11,1,5,71,136,2,226,481
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 8","Pemberton",1,12,0,6,52,82,0,153,343
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 9","Egmont",3,5,0,5,33,57,0,103,256
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 9-1","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°9,,,,,,,,1
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 10","D'Arcy",2,18,3,23,95,102,0,243,359
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 10-1","Nequatque",Combined with No./Résultats combinés à ceux du n°10,,,,,,,,142
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 11","Mount Currie",0,19,0,32,16,48,0,115,571
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 11-1","Mount Currie",2,10,1,23,18,46,1,101,513
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 12","Pemberton",2,1,0,1,14,28,0,46,140
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 13","Squamish",3,21,0,10,101,114,0,249,589
