Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gaby Breton,Mario Fréchette,Marie-Philippe Gagnon Gauthier,Glenn O'Farrell,Dominique Vien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 1","Saint-Vallier",47,2,4,61,91,2,207,399
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 2","Saint-Vallier",35,3,5,51,133,7,234,429
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 3","Saint-Michel-de-Bellechasse",43,1,8,58,72,2,184,354
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 4","Saint-Michel-de-Bellechasse",47,1,2,39,68,3,160,389
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 5","Saint-Michel-de-Bellechasse",41,3,5,47,88,0,184,408
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 6","Saint-Michel-de-Bellechasse",31,2,7,20,98,3,161,312
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 7","Saint-Raphaël",19,2,2,16,133,2,174,336
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 8","Saint-Raphaël",22,6,7,36,120,2,193,385
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 9","Saint-Raphaël",20,1,3,27,125,4,180,342
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 10","Saint-Raphaël",17,0,0,16,104,3,140,282
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 11","Saint-Raphaël",21,2,2,27,118,2,172,339
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 12","Saint-Raphaël",15,2,1,16,96,1,131,318
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 13","Armagh",18,4,1,28,112,4,167,277
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 14","Armagh",17,3,2,38,106,1,167,289
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 15A","Armagh",26,4,6,25,118,1,180,295
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 15B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°537,,,,,,,4
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 16","Armagh",25,6,3,30,124,5,193,301
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 17","La Durantaye",26,3,6,22,113,4,174,282
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 18","La Durantaye",43,3,2,35,125,0,208,323
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 19","Beaumont",17,4,5,62,94,1,183,372
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 20","Beaumont",24,4,3,44,94,0,169,329
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 21","Beaumont",35,0,8,54,60,1,158,342
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 22","Beaumont",40,4,3,36,133,4,220,386
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 23","Beaumont",39,2,4,53,135,4,237,417
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 24","Beaumont",31,1,3,43,72,3,153,280
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 25","Beaumont",30,5,4,30,128,6,203,467
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 26","Lévis",49,2,5,72,111,5,244,574
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 27","Lévis",45,1,7,39,51,1,144,390
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 28","Lévis",29,1,3,58,112,1,204,400
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 29","Lévis",49,5,6,60,72,3,195,446
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 30","Lévis",31,3,10,39,44,1,128,332
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 31","Lévis",35,1,13,35,38,1,123,342
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 32","Saint-Philémon",28,2,4,36,102,1,173,297
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 33","Saint-Philémon",27,4,3,41,106,2,183,308
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 34","Lévis",22,5,8,41,47,0,123,417
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 35","Lévis",29,1,8,29,36,4,107,365
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 36","Lévis",36,1,3,32,45,3,120,421
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 37","Lévis",19,1,6,31,54,4,115,408
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 38","Lévis",30,2,4,19,46,2,103,342
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 39","Lévis",21,0,4,29,30,2,86,351
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 40","Lévis",42,5,8,75,141,2,273,572
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 41","Lévis",33,0,9,32,60,2,136,329
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 42","Lévis",49,1,5,43,82,5,185,438
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 43A","Lévis",27,7,14,57,64,3,172,385
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 43B","Lévis",32,0,4,28,49,0,113,376
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 44","Lévis",50,0,4,64,56,2,176,398
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 45","Lévis",44,0,6,56,53,3,162,427
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 46","Lévis",60,1,7,33,25,5,131,334
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 47","Lévis",25,4,3,26,55,3,116,349
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 48","Lévis",26,1,4,32,70,6,139,363
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 49","Lévis",14,2,4,22,68,2,112,322
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 50","Lévis",35,1,7,44,58,3,148,414
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 51","Lévis",25,1,5,33,39,4,107,367
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 52","Lévis",42,0,5,45,37,2,131,368
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 53","Lévis",40,2,5,56,65,3,171,430
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 54","Lévis",49,1,4,73,95,4,226,557
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 55","Lévis",24,2,7,64,69,4,170,486
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 56","Lévis",37,0,3,40,51,2,133,349
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 57","Lévis",32,3,2,32,56,2,127,352
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 58","Lévis",26,0,4,31,63,2,126,358
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 59","Lévis",27,1,5,51,48,2,134,382
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 60","Lévis",44,1,7,42,45,3,142,319
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 61","Lévis",31,0,10,27,34,1,103,317
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 62","Lévis",58,4,11,60,60,3,196,380
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 63","Lévis",31,2,11,41,38,2,125,324
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 64A","Saint-Nérée",24,3,3,24,117,3,174,320
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 64B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°537,,,,,,,13
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 65","Saint-Nérée",19,0,5,14,122,5,165,301
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 66","Saint-Charles-de-Bellechasse",12,3,0,34,110,2,161,286
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 67","Saint-Charles-de-Bellechasse",37,3,6,29,114,4,193,357
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 68","Saint-Charles-de-Bellechasse",33,2,5,23,87,2,152,311
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 69","Saint-Charles-de-Bellechasse",20,0,2,39,100,3,164,309
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 70","Saint-Charles-de-Bellechasse",23,2,5,27,99,4,160,337
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 71","Saint-Charles-de-Bellechasse",20,0,2,29,137,2,190,332
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 72","Lévis",33,1,0,27,31,0,92,336
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 73","Lévis",12,4,1,18,71,0,106,301
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 74","Lévis",41,3,7,31,41,0,123,392
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 75","Lévis",43,3,5,51,105,5,212,536
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 76","Lévis",32,1,11,58,124,9,235,497
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 77","Lévis",31,2,8,34,25,3,103,416
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 78","Lévis",39,3,2,31,40,3,118,337
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 79","Lévis",33,2,12,30,42,1,120,305
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 80","Lévis",30,3,9,36,50,3,131,328
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 81A","Lévis",25,0,5,50,65,0,145,379
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 81B","Lévis",13,2,2,38,37,1,93,361
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 82","Lévis",42,2,7,71,115,4,241,562
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 83A","Lévis",42,1,8,73,72,2,198,499
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 83B","Lévis",21,1,0,59,50,1,132,433
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 84","Lévis",26,5,6,40,47,1,125,330
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 85","Lévis",22,1,6,24,47,2,102,350
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 86A","Lévis",41,3,7,46,66,0,163,462
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 86B","Lévis",12,0,2,14,34,0,62,229
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 86C","Lévis",36,3,0,106,33,1,179,275
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 87","Lévis",9,0,12,40,52,5,118,362
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 88","Lévis",32,0,4,39,40,3,118,334
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 89","Lévis",36,2,8,45,61,4,156,495
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 90","Lévis",29,4,5,43,50,1,132,370
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 91","Lévis",42,2,2,51,72,5,174,390
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 92","Lévis",59,2,2,58,100,1,222,593
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 93","Lévis",31,2,7,43,67,2,152,387
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 94","Lévis",30,2,8,43,47,4,134,426
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 95","Lévis",48,3,7,47,108,7,220,497
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 96","Saint-Magloire",22,8,1,30,86,3,150,277
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 97","Saint-Magloire",42,3,4,37,115,3,204,308
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 98","Saint-Gervais",27,1,3,39,164,3,237,363
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 99","Saint-Gervais",26,1,0,37,174,2,240,336
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 100","Saint-Gervais",16,4,4,31,116,2,173,286
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 101","Saint-Gervais",13,2,1,21,117,2,156,232
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 102","Saint-Gervais",24,3,4,41,161,2,235,395
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 103","Lévis",34,2,10,57,25,3,131,349
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 104","Lévis",51,2,8,38,43,0,142,446
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 105","Lévis",50,0,11,65,44,2,172,579
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 106","Lévis",23,0,5,38,43,1,110,314
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 107","Lévis",30,2,7,18,42,4,103,355
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 108","Lévis",28,1,7,33,50,5,124,394
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 109","Lévis",46,1,3,50,125,0,225,440
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 110","Lévis",18,2,7,53,46,0,126,419
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 111","Lévis",38,2,6,48,81,0,175,512
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 112","Lévis",34,1,4,31,117,5,192,362
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 113","Lévis",17,2,6,74,59,4,162,427
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 114","Lévis",32,0,6,37,67,1,143,381
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 115","Lévis",35,4,3,49,55,3,149,482
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 116","Lévis",46,6,8,43,77,3,183,494
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 117","Lévis",29,4,4,47,73,1,158,361
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 118","Lévis",18,3,3,35,49,0,108,350
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 119","Lévis",36,0,3,20,68,0,127,335
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 120","Lévis",46,0,6,75,125,4,256,467
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 121","Lévis",40,0,7,55,105,2,209,405
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 122","Lévis",41,1,3,57,165,1,268,438
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 123","Lévis",47,3,4,62,111,5,232,496
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 124","Lévis",35,2,2,37,105,1,182,360
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 125","Lévis",47,0,6,47,135,1,236,466
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 126","Lévis",19,0,8,21,46,1,95,388
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 127","Lévis",62,3,12,61,146,6,290,581
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 128","Lévis",14,1,5,27,69,0,116,392
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 129","Lévis",18,1,3,28,41,3,94,300
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 130","Lévis",67,1,7,47,31,4,157,308
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 131A","Lévis",38,2,12,60,61,3,176,471
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 131B","Lévis",Combined with No./Résultats combinés à ceux du n°523,,,,,,,64
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 132","Lévis",58,1,2,40,65,1,167,454
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 133","Buckland",26,2,8,65,138,1,240,350
