Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Aylward,Adam Harding,Kent MacDonald,Wayne Phelan,Maria Rodriguez,Lynne Thiele,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 1","North Lake",57,3,82,4,3,4,1,154,308
11001,"Cardigan/Cardigan"," 2","Red Point",100,2,66,2,0,0,4,174,357
11001,"Cardigan/Cardigan"," 3","New Zealand",28,0,29,4,1,0,0,62,321
11001,"Cardigan/Cardigan"," 4","Chepstow",40,0,47,8,0,3,2,100,354
11001,"Cardigan/Cardigan"," 5","Souris River",51,3,53,0,1,4,1,113,342
11001,"Cardigan/Cardigan"," 6","Souris",33,2,31,1,0,1,1,69,258
11001,"Cardigan/Cardigan"," 7","Souris East",48,1,49,0,1,2,1,102,337
11001,"Cardigan/Cardigan"," 8","Naufrage--New Acadia--Rollo Bay",71,1,61,4,3,0,1,141,369
11001,"Cardigan/Cardigan"," 9","Cable Head",97,3,116,5,4,4,4,233,421
11001,"Cardigan/Cardigan"," 10","Five Houses",82,2,91,4,0,5,1,185,380
11001,"Cardigan/Cardigan"," 11","Milburn",67,4,58,2,3,0,1,135,355
11001,"Cardigan/Cardigan"," 12","Souris West",45,0,64,1,1,1,1,113,356
11001,"Cardigan/Cardigan"," 13","Fortune Bridge--Eglington",64,1,82,1,3,1,1,153,377
11001,"Cardigan/Cardigan"," 14","Morell",77,3,110,4,2,3,1,200,380
11001,"Cardigan/Cardigan"," 15","Green Meadows",75,2,76,5,2,3,1,164,427
11001,"Cardigan/Cardigan"," 16","Dundas",61,1,141,1,0,5,4,213,391
11001,"Cardigan/Cardigan"," 17","Savage Harbour",73,0,80,3,0,1,1,158,447
11001,"Cardigan/Cardigan"," 18","Mount Stewart",56,2,76,1,2,5,0,142,465
11001,"Cardigan/Cardigan"," 19","Scotchfort 4--Morell 2",5,0,90,0,4,0,3,102,192
11001,"Cardigan/Cardigan"," 20","Glenfanning",92,0,77,5,8,6,0,188,339
11001,"Cardigan/Cardigan"," 21","Cardigan--Launching Place",103,1,114,3,2,4,1,228,432
11001,"Cardigan/Cardigan"," 22","Head of Cardigan",93,1,85,8,1,3,1,192,426
11001,"Cardigan/Cardigan"," 23","New Perth",62,0,59,4,2,2,0,129,432
11001,"Cardigan/Cardigan"," 24","Tracadie Cross",71,3,130,5,3,5,0,217,403
11001,"Cardigan/Cardigan"," 25","Peakes",78,0,78,4,1,4,2,167,351
11001,"Cardigan/Cardigan"," 26","Bedford Station",93,4,122,3,6,8,1,237,443
11001,"Cardigan/Cardigan"," 27","Georgetown",125,2,107,7,10,4,1,256,503
11001,"Cardigan/Cardigan"," 28","Georgetown",148,4,127,2,1,2,3,287,455
11001,"Cardigan/Cardigan"," 29","Fort Augustus",70,0,106,3,1,2,0,182,342
11001,"Cardigan/Cardigan"," 30","Glenfinnan",94,0,88,1,1,4,2,190,351
11001,"Cardigan/Cardigan"," 31","Brudenell",64,1,75,2,3,0,1,146,454
11001,"Cardigan/Cardigan"," 32","Three Rivers",57,2,61,1,8,2,3,134,463
11001,"Cardigan/Cardigan"," 33","Three Rivers",51,0,53,1,2,5,2,114,396
11001,"Cardigan/Cardigan"," 34","Lower Montague",87,2,89,8,3,3,3,195,467
11001,"Cardigan/Cardigan"," 35","Johnstons River",79,2,117,1,3,4,1,207,361
11001,"Cardigan/Cardigan"," 36","Johnstons River",66,0,88,3,1,1,1,160,381
11001,"Cardigan/Cardigan"," 37","Sturgeon",64,3,88,2,0,6,1,164,422
11001,"Cardigan/Cardigan"," 38","Brooklyn",79,0,61,0,0,4,3,147,461
11001,"Cardigan/Cardigan"," 39","Hermitage",80,1,75,11,9,3,3,182,480
11001,"Cardigan/Cardigan"," 40","Millview",83,1,84,5,0,5,2,180,398
11001,"Cardigan/Cardigan"," 41","Montague",55,3,48,5,3,4,0,118,412
11001,"Cardigan/Cardigan"," 42","Montague",41,1,49,0,4,5,0,100,367
11001,"Cardigan/Cardigan"," 43","Victoria Cross",89,2,73,0,4,0,1,169,392
11001,"Cardigan/Cardigan"," 44","Valleyfield",68,2,45,4,2,4,0,125,391
11001,"Cardigan/Cardigan"," 45","Murray Harbour North",87,0,98,6,2,1,1,195,391
11001,"Cardigan/Cardigan"," 46","Mount Herbert",54,3,65,0,4,1,0,127,321
11001,"Cardigan/Cardigan"," 47","Stratford",74,1,130,6,0,3,2,216,524
11001,"Cardigan/Cardigan"," 48","Stratford",69,0,124,1,2,9,0,205,573
