Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Belanger,Andréane Chénier,Himal Hossain,Justin Dean Newell Leroux,Marc G. Serré,Sharilynne St. Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 48","Hanmer",114,20,2,0,72,2,0,210,512
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 49","Hagar",88,13,1,0,51,5,1,159,318
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 50","Hagar",78,7,2,0,30,3,1,121,220
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 51","Hanmer",89,11,0,0,33,1,2,136,355
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 52","Val Therese",58,11,1,0,54,4,1,129,359
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 53","Val Therese",67,10,0,0,53,1,0,131,431
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 54","Val Therese",84,14,0,1,66,0,0,165,441
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 55","Val Therese",115,17,0,3,79,1,0,215,540
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 56","Val Therese",100,14,1,0,62,2,0,179,475
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 57","Val Therese",61,9,1,0,53,1,0,125,361
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 58","Val Therese",65,22,1,1,57,0,0,146,421
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 59","Val Therese",99,16,0,1,66,3,0,185,454
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 60","Val Therese",52,7,0,1,38,0,1,99,362
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 61","Val Therese",62,5,0,0,37,1,1,106,302
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 62","Val Therese",93,10,1,1,67,1,1,174,500
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 63","Val Therese",66,9,0,0,34,0,0,109,296
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 64","Levack",96,20,0,1,46,6,0,169,365
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 65","Levack",115,30,0,0,49,3,2,199,387
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 66","Levack",80,24,0,3,26,1,2,136,356
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 67","Chelmsford",103,11,2,0,48,4,1,169,451
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 68","Chelmsford",79,18,2,4,53,1,2,159,458
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 69","Chelmsford",70,4,0,0,54,1,0,129,422
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 70","Chelmsford",69,9,3,0,54,0,2,137,457
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 71","Chelmsford",110,14,2,0,65,1,0,192,482
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 72","Chelmsford",76,19,1,2,52,2,2,154,483
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 73","Chelmsford",81,12,0,2,66,1,0,162,439
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 74","Crystal Falls",61,9,0,2,52,0,0,124,360
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 75","Sturgeon Falls",65,4,1,0,32,2,0,104,348
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 76","Sturgeon Falls",27,4,0,0,57,0,0,88,273
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 77","Sturgeon Falls",Combined with No./Résultats combinés à ceux du n°402,,,,,,,,213
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 78","Sturgeon Falls",65,8,1,0,49,0,1,124,437
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 79","Sturgeon Falls",85,8,1,1,65,0,3,163,574
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 80","Sturgeon Falls",44,9,3,1,38,0,0,95,247
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 81","Sturgeon Falls",68,16,2,2,66,4,0,158,523
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 82","Sturgeon Falls",72,16,1,0,65,2,1,157,467
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 83","Sturgeon Falls",80,6,0,0,54,1,1,142,433
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 84","Blezard Valley",102,16,2,0,71,1,0,192,534
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 85","Blezard Valley",66,13,2,2,43,0,0,126,358
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 86","Blezard Valley",120,17,1,2,65,2,0,207,588
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 87","Blezard Valley",58,15,1,1,55,1,1,132,350
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 88","Warren",81,7,2,0,39,4,0,133,408
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 89","Warren",112,9,0,2,66,1,1,191,457
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 90","Azilda",69,5,0,0,60,2,2,138,378
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 91","Azilda",43,8,0,0,40,0,0,91,267
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 92","Azilda",139,22,0,0,90,0,1,252,565
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 93","Azilda",84,17,0,1,98,3,0,203,477
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 94","Azilda",90,11,0,1,69,1,2,174,458
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 95","Azilda",66,14,1,0,87,0,0,168,446
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 96","Azilda",70,13,1,0,77,1,0,162,483
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 97","Azilda",82,14,3,2,61,4,1,167,508
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 98","Azilda",83,12,1,0,48,0,0,144,492
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 99","Azilda",106,12,1,1,59,0,0,179,480
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 100","Azilda",115,12,0,0,87,1,1,216,488
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 101","Azilda",62,11,0,0,40,2,1,116,359
