Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kelly Block,Cheryl Loadman,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 93","Martensville",87,8,37,0,132,477
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 94","Martensville",102,10,21,1,134,475
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 95","Martensville",126,14,39,0,179,555
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 96","Martensville",119,11,35,0,165,345
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 97","Martensville",120,11,31,1,163,515
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 98A","Martensville",Combined with No./Résultats combinés à ceux du n°96,,,,,161
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 98B","Martensville",129,8,33,1,171,516
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 99","Martensville",118,10,33,1,162,491
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 100","Saskatoon",186,12,32,0,230,507
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 101","Asquith",184,15,47,2,248,429
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 102","Grandora",113,12,54,0,179,336
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 103","Asquith",211,22,35,2,270,452
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 104","Prud'homme",123,6,29,0,158,232
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 105","Aberdeen",124,11,25,3,163,494
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 106","Aberdeen",122,11,24,1,158,456
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 107","Bergheim",126,5,32,0,163,498
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 108","Vonda",241,20,50,0,311,460
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 109","Fulda",113,3,7,0,123,223
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 110","Dunfermline",162,15,26,0,203,362
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 111","Grandora",97,17,19,1,134,324
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 112","Saskatoon",125,13,57,1,196,442
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 113","Dana",142,3,14,0,159,262
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 114","Bruno",127,11,15,2,155,262
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 115","Bruno",103,6,13,0,122,218
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 116","Peterson",113,3,20,0,136,200
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 117","Annaheim",220,7,16,1,244,323
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 118","Corman Park No. 344",108,15,50,0,173,448
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 119","Cedar Villa Estates",78,11,23,0,112,451
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 120","Vanscoy",127,12,38,0,177,400
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 121","Vanscoy No. 345",135,18,23,4,180,343
