Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kelly-Ann Callaghan,Paul Church,Larry Duchesne,Stephen Ellis,Alana Hirtle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Cumberland--Colchester/Cumberland--Colchester"," 1","Wallace Bridge",1,1,4,87,90,4,187,371
12004,"Cumberland--Colchester/Cumberland--Colchester"," 2","Wallace",8,1,10,98,88,1,206,414
12004,"Cumberland--Colchester/Cumberland--Colchester"," 3","Pugwash Point",1,0,3,65,57,0,126,407
12004,"Cumberland--Colchester/Cumberland--Colchester"," 4","Pugwash",2,0,8,48,48,0,106,464
12004,"Cumberland--Colchester/Cumberland--Colchester"," 5","West Pugwash",2,1,6,71,41,0,121,352
12004,"Cumberland--Colchester/Cumberland--Colchester"," 6","Pugwash Junction",1,0,2,79,33,0,115,417
12004,"Cumberland--Colchester/Cumberland--Colchester"," 7","Malagash",2,0,6,88,121,1,218,450
12004,"Cumberland--Colchester/Cumberland--Colchester"," 8","Linden",7,2,8,89,78,0,184,481
12004,"Cumberland--Colchester/Cumberland--Colchester"," 9","Brule",1,1,5,55,84,1,147,507
12004,"Cumberland--Colchester/Cumberland--Colchester"," 10","Waughs River",0,1,5,76,34,1,117,389
12004,"Cumberland--Colchester/Cumberland--Colchester"," 11","Tatamagouche",2,3,6,50,55,0,116,376
12004,"Cumberland--Colchester/Cumberland--Colchester"," 12","Balfron",7,1,6,94,34,1,143,376
12004,"Cumberland--Colchester/Cumberland--Colchester"," 13","Amherst Shore",3,0,6,52,37,1,99,349
12004,"Cumberland--Colchester/Cumberland--Colchester"," 14","Amherst Head",0,3,0,48,24,1,76,265
12004,"Cumberland--Colchester/Cumberland--Colchester"," 15","Tidnish",6,0,10,119,115,2,252,509
12004,"Cumberland--Colchester/Cumberland--Colchester"," 16","Bayhead",5,6,6,92,43,1,153,423
12004,"Cumberland--Colchester/Cumberland--Colchester"," 17","North Earltown",1,0,4,102,77,2,186,400
12004,"Cumberland--Colchester/Cumberland--Colchester"," 18","Fort Lawrence",2,1,3,56,36,1,99,290
12004,"Cumberland--Colchester/Cumberland--Colchester"," 19","Hastings",1,1,1,57,45,0,105,314
12004,"Cumberland--Colchester/Cumberland--Colchester"," 20","Amherst",2,0,4,42,35,1,84,389
12004,"Cumberland--Colchester/Cumberland--Colchester"," 21","West New Annan",1,3,4,64,52,0,124,288
12004,"Cumberland--Colchester/Cumberland--Colchester"," 22","Mount Pleasant",6,3,9,81,51,0,150,391
12004,"Cumberland--Colchester/Cumberland--Colchester"," 23","Victoria",1,2,4,47,20,0,74,224
12004,"Cumberland--Colchester/Cumberland--Colchester"," 24","Oxford",4,0,5,112,47,1,169,425
12004,"Cumberland--Colchester/Cumberland--Colchester"," 25","Oxford",2,0,7,55,39,0,103,302
12004,"Cumberland--Colchester/Cumberland--Colchester"," 26","Oxford",1,1,3,63,36,0,104,253
12004,"Cumberland--Colchester/Cumberland--Colchester"," 27","Oxford Junction",2,1,3,70,41,0,117,306
