Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Brad Fournier,Brent Kinzel,Kelly McCauley,Sean McQuillan,Peggy Morton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Edmonton West/Edmonton-Ouest"," 1","Edmonton",43,2,77,8,0,0,130,449
48023,"Edmonton West/Edmonton-Ouest"," 2","Edmonton",64,2,84,13,0,2,165,491
48023,"Edmonton West/Edmonton-Ouest"," 3","Edmonton",49,4,54,12,0,1,120,427
48023,"Edmonton West/Edmonton-Ouest"," 4","Edmonton",72,3,105,16,1,1,198,599
48023,"Edmonton West/Edmonton-Ouest"," 5","Edmonton",47,1,60,12,0,1,121,378
48023,"Edmonton West/Edmonton-Ouest"," 6","Edmonton",78,2,94,13,1,0,188,683
48023,"Edmonton West/Edmonton-Ouest"," 7","Edmonton",74,2,87,8,1,0,172,429
48023,"Edmonton West/Edmonton-Ouest"," 8","Edmonton",56,2,75,12,0,0,145,444
48023,"Edmonton West/Edmonton-Ouest"," 9","Edmonton",44,4,80,9,0,0,137,321
48023,"Edmonton West/Edmonton-Ouest"," 10","Edmonton",48,2,57,14,0,3,124,355
48023,"Edmonton West/Edmonton-Ouest"," 11","Edmonton",43,2,85,15,2,0,147,391
48023,"Edmonton West/Edmonton-Ouest"," 12","Edmonton",85,3,111,13,0,0,212,428
48023,"Edmonton West/Edmonton-Ouest"," 13","Edmonton",92,3,122,21,2,1,241,530
48023,"Edmonton West/Edmonton-Ouest"," 14","Edmonton",69,3,89,4,0,0,165,339
48023,"Edmonton West/Edmonton-Ouest"," 15","Edmonton",66,1,109,12,0,1,189,414
48023,"Edmonton West/Edmonton-Ouest"," 16","Edmonton",89,6,153,20,1,1,270,660
48023,"Edmonton West/Edmonton-Ouest"," 17","Edmonton",59,3,95,7,1,0,165,322
48023,"Edmonton West/Edmonton-Ouest"," 18","Edmonton",87,4,87,26,1,1,206,547
48023,"Edmonton West/Edmonton-Ouest"," 19","Edmonton",60,4,95,15,0,0,174,379
48023,"Edmonton West/Edmonton-Ouest"," 20","Edmonton",83,2,61,17,0,1,164,415
48023,"Edmonton West/Edmonton-Ouest"," 21","Edmonton",91,2,93,13,0,4,203,451
48023,"Edmonton West/Edmonton-Ouest"," 22","Edmonton",83,4,124,15,1,5,232,508
48023,"Edmonton West/Edmonton-Ouest"," 23","Edmonton",92,5,105,15,0,0,217,485
48023,"Edmonton West/Edmonton-Ouest"," 24","Edmonton",76,2,145,17,1,0,241,631
48023,"Edmonton West/Edmonton-Ouest"," 25","Edmonton",81,1,104,11,0,1,198,585
48023,"Edmonton West/Edmonton-Ouest"," 26","Edmonton",61,1,94,11,0,1,168,414
48023,"Edmonton West/Edmonton-Ouest"," 27","Edmonton",94,1,126,12,0,2,235,582
48023,"Edmonton West/Edmonton-Ouest"," 28","Edmonton",63,3,102,4,0,2,174,482
48023,"Edmonton West/Edmonton-Ouest"," 29","Edmonton",95,1,124,14,1,2,237,507
48023,"Edmonton West/Edmonton-Ouest"," 30","Edmonton",66,2,61,25,0,0,154,391
48023,"Edmonton West/Edmonton-Ouest"," 31","Edmonton",60,3,63,7,2,2,137,426
48023,"Edmonton West/Edmonton-Ouest"," 32","Edmonton",94,1,58,3,1,0,157,334
48023,"Edmonton West/Edmonton-Ouest"," 33","Edmonton",85,0,88,8,0,1,182,432
48023,"Edmonton West/Edmonton-Ouest"," 34","Edmonton",93,4,104,22,2,0,225,582
48023,"Edmonton West/Edmonton-Ouest"," 35","Edmonton",39,0,61,5,0,1,106,427
48023,"Edmonton West/Edmonton-Ouest"," 36","Edmonton",29,0,44,12,0,0,85,411
48023,"Edmonton West/Edmonton-Ouest"," 37","Edmonton",44,0,51,12,1,0,108,461
48023,"Edmonton West/Edmonton-Ouest"," 38","Edmonton",45,6,82,11,0,2,146,381
48023,"Edmonton West/Edmonton-Ouest"," 39","Edmonton",50,1,59,15,0,0,125,406
48023,"Edmonton West/Edmonton-Ouest"," 40","Edmonton",85,1,65,6,0,0,157,429
48023,"Edmonton West/Edmonton-Ouest"," 41","Edmonton",47,2,81,4,0,1,135,300
48023,"Edmonton West/Edmonton-Ouest"," 42","Edmonton",111,3,84,4,0,1,203,441
48023,"Edmonton West/Edmonton-Ouest"," 43","Edmonton",60,2,97,9,1,0,169,379
48023,"Edmonton West/Edmonton-Ouest"," 44","Edmonton",63,0,84,10,0,1,158,332
48023,"Edmonton West/Edmonton-Ouest"," 45","Edmonton",61,0,81,14,0,0,156,407
48023,"Edmonton West/Edmonton-Ouest"," 46","Edmonton",72,0,95,9,2,0,178,515
48023,"Edmonton West/Edmonton-Ouest"," 47","Edmonton",67,1,120,12,0,0,200,389
48023,"Edmonton West/Edmonton-Ouest"," 48","Edmonton",74,2,83,4,0,0,163,359
48023,"Edmonton West/Edmonton-Ouest"," 49","Edmonton",59,3,98,10,0,0,170,502
48023,"Edmonton West/Edmonton-Ouest"," 50","Edmonton",59,0,77,10,1,1,148,350
48023,"Edmonton West/Edmonton-Ouest"," 51","Edmonton",78,2,104,20,2,0,206,505
48023,"Edmonton West/Edmonton-Ouest"," 52","Edmonton",91,4,103,15,2,0,215,444
48023,"Edmonton West/Edmonton-Ouest"," 53","Edmonton",103,3,91,20,2,0,219,417
48023,"Edmonton West/Edmonton-Ouest"," 54","Edmonton",104,5,119,11,3,0,242,524
48023,"Edmonton West/Edmonton-Ouest"," 55","Edmonton",55,2,72,19,0,1,149,394
48023,"Edmonton West/Edmonton-Ouest"," 56","Edmonton",71,1,59,5,0,0,136,348
48023,"Edmonton West/Edmonton-Ouest"," 57","Edmonton",90,1,93,7,0,1,192,379
48023,"Edmonton West/Edmonton-Ouest"," 58","Edmonton",43,2,55,16,1,0,117,403
48023,"Edmonton West/Edmonton-Ouest"," 59","Edmonton",74,4,79,14,2,1,174,426
48023,"Edmonton West/Edmonton-Ouest"," 60","Edmonton",82,3,81,2,1,0,169,417
48023,"Edmonton West/Edmonton-Ouest"," 61","Edmonton",140,1,106,21,1,1,270,518
48023,"Edmonton West/Edmonton-Ouest"," 62","Edmonton",81,1,62,8,0,0,152,326
48023,"Edmonton West/Edmonton-Ouest"," 63","Edmonton",64,5,96,4,0,0,169,490
48023,"Edmonton West/Edmonton-Ouest"," 64","Edmonton",96,0,132,5,0,2,235,586
48023,"Edmonton West/Edmonton-Ouest"," 65","Edmonton",101,0,154,9,0,2,266,627
48023,"Edmonton West/Edmonton-Ouest"," 66","Edmonton",76,0,193,19,0,1,289,644
48023,"Edmonton West/Edmonton-Ouest"," 67","Edmonton",51,1,101,13,0,4,170,357
48023,"Edmonton West/Edmonton-Ouest"," 68A","Edmonton",55,5,78,7,0,1,146,334
48023,"Edmonton West/Edmonton-Ouest"," 68B","Edmonton",60,0,73,13,0,0,146,359
48023,"Edmonton West/Edmonton-Ouest"," 69","Edmonton",55,1,117,9,1,3,186,531
48023,"Edmonton West/Edmonton-Ouest"," 70","Edmonton",79,1,109,13,0,0,202,528
48023,"Edmonton West/Edmonton-Ouest"," 71","Edmonton",56,2,87,3,2,2,152,446
48023,"Edmonton West/Edmonton-Ouest"," 72","Edmonton",71,3,101,9,0,0,184,596
